# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,16,16,13,18,16,13,
(0,13),-0.0613541 # DEPENDENCYPART_ARC
(0,16),-1.19142 # DEPENDENCYPART_ARC
(1,2),-0.664368 # DEPENDENCYPART_ARC
(1,3),-1.5337 # DEPENDENCYPART_ARC
(1,4),-2.06111 # DEPENDENCYPART_ARC
(1,5),-2.0252 # DEPENDENCYPART_ARC
(1,13),-2.36222 # DEPENDENCYPART_ARC
(1,16),-2.43649 # DEPENDENCYPART_ARC
(2,1),-0.498291 # DEPENDENCYPART_ARC
(2,3),-0.0542764 # DEPENDENCYPART_ARC
(2,4),-1.09556 # DEPENDENCYPART_ARC
(2,5),-1.42312 # DEPENDENCYPART_ARC
(2,6),-1.52252 # DEPENDENCYPART_ARC
(2,7),-1.50513 # DEPENDENCYPART_ARC
(2,19),-1.9581 # DEPENDENCYPART_ARC
(3,1),-1.15019 # DEPENDENCYPART_ARC
(3,2),-0.0547998 # DEPENDENCYPART_ARC
(3,4),0.134141 # DEPENDENCYPART_ARC
(3,5),-1.08839 # DEPENDENCYPART_ARC
(3,6),-1.58607 # DEPENDENCYPART_ARC
(3,7),-1.44125 # DEPENDENCYPART_ARC
(3,9),-2.30322 # DEPENDENCYPART_ARC
(3,11),-1.76362 # DEPENDENCYPART_ARC
(3,12),-2.03398 # DEPENDENCYPART_ARC
(3,13),-1.46636 # DEPENDENCYPART_ARC
(3,14),-1.65836 # DEPENDENCYPART_ARC
(3,16),-1.61489 # DEPENDENCYPART_ARC
(3,19),-1.89739 # DEPENDENCYPART_ARC
(4,1),-1.54817 # DEPENDENCYPART_ARC
(4,2),-1.64029 # DEPENDENCYPART_ARC
(4,3),-0.270944 # DEPENDENCYPART_ARC
(4,5),-0.572778 # DEPENDENCYPART_ARC
(4,6),-1.23561 # DEPENDENCYPART_ARC
(4,7),-1.34093 # DEPENDENCYPART_ARC
(4,9),-2.05428 # DEPENDENCYPART_ARC
(4,13),-1.92385 # DEPENDENCYPART_ARC
(4,16),-2.05407 # DEPENDENCYPART_ARC
(4,19),-2.12282 # DEPENDENCYPART_ARC
(5,4),-0.957678 # DEPENDENCYPART_ARC
(6,1),-2.17796 # DEPENDENCYPART_ARC
(6,2),-2.11852 # DEPENDENCYPART_ARC
(6,3),-1.57207 # DEPENDENCYPART_ARC
(6,4),-1.67849 # DEPENDENCYPART_ARC
(6,5),-0.670289 # DEPENDENCYPART_ARC
(6,7),0.68402 # DEPENDENCYPART_ARC
(6,8),-0.717018 # DEPENDENCYPART_ARC
(6,9),-0.870687 # DEPENDENCYPART_ARC
(6,10),-1.20958 # DEPENDENCYPART_ARC
(6,11),-1.18167 # DEPENDENCYPART_ARC
(6,12),-1.20998 # DEPENDENCYPART_ARC
(6,13),-1.00322 # DEPENDENCYPART_ARC
(6,14),-0.610527 # DEPENDENCYPART_ARC
(6,16),-1.1698 # DEPENDENCYPART_ARC
(6,18),-1.51819 # DEPENDENCYPART_ARC
(6,19),-0.98752 # DEPENDENCYPART_ARC
(7,1),-1.98421 # DEPENDENCYPART_ARC
(7,2),-2.17241 # DEPENDENCYPART_ARC
(7,3),-1.98139 # DEPENDENCYPART_ARC
(7,4),-1.95416 # DEPENDENCYPART_ARC
(7,5),-2.16511 # DEPENDENCYPART_ARC
(7,8),0.120007 # DEPENDENCYPART_ARC
(7,9),-0.514703 # DEPENDENCYPART_ARC
(7,10),-1.35024 # DEPENDENCYPART_ARC
(7,11),-1.21223 # DEPENDENCYPART_ARC
(7,12),-0.540323 # DEPENDENCYPART_ARC
(7,13),-1.31534 # DEPENDENCYPART_ARC
(7,14),-1.1439 # DEPENDENCYPART_ARC
(7,16),-1.27658 # DEPENDENCYPART_ARC
(7,18),-2.04771 # DEPENDENCYPART_ARC
(7,19),-1.42983 # DEPENDENCYPART_ARC
(8,6),-2.14031 # DEPENDENCYPART_ARC
(8,9),-1.33519 # DEPENDENCYPART_ARC
(8,10),-1.66336 # DEPENDENCYPART_ARC
(8,14),-2.32734 # DEPENDENCYPART_ARC
(9,1),-2.24598 # DEPENDENCYPART_ARC
(9,2),-2.14721 # DEPENDENCYPART_ARC
(9,4),-1.80281 # DEPENDENCYPART_ARC
(9,5),-2.06788 # DEPENDENCYPART_ARC
(9,6),-1.18264 # DEPENDENCYPART_ARC
(9,7),-1.11771 # DEPENDENCYPART_ARC
(9,8),2.42227 # DEPENDENCYPART_ARC
(9,10),1.35626 # DEPENDENCYPART_ARC
(9,11),-0.795619 # DEPENDENCYPART_ARC
(9,12),-1.15725 # DEPENDENCYPART_ARC
(9,14),-1.32341 # DEPENDENCYPART_ARC
(9,16),-1.44481 # DEPENDENCYPART_ARC
(9,18),-1.56358 # DEPENDENCYPART_ARC
(9,19),-1.66094 # DEPENDENCYPART_ARC
(10,1),-1.95447 # DEPENDENCYPART_ARC
(10,3),-1.56073 # DEPENDENCYPART_ARC
(10,6),-1.51081 # DEPENDENCYPART_ARC
(10,7),-1.21966 # DEPENDENCYPART_ARC
(10,11),-0.539036 # DEPENDENCYPART_ARC
(11,1),-2.19802 # DEPENDENCYPART_ARC
(11,2),-2.17292 # DEPENDENCYPART_ARC
(11,3),-2.03302 # DEPENDENCYPART_ARC
(11,4),-2.05956 # DEPENDENCYPART_ARC
(11,5),-2.2054 # DEPENDENCYPART_ARC
(11,6),-1.89672 # DEPENDENCYPART_ARC
(11,7),-1.80404 # DEPENDENCYPART_ARC
(11,9),-1.45775 # DEPENDENCYPART_ARC
(11,10),-0.441284 # DEPENDENCYPART_ARC
(11,12),-0.27669 # DEPENDENCYPART_ARC
(11,13),-1.14531 # DEPENDENCYPART_ARC
(11,14),-1.37939 # DEPENDENCYPART_ARC
(11,16),-1.53176 # DEPENDENCYPART_ARC
(11,18),-1.99109 # DEPENDENCYPART_ARC
(12,2),-2.33488 # DEPENDENCYPART_ARC
(12,3),-1.96069 # DEPENDENCYPART_ARC
(12,6),-2.25567 # DEPENDENCYPART_ARC
(12,7),-1.70275 # DEPENDENCYPART_ARC
(12,8),-0.92045 # DEPENDENCYPART_ARC
(12,9),-0.682597 # DEPENDENCYPART_ARC
(12,10),-0.95342 # DEPENDENCYPART_ARC
(12,11),0.613892 # DEPENDENCYPART_ARC
(12,13),-0.382241 # DEPENDENCYPART_ARC
(12,14),-1.27519 # DEPENDENCYPART_ARC
(12,16),-1.33628 # DEPENDENCYPART_ARC
(12,18),-1.90664 # DEPENDENCYPART_ARC
(12,19),-1.87387 # DEPENDENCYPART_ARC
(13,1),-1.66568 # DEPENDENCYPART_ARC
(13,2),-1.78965 # DEPENDENCYPART_ARC
(13,3),-1.75878 # DEPENDENCYPART_ARC
(13,4),-1.7194 # DEPENDENCYPART_ARC
(13,5),-1.44257 # DEPENDENCYPART_ARC
(13,6),-1.4514 # DEPENDENCYPART_ARC
(13,7),-1.56235 # DEPENDENCYPART_ARC
(13,8),-1.56073 # DEPENDENCYPART_ARC
(13,9),-1.53632 # DEPENDENCYPART_ARC
(13,10),-1.11473 # DEPENDENCYPART_ARC
(13,11),-0.817378 # DEPENDENCYPART_ARC
(13,12),0.851959 # DEPENDENCYPART_ARC
(13,14),0.333216 # DEPENDENCYPART_ARC
(13,15),-0.84092 # DEPENDENCYPART_ARC
(13,16),-0.805107 # DEPENDENCYPART_ARC
(13,18),-1.22351 # DEPENDENCYPART_ARC
(13,19),-0.898666 # DEPENDENCYPART_ARC
(15,18),-1.22482 # DEPENDENCYPART_ARC
(16,1),-1.17939 # DEPENDENCYPART_ARC
(16,2),-1.53599 # DEPENDENCYPART_ARC
(16,3),-1.00346 # DEPENDENCYPART_ARC
(16,4),-1.34815 # DEPENDENCYPART_ARC
(16,5),-1.26826 # DEPENDENCYPART_ARC
(16,6),-1.60848 # DEPENDENCYPART_ARC
(16,7),-1.22554 # DEPENDENCYPART_ARC
(16,9),-1.68906 # DEPENDENCYPART_ARC
(16,10),-1.41597 # DEPENDENCYPART_ARC
(16,11),-1.27602 # DEPENDENCYPART_ARC
(16,12),-1.06287 # DEPENDENCYPART_ARC
(16,13),-1.03711 # DEPENDENCYPART_ARC
(16,14),-0.478181 # DEPENDENCYPART_ARC
(16,15),0.992545 # DEPENDENCYPART_ARC
(16,17),0.335127 # DEPENDENCYPART_ARC
(16,18),0.357007 # DEPENDENCYPART_ARC
(16,19),0.0400651 # DEPENDENCYPART_ARC
(18,9),-2.09449 # DEPENDENCYPART_ARC
(18,11),-1.77517 # DEPENDENCYPART_ARC
(18,13),-1.5769 # DEPENDENCYPART_ARC
(18,14),-1.7537 # DEPENDENCYPART_ARC
(18,15),-1.49352 # DEPENDENCYPART_ARC
(18,17),1.28482 # DEPENDENCYPART_ARC
(18,19),-0.409058 # DEPENDENCYPART_ARC
(19,18),-0.932214 # DEPENDENCYPART_ARC
(0,13),(0,16),-0.184243 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0075535 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.024431 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0013439 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0546921 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0197581 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00392597 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0133301 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0476623 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.00794648 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0323662 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0629919 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0259592 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0540055 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.127702 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.0679169 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00955501 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.055537 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.165896 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0249567 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0142715 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.238474 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0202179 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0425561 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0600676 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.03095 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0214436 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.011355 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0101298 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0644228 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0258404 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0808942 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0335247 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.163645 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0932654 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.021669 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0133716 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.102135 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00751468 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0824034 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0333383 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00463032 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0147868 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0128211 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0360927 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0417402 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0824034 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0957877 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.307718 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0180734 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0758391 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0191543 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0767147 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0128448 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0389711 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0476203 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0613291 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0758391 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.132918 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.167403 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0251761 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0191719 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0251529 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0144257 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0307101 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.03242 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0510024 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0251761 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0497611 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0118942 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0157505 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.124351 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0129478 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0108384 # DEPENDENCYPART_SIBL
