# _root_ The comparable lead times for the Commerce index , whose components include the stock market , are far shorter -- 10 months before recessions and only three months before recoveries .
#goldHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,17,22,23,22,28,28,25,28,29,17,
#predictedHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,23,17,23,24,28,26,25,17,29,17,
(0,4),-1.63865 # DEPENDENCYPART_ARC
(0,12),-0.648741 # DEPENDENCYPART_ARC
(0,17),-1.4135 # DEPENDENCYPART_ARC
(2,1),-0.305638 # DEPENDENCYPART_ARC
(2,3),-0.257974 # DEPENDENCYPART_ARC
(2,5),-1.38182 # DEPENDENCYPART_ARC
(3,1),-0.842453 # DEPENDENCYPART_ARC
(3,2),-0.206126 # DEPENDENCYPART_ARC
(3,5),-1.16994 # DEPENDENCYPART_ARC
(3,8),-1.91141 # DEPENDENCYPART_ARC
(3,9),-1.75136 # DEPENDENCYPART_ARC
(3,12),-1.79468 # DEPENDENCYPART_ARC
(3,31),-2.21859 # DEPENDENCYPART_ARC
(4,1),0.0130421 # DEPENDENCYPART_ARC
(4,2),0.553983 # DEPENDENCYPART_ARC
(4,3),2.25426 # DEPENDENCYPART_ARC
(4,5),0.145269 # DEPENDENCYPART_ARC
(4,7),-1.48818 # DEPENDENCYPART_ARC
(4,8),-1.46559 # DEPENDENCYPART_ARC
(4,9),-1.51744 # DEPENDENCYPART_ARC
(4,10),-1.73337 # DEPENDENCYPART_ARC
(4,11),-1.76908 # DEPENDENCYPART_ARC
(4,12),-1.75475 # DEPENDENCYPART_ARC
(4,15),-2.1446 # DEPENDENCYPART_ARC
(4,16),-1.7123 # DEPENDENCYPART_ARC
(4,17),-2.42692 # DEPENDENCYPART_ARC
(4,20),-1.62433 # DEPENDENCYPART_ARC
(4,22),-2.06045 # DEPENDENCYPART_ARC
(4,31),-2.74569 # DEPENDENCYPART_ARC
(5,4),-0.826752 # DEPENDENCYPART_ARC
(5,6),-0.161822 # DEPENDENCYPART_ARC
(5,7),-0.851027 # DEPENDENCYPART_ARC
(5,8),-0.0870608 # DEPENDENCYPART_ARC
(5,9),-1.5222 # DEPENDENCYPART_ARC
(5,10),-1.51886 # DEPENDENCYPART_ARC
(5,11),-1.58253 # DEPENDENCYPART_ARC
(5,12),-1.63487 # DEPENDENCYPART_ARC
(5,15),-1.85329 # DEPENDENCYPART_ARC
(5,16),-1.84295 # DEPENDENCYPART_ARC
(5,20),-1.55174 # DEPENDENCYPART_ARC
(5,25),-1.41992 # DEPENDENCYPART_ARC
(5,31),-1.51116 # DEPENDENCYPART_ARC
(7,4),-1.73423 # DEPENDENCYPART_ARC
(7,6),-0.253028 # DEPENDENCYPART_ARC
(7,9),-1.43991 # DEPENDENCYPART_ARC
(7,10),-1.79029 # DEPENDENCYPART_ARC
(7,11),-1.97652 # DEPENDENCYPART_ARC
(7,16),-2.10063 # DEPENDENCYPART_ARC
(8,1),-1.90082 # DEPENDENCYPART_ARC
(8,2),-1.37057 # DEPENDENCYPART_ARC
(8,3),-1.2223 # DEPENDENCYPART_ARC
(8,4),-0.672059 # DEPENDENCYPART_ARC
(8,5),-0.70195 # DEPENDENCYPART_ARC
(8,6),0.719045 # DEPENDENCYPART_ARC
(8,7),1.82187 # DEPENDENCYPART_ARC
(8,9),0.171488 # DEPENDENCYPART_ARC
(8,10),-1.35279 # DEPENDENCYPART_ARC
(8,11),-1.3129 # DEPENDENCYPART_ARC
(8,12),-1.4688 # DEPENDENCYPART_ARC
(8,15),-1.67908 # DEPENDENCYPART_ARC
(8,16),-1.48899 # DEPENDENCYPART_ARC
(8,17),-1.98588 # DEPENDENCYPART_ARC
(8,18),-1.9787 # DEPENDENCYPART_ARC
(8,20),-1.60537 # DEPENDENCYPART_ARC
(8,31),-2.04194 # DEPENDENCYPART_ARC
(10,4),-1.97069 # DEPENDENCYPART_ARC
(10,5),-1.99153 # DEPENDENCYPART_ARC
(10,8),-1.64087 # DEPENDENCYPART_ARC
(10,9),-0.581274 # DEPENDENCYPART_ARC
(10,11),-0.125487 # DEPENDENCYPART_ARC
(10,12),-1.02283 # DEPENDENCYPART_ARC
(10,15),-1.6557 # DEPENDENCYPART_ARC
(10,16),-1.59979 # DEPENDENCYPART_ARC
(10,17),-1.70301 # DEPENDENCYPART_ARC
(11,1),-2.40564 # DEPENDENCYPART_ARC
(11,4),-1.75339 # DEPENDENCYPART_ARC
(11,5),-1.84552 # DEPENDENCYPART_ARC
(11,6),-1.20526 # DEPENDENCYPART_ARC
(11,7),-1.08471 # DEPENDENCYPART_ARC
(11,8),-1.18713 # DEPENDENCYPART_ARC
(11,9),-1.16819 # DEPENDENCYPART_ARC
(11,10),0.648602 # DEPENDENCYPART_ARC
(11,12),-0.46604 # DEPENDENCYPART_ARC
(11,15),-1.61697 # DEPENDENCYPART_ARC
(11,16),-1.62757 # DEPENDENCYPART_ARC
(11,17),-2.1367 # DEPENDENCYPART_ARC
(11,31),-2.25153 # DEPENDENCYPART_ARC
(12,1),-1.94711 # DEPENDENCYPART_ARC
(12,2),-1.62492 # DEPENDENCYPART_ARC
(12,4),-0.68259 # DEPENDENCYPART_ARC
(12,5),-1.20842 # DEPENDENCYPART_ARC
(12,6),-1.665 # DEPENDENCYPART_ARC
(12,7),-1.61035 # DEPENDENCYPART_ARC
(12,8),-1.1531 # DEPENDENCYPART_ARC
(12,9),-0.898983 # DEPENDENCYPART_ARC
(12,10),-0.837134 # DEPENDENCYPART_ARC
(12,11),0.988114 # DEPENDENCYPART_ARC
(12,13),0.473805 # DEPENDENCYPART_ARC
(12,14),0.109819 # DEPENDENCYPART_ARC
(12,15),-0.382174 # DEPENDENCYPART_ARC
(12,16),-1.04811 # DEPENDENCYPART_ARC
(12,17),-0.776147 # DEPENDENCYPART_ARC
(12,18),-1.19134 # DEPENDENCYPART_ARC
(12,19),-1.2839 # DEPENDENCYPART_ARC
(12,20),-0.925892 # DEPENDENCYPART_ARC
(12,21),-1.78748 # DEPENDENCYPART_ARC
(12,22),-1.22329 # DEPENDENCYPART_ARC
(12,23),-1.23232 # DEPENDENCYPART_ARC
(12,24),-1.60251 # DEPENDENCYPART_ARC
(12,25),-2.08125 # DEPENDENCYPART_ARC
(12,26),-1.55822 # DEPENDENCYPART_ARC
(12,28),-1.62801 # DEPENDENCYPART_ARC
(12,29),-1.58467 # DEPENDENCYPART_ARC
(12,30),-1.91087 # DEPENDENCYPART_ARC
(12,31),0.702279 # DEPENDENCYPART_ARC
(13,17),-1.45845 # DEPENDENCYPART_ARC
(14,13),-0.125031 # DEPENDENCYPART_ARC
(14,17),-1.59578 # DEPENDENCYPART_ARC
(15,4),-1.17386 # DEPENDENCYPART_ARC
(15,5),-1.26613 # DEPENDENCYPART_ARC
(15,6),-1.35757 # DEPENDENCYPART_ARC
(15,8),-1.52226 # DEPENDENCYPART_ARC
(15,10),-0.794736 # DEPENDENCYPART_ARC
(15,11),-0.690589 # DEPENDENCYPART_ARC
(15,12),-0.842985 # DEPENDENCYPART_ARC
(15,13),0.659704 # DEPENDENCYPART_ARC
(15,14),1.73079 # DEPENDENCYPART_ARC
(15,16),-0.158895 # DEPENDENCYPART_ARC
(15,17),-1.43087 # DEPENDENCYPART_ARC
(15,18),-1.67684 # DEPENDENCYPART_ARC
(15,19),-1.58689 # DEPENDENCYPART_ARC
(15,20),-1.50334 # DEPENDENCYPART_ARC
(15,22),-1.97861 # DEPENDENCYPART_ARC
(15,23),-2.05767 # DEPENDENCYPART_ARC
(15,24),-1.90643 # DEPENDENCYPART_ARC
(15,31),-1.83534 # DEPENDENCYPART_ARC
(17,1),-2.05434 # DEPENDENCYPART_ARC
(17,2),-1.62733 # DEPENDENCYPART_ARC
(17,4),-0.889689 # DEPENDENCYPART_ARC
