# _root_ Consider Gap Inc. , whose latest ad campaign features black-and-white shots of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .
#goldHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,19,20,17,14,23,25,23,21,25,26,1,
#predictedHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,20,20,17,20,23,25,23,21,25,26,1,
(0,1),-0.371127 # DEPENDENCYPART_ARC
(0,2),-1.87999 # DEPENDENCYPART_ARC
(0,3),-2.11663 # DEPENDENCYPART_ARC
(0,9),-1.01431 # DEPENDENCYPART_ARC
(1,2),0.655731 # DEPENDENCYPART_ARC
(1,3),-0.229343 # DEPENDENCYPART_ARC
(1,4),-0.857098 # DEPENDENCYPART_ARC
(1,5),-0.895039 # DEPENDENCYPART_ARC
(1,6),-1.04471 # DEPENDENCYPART_ARC
(1,7),-0.772419 # DEPENDENCYPART_ARC
(1,8),-0.789194 # DEPENDENCYPART_ARC
(1,9),-1.12081 # DEPENDENCYPART_ARC
(1,10),-1.30982 # DEPENDENCYPART_ARC
(1,11),-1.32216 # DEPENDENCYPART_ARC
(1,12),-1.32752 # DEPENDENCYPART_ARC
(1,14),-1.62924 # DEPENDENCYPART_ARC
(1,15),-1.50256 # DEPENDENCYPART_ARC
(1,16),-1.75756 # DEPENDENCYPART_ARC
(1,17),-1.49554 # DEPENDENCYPART_ARC
(1,18),-1.55845 # DEPENDENCYPART_ARC
(1,19),-1.55535 # DEPENDENCYPART_ARC
(1,21),-1.19556 # DEPENDENCYPART_ARC
(1,26),-1.66161 # DEPENDENCYPART_ARC
(1,28),-1.04723 # DEPENDENCYPART_ARC
(2,1),-0.111306 # DEPENDENCYPART_ARC
(2,3),0.455638 # DEPENDENCYPART_ARC
(2,4),-0.612947 # DEPENDENCYPART_ARC
(2,5),-1.00497 # DEPENDENCYPART_ARC
(2,6),-1.16725 # DEPENDENCYPART_ARC
(2,7),-1.15914 # DEPENDENCYPART_ARC
(2,8),-1.48867 # DEPENDENCYPART_ARC
(2,9),-1.08803 # DEPENDENCYPART_ARC
(2,10),-1.66792 # DEPENDENCYPART_ARC
(2,11),-1.62658 # DEPENDENCYPART_ARC
(2,12),-1.58511 # DEPENDENCYPART_ARC
(2,14),-1.83051 # DEPENDENCYPART_ARC
