# _root_ The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .
#goldHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,9,18,21,18,21,9,7,
#predictedHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,12,18,21,18,21,12,7,
(0,3),-1.59787 # DEPENDENCYPART_ARC
(0,4),-2.22714 # DEPENDENCYPART_ARC
(0,7),-1.14403 # DEPENDENCYPART_ARC
(1,4),-1.49655 # DEPENDENCYPART_ARC
(2,1),-0.278717 # DEPENDENCYPART_ARC
(2,4),-1.20452 # DEPENDENCYPART_ARC
(2,10),-1.59175 # DEPENDENCYPART_ARC
(3,1),0.60217 # DEPENDENCYPART_ARC
(3,2),1.46878 # DEPENDENCYPART_ARC
(3,4),0.309626 # DEPENDENCYPART_ARC
(3,5),-1.33758 # DEPENDENCYPART_ARC
(3,6),-1.04236 # DEPENDENCYPART_ARC
(3,7),-1.14737 # DEPENDENCYPART_ARC
(3,8),-1.64634 # DEPENDENCYPART_ARC
(3,9),-1.69333 # DEPENDENCYPART_ARC
(3,10),-1.37665 # DEPENDENCYPART_ARC
(3,12),-1.8522 # DEPENDENCYPART_ARC
(3,13),-1.93536 # DEPENDENCYPART_ARC
(3,15),-2.008 # DEPENDENCYPART_ARC
(3,16),-1.43969 # DEPENDENCYPART_ARC
(3,18),-2.02037 # DEPENDENCYPART_ARC
(3,19),-1.94571 # DEPENDENCYPART_ARC
(3,21),-1.97397 # DEPENDENCYPART_ARC
(3,22),-2.57115 # DEPENDENCYPART_ARC
(4,3),-0.855961 # DEPENDENCYPART_ARC
(4,5),-0.0683026 # DEPENDENCYPART_ARC
(4,6),0.536481 # DEPENDENCYPART_ARC
(4,7),-0.524188 # DEPENDENCYPART_ARC
(4,8),-1.7016 # DEPENDENCYPART_ARC
(4,9),-1.40409 # DEPENDENCYPART_ARC
(4,10),-1.48767 # DEPENDENCYPART_ARC
(4,12),-2.09164 # DEPENDENCYPART_ARC
(4,13),-1.43755 # DEPENDENCYPART_ARC
(4,22),-1.24424 # DEPENDENCYPART_ARC
(5,4),-0.854425 # DEPENDENCYPART_ARC
(6,1),-2.00635 # DEPENDENCYPART_ARC
(6,2),-1.48642 # DEPENDENCYPART_ARC
(6,3),-1.09213 # DEPENDENCYPART_ARC
(6,4),-0.832671 # DEPENDENCYPART_ARC
(6,5),1.25258 # DEPENDENCYPART_ARC
(6,7),-0.244734 # DEPENDENCYPART_ARC
(6,8),-1.31049 # DEPENDENCYPART_ARC
(6,9),-1.33366 # DEPENDENCYPART_ARC
(6,10),-1.53243 # DEPENDENCYPART_ARC
(6,12),-1.90546 # DEPENDENCYPART_ARC
(6,13),-2.0427 # DEPENDENCYPART_ARC
(7,1),-1.65225 # DEPENDENCYPART_ARC
(7,2),-1.41935 # DEPENDENCYPART_ARC
(7,3),-0.606607 # DEPENDENCYPART_ARC
(7,4),-0.871442 # DEPENDENCYPART_ARC
(7,5),-0.897044 # DEPENDENCYPART_ARC
(7,6),0.247058 # DEPENDENCYPART_ARC
(7,8),0.473937 # DEPENDENCYPART_ARC
(7,9),-0.239767 # DEPENDENCYPART_ARC
(7,10),-1.14277 # DEPENDENCYPART_ARC
(7,11),-1.13229 # DEPENDENCYPART_ARC
(7,12),-1.1224 # DEPENDENCYPART_ARC
(7,13),-1.26437 # DEPENDENCYPART_ARC
(7,14),-1.50111 # DEPENDENCYPART_ARC
(7,15),-1.38765 # DEPENDENCYPART_ARC
(7,16),-1.8332 # DEPENDENCYPART_ARC
(7,18),-1.71997 # DEPENDENCYPART_ARC
