# _root_ Bear Stearns 's chief economist , Lawrence Kudlow , in the Sept. 29 issue of the firm 's Global Spectator :
#goldHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
#predictedHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
(0,1),-1.05198 # DEPENDENCYPART_ARC
(0,2),-1.86093 # DEPENDENCYPART_ARC
(0,4),-2.13214 # DEPENDENCYPART_ARC
(0,5),-2.52326 # DEPENDENCYPART_ARC
(0,6),-1.93643 # DEPENDENCYPART_ARC
(0,7),-2.83849 # DEPENDENCYPART_ARC
(0,8),-2.96187 # DEPENDENCYPART_ARC
(0,9),-2.10969 # DEPENDENCYPART_ARC
(0,10),-2.76327 # DEPENDENCYPART_ARC
(0,14),-2.76504 # DEPENDENCYPART_ARC
(1,2),-1.0578 # DEPENDENCYPART_ARC
(1,3),-1.49104 # DEPENDENCYPART_ARC
(1,5),-1.82647 # DEPENDENCYPART_ARC
(1,6),-1.96735 # DEPENDENCYPART_ARC
(1,8),-2.97133 # DEPENDENCYPART_ARC
(1,9),-2.35495 # DEPENDENCYPART_ARC
(1,10),-2.77898 # DEPENDENCYPART_ARC
(1,14),-3.11402 # DEPENDENCYPART_ARC
(2,1),2.21175 # DEPENDENCYPART_ARC
(2,3),1.60037 # DEPENDENCYPART_ARC
(2,4),-0.630126 # DEPENDENCYPART_ARC
(2,5),-0.628524 # DEPENDENCYPART_ARC
(2,6),-1.00621 # DEPENDENCYPART_ARC
(2,7),-1.65753 # DEPENDENCYPART_ARC
(2,8),-1.87258 # DEPENDENCYPART_ARC
(2,9),-1.40931 # DEPENDENCYPART_ARC
(2,10),-1.83369 # DEPENDENCYPART_ARC
(2,12),-2.39619 # DEPENDENCYPART_ARC
(2,14),-2.08605 # DEPENDENCYPART_ARC
(2,15),-2.02215 # DEPENDENCYPART_ARC
(2,17),-2.37244 # DEPENDENCYPART_ARC
(2,18),-2.6754 # DEPENDENCYPART_ARC
(2,21),-1.33122 # DEPENDENCYPART_ARC
(3,5),-1.34098 # DEPENDENCYPART_ARC
(3,6),-1.53525 # DEPENDENCYPART_ARC
(4,2),-1.11571 # DEPENDENCYPART_ARC
(4,3),-0.403135 # DEPENDENCYPART_ARC
(4,5),-0.386188 # DEPENDENCYPART_ARC
(4,6),-1.42519 # DEPENDENCYPART_ARC
(4,8),-1.91748 # DEPENDENCYPART_ARC
(4,9),-1.72672 # DEPENDENCYPART_ARC
(4,10),-1.89463 # DEPENDENCYPART_ARC
(5,1),-0.701986 # DEPENDENCYPART_ARC
(5,2),-0.223122 # DEPENDENCYPART_ARC
(5,3),-0.54825 # DEPENDENCYPART_ARC
(5,4),1.33625 # DEPENDENCYPART_ARC
(5,6),0.171749 # DEPENDENCYPART_ARC
(5,7),-1.18195 # DEPENDENCYPART_ARC
(5,8),-1.09171 # DEPENDENCYPART_ARC
(5,9),-0.864282 # DEPENDENCYPART_ARC
(5,10),-1.45908 # DEPENDENCYPART_ARC
(5,12),-1.85148 # DEPENDENCYPART_ARC
(5,13),-2.13387 # DEPENDENCYPART_ARC
(5,14),-2.01379 # DEPENDENCYPART_ARC
(5,15),-2.34113 # DEPENDENCYPART_ARC
(5,17),-2.31558 # DEPENDENCYPART_ARC
(5,18),-2.93137 # DEPENDENCYPART_ARC
(5,20),-2.12526 # DEPENDENCYPART_ARC
(5,21),-1.50566 # DEPENDENCYPART_ARC
(6,5),-0.58207 # DEPENDENCYPART_ARC
(7,2),-2.81254 # DEPENDENCYPART_ARC
(7,4),-1.96101 # DEPENDENCYPART_ARC
(7,5),-1.62558 # DEPENDENCYPART_ARC
(7,6),-1.01823 # DEPENDENCYPART_ARC
(7,8),-0.216946 # DEPENDENCYPART_ARC
(7,9),-1.33871 # DEPENDENCYPART_ARC
(7,10),-1.88527 # DEPENDENCYPART_ARC
(7,12),-2.23976 # DEPENDENCYPART_ARC
(7,13),-2.41042 # DEPENDENCYPART_ARC
(7,14),-2.20017 # DEPENDENCYPART_ARC
(7,15),-2.34198 # DEPENDENCYPART_ARC
(7,17),-2.58529 # DEPENDENCYPART_ARC
(7,18),-3.06169 # DEPENDENCYPART_ARC
(7,21),-2.08555 # DEPENDENCYPART_ARC
(8,1),-1.89771 # DEPENDENCYPART_ARC
(8,2),-2.15842 # DEPENDENCYPART_ARC
(8,4),-1.19069 # DEPENDENCYPART_ARC
(8,5),-1.12403 # DEPENDENCYPART_ARC
(8,6),-1.3368 # DEPENDENCYPART_ARC
(8,7),1.46173 # DEPENDENCYPART_ARC
(8,9),0.137584 # DEPENDENCYPART_ARC
(8,10),-1.36555 # DEPENDENCYPART_ARC
(8,11),-1.54193 # DEPENDENCYPART_ARC
(8,12),-1.96024 # DEPENDENCYPART_ARC
(8,13),-1.99379 # DEPENDENCYPART_ARC
(8,14),-1.65126 # DEPENDENCYPART_ARC
(8,15),-2.03062 # DEPENDENCYPART_ARC
(8,17),-2.16918 # DEPENDENCYPART_ARC
(8,18),-2.42799 # DEPENDENCYPART_ARC
(8,20),-2.87583 # DEPENDENCYPART_ARC
(8,21),-1.56215 # DEPENDENCYPART_ARC
(9,8),-0.606498 # DEPENDENCYPART_ARC
(9,10),-0.473918 # DEPENDENCYPART_ARC
(10,5),-2.23561 # DEPENDENCYPART_ARC
(10,6),-2.25538 # DEPENDENCYPART_ARC
(10,8),-2.1114 # DEPENDENCYPART_ARC
(10,9),-0.767438 # DEPENDENCYPART_ARC
(10,11),0.159541 # DEPENDENCYPART_ARC
(10,12),-0.578719 # DEPENDENCYPART_ARC
(10,13),-1.28263 # DEPENDENCYPART_ARC
(10,14),-0.28943 # DEPENDENCYPART_ARC
(10,15),-1.22635 # DEPENDENCYPART_ARC
(10,20),-2.12526 # DEPENDENCYPART_ARC
(10,21),-1.12403 # DEPENDENCYPART_ARC
(11,12),-0.608137 # DEPENDENCYPART_ARC
(11,13),-1.36846 # DEPENDENCYPART_ARC
(12,7),-2.44941 # DEPENDENCYPART_ARC
(12,8),-2.61672 # DEPENDENCYPART_ARC
(12,9),-2.39131 # DEPENDENCYPART_ARC
(12,11),0.0195608 # DEPENDENCYPART_ARC
(12,13),0.111884 # DEPENDENCYPART_ARC
(12,14),-0.964669 # DEPENDENCYPART_ARC
(12,15),-1.21673 # DEPENDENCYPART_ARC
(12,17),-1.81284 # DEPENDENCYPART_ARC
(12,18),-1.79236 # DEPENDENCYPART_ARC
(12,20),-2.59508 # DEPENDENCYPART_ARC
(12,21),-1.50353 # DEPENDENCYPART_ARC
(13,10),-1.38893 # DEPENDENCYPART_ARC
(13,11),-1.17791 # DEPENDENCYPART_ARC
(13,12),-0.370914 # DEPENDENCYPART_ARC
(13,14),-0.515627 # DEPENDENCYPART_ARC
(13,15),-1.59496 # DEPENDENCYPART_ARC
(13,17),-1.82729 # DEPENDENCYPART_ARC
(14,2),-2.16856 # DEPENDENCYPART_ARC
(14,4),-1.47453 # DEPENDENCYPART_ARC
(14,6),-2.02588 # DEPENDENCYPART_ARC
(14,7),-1.73845 # DEPENDENCYPART_ARC
(14,8),-2.0006 # DEPENDENCYPART_ARC
(14,9),-1.63109 # DEPENDENCYPART_ARC
(14,10),-0.984984 # DEPENDENCYPART_ARC
(14,11),0.0154427 # DEPENDENCYPART_ARC
(14,12),0.18741 # DEPENDENCYPART_ARC
(14,13),1.25052 # DEPENDENCYPART_ARC
(14,15),0.491661 # DEPENDENCYPART_ARC
(14,17),-0.840372 # DEPENDENCYPART_ARC
(14,18),-1.43019 # DEPENDENCYPART_ARC
(14,19),-1.45687 # DEPENDENCYPART_ARC
(14,20),-1.54103 # DEPENDENCYPART_ARC
(14,21),-0.994885 # DEPENDENCYPART_ARC
(15,13),-1.92719 # DEPENDENCYPART_ARC
(15,17),-0.0412382 # DEPENDENCYPART_ARC
(15,18),-1.39325 # DEPENDENCYPART_ARC
(15,19),-1.57208 # DEPENDENCYPART_ARC
(15,20),-1.32987 # DEPENDENCYPART_ARC
(15,21),-1.20031 # DEPENDENCYPART_ARC
(17,11),-2.01999 # DEPENDENCYPART_ARC
(17,12),-1.37858 # DEPENDENCYPART_ARC
(17,13),-1.15106 # DEPENDENCYPART_ARC
(17,15),-0.656773 # DEPENDENCYPART_ARC
(17,16),1.76262 # DEPENDENCYPART_ARC
(17,18),1.14902 # DEPENDENCYPART_ARC
(17,19),-0.865611 # DEPENDENCYPART_ARC
(17,20),-0.919544 # DEPENDENCYPART_ARC
(17,21),-0.821189 # DEPENDENCYPART_ARC
(18,19),-0.573305 # DEPENDENCYPART_ARC
(18,20),-1.56393 # DEPENDENCYPART_ARC
(19,16),-1.94726 # DEPENDENCYPART_ARC
(19,17),-1.03702 # DEPENDENCYPART_ARC
