# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,3,19,12,13,16,14,16,16,11,19,20,3,
(0,3),-0.970975 # DEPENDENCYPART_ARC
(0,9),-0.437379 # DEPENDENCYPART_ARC
(0,19),-1.77047 # DEPENDENCYPART_ARC
(1,2),-0.661263 # DEPENDENCYPART_ARC
(1,3),-1.4666 # DEPENDENCYPART_ARC
(2,1),-0.574048 # DEPENDENCYPART_ARC
(2,3),-0.476362 # DEPENDENCYPART_ARC
(2,4),-1.61919 # DEPENDENCYPART_ARC
(2,5),-1.84625 # DEPENDENCYPART_ARC
(2,6),-1.8433 # DEPENDENCYPART_ARC
(2,11),-2.02728 # DEPENDENCYPART_ARC
(3,1),-0.845813 # DEPENDENCYPART_ARC
(3,2),0.740552 # DEPENDENCYPART_ARC
(3,4),0.8636 # DEPENDENCYPART_ARC
(3,5),0.148449 # DEPENDENCYPART_ARC
(3,6),-0.923094 # DEPENDENCYPART_ARC
(3,7),-0.838709 # DEPENDENCYPART_ARC
(3,8),-1.25804 # DEPENDENCYPART_ARC
(3,9),-1.07583 # DEPENDENCYPART_ARC
(3,10),-1.24963 # DEPENDENCYPART_ARC
(3,11),-1.61953 # DEPENDENCYPART_ARC
(3,12),-1.0893 # DEPENDENCYPART_ARC
(3,13),-1.4863 # DEPENDENCYPART_ARC
(3,16),-1.52246 # DEPENDENCYPART_ARC
(3,18),-1.55906 # DEPENDENCYPART_ARC
(3,19),-1.61892 # DEPENDENCYPART_ARC
(3,20),-1.82842 # DEPENDENCYPART_ARC
(3,22),-0.663764 # DEPENDENCYPART_ARC
(4,1),-1.81433 # DEPENDENCYPART_ARC
(4,2),-1.73643 # DEPENDENCYPART_ARC
(4,5),-0.340572 # DEPENDENCYPART_ARC
(4,6),-1.432 # DEPENDENCYPART_ARC
(4,7),-1.30133 # DEPENDENCYPART_ARC
(4,9),-1.59549 # DEPENDENCYPART_ARC
(4,10),-1.85938 # DEPENDENCYPART_ARC
(4,11),-1.78221 # DEPENDENCYPART_ARC
(5,1),-1.15432 # DEPENDENCYPART_ARC
(5,2),-1.15401 # DEPENDENCYPART_ARC
(5,3),-1.17134 # DEPENDENCYPART_ARC
(5,4),0.490507 # DEPENDENCYPART_ARC
(5,6),-0.0402802 # DEPENDENCYPART_ARC
(5,7),-0.741325 # DEPENDENCYPART_ARC
(5,8),-1.09576 # DEPENDENCYPART_ARC
(5,9),-1.29441 # DEPENDENCYPART_ARC
(5,10),-1.6014 # DEPENDENCYPART_ARC
(5,11),-1.7331 # DEPENDENCYPART_ARC
(5,12),-1.43394 # DEPENDENCYPART_ARC
(5,13),-1.30888 # DEPENDENCYPART_ARC
(5,14),-1.77883 # DEPENDENCYPART_ARC
(5,16),-1.89813 # DEPENDENCYPART_ARC
(5,17),-1.97471 # DEPENDENCYPART_ARC
(5,22),-1.90644 # DEPENDENCYPART_ARC
(6,4),-1.46375 # DEPENDENCYPART_ARC
(6,5),-0.278862 # DEPENDENCYPART_ARC
