# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,16,29,30,33,31,3,
(0,1),-0.884547 # DEPENDENCYPART_ARC
(0,2),-1.33678 # DEPENDENCYPART_ARC
(0,3),-1.0031 # DEPENDENCYPART_ARC
(0,4),-1.91483 # DEPENDENCYPART_ARC
(0,5),-1.85946 # DEPENDENCYPART_ARC
(0,10),-1.14744 # DEPENDENCYPART_ARC
(1,2),-0.371881 # DEPENDENCYPART_ARC
(1,3),-0.951042 # DEPENDENCYPART_ARC
(1,4),-1.40819 # DEPENDENCYPART_ARC
(1,5),-1.62908 # DEPENDENCYPART_ARC
(1,10),-1.55576 # DEPENDENCYPART_ARC
(2,1),0.729043 # DEPENDENCYPART_ARC
(2,3),-0.728785 # DEPENDENCYPART_ARC
(2,5),-1.44333 # DEPENDENCYPART_ARC
(2,6),-1.72683 # DEPENDENCYPART_ARC
(2,7),-1.58821 # DEPENDENCYPART_ARC
(2,10),-1.78489 # DEPENDENCYPART_ARC
(2,11),-2.2207 # DEPENDENCYPART_ARC
(2,12),-2.08786 # DEPENDENCYPART_ARC
(2,13),-2.0084 # DEPENDENCYPART_ARC
(3,1),-0.706397 # DEPENDENCYPART_ARC
(3,2),0.87117 # DEPENDENCYPART_ARC
(3,4),1.39771 # DEPENDENCYPART_ARC
(3,5),-0.63384 # DEPENDENCYPART_ARC
(3,6),-0.901045 # DEPENDENCYPART_ARC
(3,7),-1.08178 # DEPENDENCYPART_ARC
(3,9),-1.4297 # DEPENDENCYPART_ARC
(3,10),-1.09172 # DEPENDENCYPART_ARC
(3,11),-1.56905 # DEPENDENCYPART_ARC
(3,12),-1.12882 # DEPENDENCYPART_ARC
(3,13),-1.57749 # DEPENDENCYPART_ARC
(3,24),-1.40277 # DEPENDENCYPART_ARC
(3,25),-1.65931 # DEPENDENCYPART_ARC
(3,34),1.11196 # DEPENDENCYPART_ARC
(4,1),-1.17929 # DEPENDENCYPART_ARC
(4,2),-1.19704 # DEPENDENCYPART_ARC
(4,3),-0.384331 # DEPENDENCYPART_ARC
(4,5),0.743302 # DEPENDENCYPART_ARC
(4,6),-0.686893 # DEPENDENCYPART_ARC
(4,7),-0.875333 # DEPENDENCYPART_ARC
(4,9),-1.31302 # DEPENDENCYPART_ARC
(4,10),-1.39022 # DEPENDENCYPART_ARC
(4,11),-1.51761 # DEPENDENCYPART_ARC
(4,12),-1.49566 # DEPENDENCYPART_ARC
(4,13),-1.45812 # DEPENDENCYPART_ARC
(4,17),-1.67351 # DEPENDENCYPART_ARC
(4,20),-1.82157 # DEPENDENCYPART_ARC
(4,34),-1.25165 # DEPENDENCYPART_ARC
(5,1),-1.56912 # DEPENDENCYPART_ARC
(5,2),-1.16181 # DEPENDENCYPART_ARC
(5,3),-1.28728 # DEPENDENCYPART_ARC
(5,6),0.945646 # DEPENDENCYPART_ARC
(5,7),0.103337 # DEPENDENCYPART_ARC
(5,8),-0.982829 # DEPENDENCYPART_ARC
(5,9),-0.790217 # DEPENDENCYPART_ARC
(5,10),-0.909842 # DEPENDENCYPART_ARC
(5,11),-1.15315 # DEPENDENCYPART_ARC
(5,12),-0.9037 # DEPENDENCYPART_ARC
(5,13),-0.960437 # DEPENDENCYPART_ARC
(5,16),-1.13544 # DEPENDENCYPART_ARC
(5,17),-1.04651 # DEPENDENCYPART_ARC
(5,19),-1.27246 # DEPENDENCYPART_ARC
(5,20),-1.41458 # DEPENDENCYPART_ARC
(5,21),-1.36148 # DEPENDENCYPART_ARC
(5,24),-1.09639 # DEPENDENCYPART_ARC
(5,25),-1.92735 # DEPENDENCYPART_ARC
(5,29),-1.95729 # DEPENDENCYPART_ARC
(5,31),-1.97663 # DEPENDENCYPART_ARC
(5,34),-1.8553 # DEPENDENCYPART_ARC
(6,1),-1.54028 # DEPENDENCYPART_ARC
(6,2),-1.34966 # DEPENDENCYPART_ARC
(6,5),-0.110601 # DEPENDENCYPART_ARC
(6,7),-0.496795 # DEPENDENCYPART_ARC
(6,9),-1.49934 # DEPENDENCYPART_ARC
(6,10),-1.65925 # DEPENDENCYPART_ARC
(7,6),-0.743641 # DEPENDENCYPART_ARC
(7,8),-0.0352805 # DEPENDENCYPART_ARC
(7,9),-0.169849 # DEPENDENCYPART_ARC
(7,10),-0.493114 # DEPENDENCYPART_ARC
(7,11),-1.07808 # DEPENDENCYPART_ARC
(7,12),-1.47937 # DEPENDENCYPART_ARC
(7,13),-1.66619 # DEPENDENCYPART_ARC
(7,16),-1.72156 # DEPENDENCYPART_ARC
(8,7),-0.805769 # DEPENDENCYPART_ARC
(9,1),-2.59445 # DEPENDENCYPART_ARC
(9,3),-1.99461 # DEPENDENCYPART_ARC
(9,6),-1.58075 # DEPENDENCYPART_ARC
(9,7),-1.06957 # DEPENDENCYPART_ARC
(9,8),1.19251 # DEPENDENCYPART_ARC
(9,10),-0.548277 # DEPENDENCYPART_ARC
(9,11),-1.30911 # DEPENDENCYPART_ARC
(9,12),-1.33736 # DEPENDENCYPART_ARC
(9,13),-1.50559 # DEPENDENCYPART_ARC
(10,1),-1.9347 # DEPENDENCYPART_ARC
(10,2),-1.38806 # DEPENDENCYPART_ARC
(10,3),-1.44073 # DEPENDENCYPART_ARC
(10,5),-1.46202 # DEPENDENCYPART_ARC
(10,6),-1.33156 # DEPENDENCYPART_ARC
(10,7),-0.767318 # DEPENDENCYPART_ARC
(10,8),-0.926647 # DEPENDENCYPART_ARC
(10,9),0.976656 # DEPENDENCYPART_ARC
(10,11),0.950214 # DEPENDENCYPART_ARC
(10,12),-0.82744 # DEPENDENCYPART_ARC
(10,13),-0.763484 # DEPENDENCYPART_ARC
(10,16),-1.44971 # DEPENDENCYPART_ARC
(10,17),-1.36109 # DEPENDENCYPART_ARC
(10,19),-1.69033 # DEPENDENCYPART_ARC
(10,20),-1.53568 # DEPENDENCYPART_ARC
(10,21),-1.71977 # DEPENDENCYPART_ARC
(10,24),-1.61921 # DEPENDENCYPART_ARC
(10,25),-2.06278 # DEPENDENCYPART_ARC
(10,34),0.613854 # DEPENDENCYPART_ARC
(11,1),-1.92972 # DEPENDENCYPART_ARC
(11,2),-1.50792 # DEPENDENCYPART_ARC
(11,3),-1.5082 # DEPENDENCYPART_ARC
(11,6),-1.56445 # DEPENDENCYPART_ARC
(11,7),-1.44164 # DEPENDENCYPART_ARC
(11,8),-1.36 # DEPENDENCYPART_ARC
(11,9),-1.19959 # DEPENDENCYPART_ARC
(11,10),-0.074566 # DEPENDENCYPART_ARC
