# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,14,17,15,17,20,18,6,
(0,1),-1.22196 # DEPENDENCYPART_ARC
(0,2),-1.84552 # DEPENDENCYPART_ARC
(0,6),-1.17865 # DEPENDENCYPART_ARC
(0,7),-1.97524 # DEPENDENCYPART_ARC
(1,2),0.540678 # DEPENDENCYPART_ARC
(1,3),-0.783204 # DEPENDENCYPART_ARC
(1,4),-1.48808 # DEPENDENCYPART_ARC
(1,5),-1.65528 # DEPENDENCYPART_ARC
(1,6),-1.09991 # DEPENDENCYPART_ARC
(1,7),-1.54855 # DEPENDENCYPART_ARC
(1,8),-1.43774 # DEPENDENCYPART_ARC
(1,9),-1.36146 # DEPENDENCYPART_ARC
(1,12),-1.57593 # DEPENDENCYPART_ARC
(1,21),-1.8185 # DEPENDENCYPART_ARC
(2,1),-0.151384 # DEPENDENCYPART_ARC
(2,3),-0.171474 # DEPENDENCYPART_ARC
(2,4),-1.3449 # DEPENDENCYPART_ARC
(2,5),-1.46712 # DEPENDENCYPART_ARC
(2,6),-1.33688 # DEPENDENCYPART_ARC
(2,7),-1.68719 # DEPENDENCYPART_ARC
(2,8),-1.77158 # DEPENDENCYPART_ARC
(2,9),-1.84147 # DEPENDENCYPART_ARC
(2,11),-1.84935 # DEPENDENCYPART_ARC
(2,12),-1.50846 # DEPENDENCYPART_ARC
(2,13),-1.81377 # DEPENDENCYPART_ARC
(3,1),-1.67942 # DEPENDENCYPART_ARC
(3,2),-0.72222 # DEPENDENCYPART_ARC
(4,1),-1.83825 # DEPENDENCYPART_ARC
(4,2),-1.95122 # DEPENDENCYPART_ARC
(4,3),-0.93941 # DEPENDENCYPART_ARC
(4,7),-1.39415 # DEPENDENCYPART_ARC
(5,1),-1.66141 # DEPENDENCYPART_ARC
(5,2),-1.53085 # DEPENDENCYPART_ARC
(5,3),-1.36462 # DEPENDENCYPART_ARC
(5,4),0.76714 # DEPENDENCYPART_ARC
(5,7),-1.43087 # DEPENDENCYPART_ARC
(6,1),-0.898041 # DEPENDENCYPART_ARC
(6,2),-1.58307 # DEPENDENCYPART_ARC
(6,3),-0.767437 # DEPENDENCYPART_ARC
(6,4),-1.04936 # DEPENDENCYPART_ARC
(6,5),0.172964 # DEPENDENCYPART_ARC
(6,7),1.2237 # DEPENDENCYPART_ARC
(6,8),-0.514932 # DEPENDENCYPART_ARC
(6,9),-0.844124 # DEPENDENCYPART_ARC
(6,11),-0.911617 # DEPENDENCYPART_ARC
(6,12),-1.26756 # DEPENDENCYPART_ARC
(6,13),-1.16445 # DEPENDENCYPART_ARC
(6,14),-1.70894 # DEPENDENCYPART_ARC
(6,15),-1.7527 # DEPENDENCYPART_ARC
(6,16),-1.56723 # DEPENDENCYPART_ARC
(6,17),-1.98163 # DEPENDENCYPART_ARC
(6,18),-1.83253 # DEPENDENCYPART_ARC
(6,21),-0.593042 # DEPENDENCYPART_ARC
(7,1),-1.77644 # DEPENDENCYPART_ARC
(7,2),-2.02583 # DEPENDENCYPART_ARC
(7,3),-1.67522 # DEPENDENCYPART_ARC
(7,4),-1.5669 # DEPENDENCYPART_ARC
(7,5),-1.4743 # DEPENDENCYPART_ARC
(7,6),-0.571096 # DEPENDENCYPART_ARC
(7,8),1.10634 # DEPENDENCYPART_ARC
(7,9),0.109661 # DEPENDENCYPART_ARC
(7,11),-0.37335 # DEPENDENCYPART_ARC
(7,12),-0.782431 # DEPENDENCYPART_ARC
(7,13),-0.741455 # DEPENDENCYPART_ARC
(7,14),-1.16675 # DEPENDENCYPART_ARC
(7,15),-0.799949 # DEPENDENCYPART_ARC
(7,16),-1.04859 # DEPENDENCYPART_ARC
(7,17),-1.42078 # DEPENDENCYPART_ARC
(7,18),-1.76402 # DEPENDENCYPART_ARC
(7,20),-1.53732 # DEPENDENCYPART_ARC
(7,21),-0.977147 # DEPENDENCYPART_ARC
(8,1),-1.32441 # DEPENDENCYPART_ARC
(8,2),-1.78652 # DEPENDENCYPART_ARC
(8,3),-1.84016 # DEPENDENCYPART_ARC
(8,4),-1.61724 # DEPENDENCYPART_ARC
(8,5),-1.52527 # DEPENDENCYPART_ARC
(8,9),0.191931 # DEPENDENCYPART_ARC
(8,11),-1.08362 # DEPENDENCYPART_ARC
(8,12),-1.84489 # DEPENDENCYPART_ARC
(8,13),-1.80991 # DEPENDENCYPART_ARC
(8,14),-2.20185 # DEPENDENCYPART_ARC
(8,15),-1.4818 # DEPENDENCYPART_ARC
(8,16),-1.92832 # DEPENDENCYPART_ARC
(8,17),-2.84181 # DEPENDENCYPART_ARC
(8,18),-1.67115 # DEPENDENCYPART_ARC
(8,21),-2.00785 # DEPENDENCYPART_ARC
(9,8),-0.848715 # DEPENDENCYPART_ARC
(9,10),-0.426414 # DEPENDENCYPART_ARC
(9,11),0.0567437 # DEPENDENCYPART_ARC
(9,12),-1.55463 # DEPENDENCYPART_ARC
(9,13),-1.59288 # DEPENDENCYPART_ARC
(9,14),-1.57881 # DEPENDENCYPART_ARC
(9,15),-1.4399 # DEPENDENCYPART_ARC
(9,16),-1.76193 # DEPENDENCYPART_ARC
(9,17),-2.54577 # DEPENDENCYPART_ARC
(9,18),-1.51461 # DEPENDENCYPART_ARC
(9,21),-1.69215 # DEPENDENCYPART_ARC
(11,1),-1.76899 # DEPENDENCYPART_ARC
(11,8),-1.13226 # DEPENDENCYPART_ARC
(11,9),-0.794712 # DEPENDENCYPART_ARC
(11,10),1.36725 # DEPENDENCYPART_ARC
(11,12),-0.421112 # DEPENDENCYPART_ARC
(11,13),-1.31452 # DEPENDENCYPART_ARC
(11,14),-1.41768 # DEPENDENCYPART_ARC
(11,15),-1.50411 # DEPENDENCYPART_ARC
(11,16),-1.71764 # DEPENDENCYPART_ARC
(11,17),-1.68968 # DEPENDENCYPART_ARC
(11,18),-1.96058 # DEPENDENCYPART_ARC
(11,20),-1.87766 # DEPENDENCYPART_ARC
(13,1),-2.05541 # DEPENDENCYPART_ARC
(13,5),-2.3338 # DEPENDENCYPART_ARC
(13,9),-1.78445 # DEPENDENCYPART_ARC
(13,11),-1.76115 # DEPENDENCYPART_ARC
(13,12),-0.533454 # DEPENDENCYPART_ARC
(13,14),0.981426 # DEPENDENCYPART_ARC
(13,15),-0.224235 # DEPENDENCYPART_ARC
(13,16),-0.691175 # DEPENDENCYPART_ARC
(13,17),-0.708148 # DEPENDENCYPART_ARC
(13,18),-1.28138 # DEPENDENCYPART_ARC
(13,19),-1.13331 # DEPENDENCYPART_ARC
(13,20),-1.16428 # DEPENDENCYPART_ARC
(13,21),-1.44948 # DEPENDENCYPART_ARC
(14,2),-2.37392 # DEPENDENCYPART_ARC
(14,5),-2.26449 # DEPENDENCYPART_ARC
(14,9),-1.61473 # DEPENDENCYPART_ARC
(14,10),-0.968385 # DEPENDENCYPART_ARC
(14,11),-1.25433 # DEPENDENCYPART_ARC
(14,12),-1.1622 # DEPENDENCYPART_ARC
(14,13),0.365202 # DEPENDENCYPART_ARC
(14,15),0.188326 # DEPENDENCYPART_ARC
(14,16),-0.923276 # DEPENDENCYPART_ARC
(14,17),-1.11752 # DEPENDENCYPART_ARC
(14,18),-1.15621 # DEPENDENCYPART_ARC
(14,20),-1.73403 # DEPENDENCYPART_ARC
(14,21),-1.70092 # DEPENDENCYPART_ARC
(15,9),-1.64885 # DEPENDENCYPART_ARC
(15,11),-1.7542 # DEPENDENCYPART_ARC
(15,12),-1.91347 # DEPENDENCYPART_ARC
(15,13),-1.87848 # DEPENDENCYPART_ARC
(15,14),-0.80328 # DEPENDENCYPART_ARC
(15,16),0.616797 # DEPENDENCYPART_ARC
(15,17),-0.0966904 # DEPENDENCYPART_ARC
(15,18),-1.13179 # DEPENDENCYPART_ARC
(15,19),-1.24786 # DEPENDENCYPART_ARC
(15,20),-1.18285 # DEPENDENCYPART_ARC
(15,21),-1.44655 # DEPENDENCYPART_ARC
(16,11),-2.2392 # DEPENDENCYPART_ARC
(16,14),-2.03862 # DEPENDENCYPART_ARC
(16,15),-1.05939 # DEPENDENCYPART_ARC
(16,17),0.702242 # DEPENDENCYPART_ARC
(16,18),-0.97209 # DEPENDENCYPART_ARC
(16,19),-0.727073 # DEPENDENCYPART_ARC
(16,20),-0.85779 # DEPENDENCYPART_ARC
(17,9),-1.7451 # DEPENDENCYPART_ARC
(17,13),-1.15168 # DEPENDENCYPART_ARC
(17,14),-0.873901 # DEPENDENCYPART_ARC
(17,15),-0.731451 # DEPENDENCYPART_ARC
(17,16),0.681272 # DEPENDENCYPART_ARC
(17,18),0.631344 # DEPENDENCYPART_ARC
(17,19),-0.849777 # DEPENDENCYPART_ARC
(17,20),-0.907208 # DEPENDENCYPART_ARC
(17,21),-1.20255 # DEPENDENCYPART_ARC
(18,19),0.656329 # DEPENDENCYPART_ARC
(18,20),-0.378193 # DEPENDENCYPART_ARC
(19,20),-0.341203 # DEPENDENCYPART_ARC
(20,2),-2.24834 # DEPENDENCYPART_ARC
(20,11),-1.69916 # DEPENDENCYPART_ARC
(20,13),-1.56498 # DEPENDENCYPART_ARC
(20,14),-1.44516 # DEPENDENCYPART_ARC
(20,15),-1.361 # DEPENDENCYPART_ARC
(20,16),-1.12404 # DEPENDENCYPART_ARC
(20,17),-0.881705 # DEPENDENCYPART_ARC
(20,19),1.55829 # DEPENDENCYPART_ARC
(20,21),-0.625392 # DEPENDENCYPART_ARC
(21,20),-0.846557 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0205656 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.1523 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0418324 # DEPENDENCYPART_SIBL
