# _root_ Isao Ushikubo , general manager of the investment research department at Toyo Trust & Banking Co. , also was optimistic .
#goldHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
#predictedHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
(0,1),-1.03524 # DEPENDENCYPART_ARC
(0,2),-2.07321 # DEPENDENCYPART_ARC
(0,5),-2.50644 # DEPENDENCYPART_ARC
(0,10),-2.18839 # DEPENDENCYPART_ARC
(0,19),-1.94895 # DEPENDENCYPART_ARC
(1,2),-0.422663 # DEPENDENCYPART_ARC
(1,3),-1.17222 # DEPENDENCYPART_ARC
(1,4),-1.52229 # DEPENDENCYPART_ARC
(1,5),-1.51561 # DEPENDENCYPART_ARC
(1,6),-1.87526 # DEPENDENCYPART_ARC
(1,10),-2.46425 # DEPENDENCYPART_ARC
(1,11),-2.17796 # DEPENDENCYPART_ARC
(1,14),-1.8044 # DEPENDENCYPART_ARC
(1,17),-2.02447 # DEPENDENCYPART_ARC
(1,21),-2.29332 # DEPENDENCYPART_ARC
(2,1),1.31505 # DEPENDENCYPART_ARC
(2,3),0.337972 # DEPENDENCYPART_ARC
(2,4),-1.10907 # DEPENDENCYPART_ARC
(2,5),-0.871318 # DEPENDENCYPART_ARC
(2,6),-1.62848 # DEPENDENCYPART_ARC
(2,8),-1.91723 # DEPENDENCYPART_ARC
(2,9),-2.07976 # DEPENDENCYPART_ARC
(2,10),-2.06781 # DEPENDENCYPART_ARC
(2,11),-2.05328 # DEPENDENCYPART_ARC
(2,13),-2.7715 # DEPENDENCYPART_ARC
(2,14),-1.61365 # DEPENDENCYPART_ARC
(2,16),-2.91529 # DEPENDENCYPART_ARC
(2,17),-1.53688 # DEPENDENCYPART_ARC
(2,18),-2.30987 # DEPENDENCYPART_ARC
(2,19),-2.26452 # DEPENDENCYPART_ARC
(2,21),-2.25142 # DEPENDENCYPART_ARC
(3,2),-0.736333 # DEPENDENCYPART_ARC
(3,5),-1.21844 # DEPENDENCYPART_ARC
(4,1),-1.2466 # DEPENDENCYPART_ARC
(4,2),-0.90009 # DEPENDENCYPART_ARC
(4,3),-0.0562134 # DEPENDENCYPART_ARC
