# _root_ But then , as quickly as the Dow had fallen , it began to turn around .
#goldHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
#predictedHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
(0,2),-1.50609 # DEPENDENCYPART_ARC
(0,4),-1.8761 # DEPENDENCYPART_ARC
(0,5),-2.08615 # DEPENDENCYPART_ARC
(0,6),-1.75679 # DEPENDENCYPART_ARC
(0,9),-1.30349 # DEPENDENCYPART_ARC
(0,10),-2.06305 # DEPENDENCYPART_ARC
(0,13),-1.62191 # DEPENDENCYPART_ARC
(1,2),-0.5418 # DEPENDENCYPART_ARC
(1,3),-1.48152 # DEPENDENCYPART_ARC
(1,4),-2.06872 # DEPENDENCYPART_ARC
(1,5),-2.24547 # DEPENDENCYPART_ARC
(1,9),-2.25148 # DEPENDENCYPART_ARC
(1,13),-2.51741 # DEPENDENCYPART_ARC
(2,1),-0.35497 # DEPENDENCYPART_ARC
(2,3),-0.566973 # DEPENDENCYPART_ARC
(2,4),-1.443 # DEPENDENCYPART_ARC
(2,5),-1.63455 # DEPENDENCYPART_ARC
(2,6),-1.73852 # DEPENDENCYPART_ARC
(2,8),-2.35724 # DEPENDENCYPART_ARC
(2,9),-1.86118 # DEPENDENCYPART_ARC
(2,13),-2.00797 # DEPENDENCYPART_ARC
(2,17),-1.66831 # DEPENDENCYPART_ARC
(3,1),-1.68685 # DEPENDENCYPART_ARC
(3,2),-0.696908 # DEPENDENCYPART_ARC
(4,1),-1.50411 # DEPENDENCYPART_ARC
(4,2),-1.67794 # DEPENDENCYPART_ARC
(4,3),-0.41179 # DEPENDENCYPART_ARC
(4,5),0.708192 # DEPENDENCYPART_ARC
(4,6),-0.212443 # DEPENDENCYPART_ARC
(4,7),-0.974769 # DEPENDENCYPART_ARC
(4,8),-1.3192 # DEPENDENCYPART_ARC
(4,9),-0.97504 # DEPENDENCYPART_ARC
(4,10),-1.30324 # DEPENDENCYPART_ARC
(4,11),-1.47715 # DEPENDENCYPART_ARC
(4,12),-1.50737 # DEPENDENCYPART_ARC
(4,13),-1.31639 # DEPENDENCYPART_ARC
(4,14),-1.4322 # DEPENDENCYPART_ARC
(4,16),-1.47641 # DEPENDENCYPART_ARC
(4,17),-1.0675 # DEPENDENCYPART_ARC
(5,1),-1.52657 # DEPENDENCYPART_ARC
(5,2),-1.7036 # DEPENDENCYPART_ARC
(5,3),-1.42124 # DEPENDENCYPART_ARC
(5,4),-0.440775 # DEPENDENCYPART_ARC
(5,6),-0.0460749 # DEPENDENCYPART_ARC
(5,7),-1.15278 # DEPENDENCYPART_ARC
(5,8),-1.58575 # DEPENDENCYPART_ARC
(5,9),-1.45568 # DEPENDENCYPART_ARC
(5,10),-1.80866 # DEPENDENCYPART_ARC
(5,11),-1.7176 # DEPENDENCYPART_ARC
(5,13),-1.86066 # DEPENDENCYPART_ARC
(5,17),-1.66221 # DEPENDENCYPART_ARC
(6,1),-1.31484 # DEPENDENCYPART_ARC
(6,2),-1.56732 # DEPENDENCYPART_ARC
(6,3),-1.59655 # DEPENDENCYPART_ARC
(6,4),-1.05612 # DEPENDENCYPART_ARC
(6,5),-0.262509 # DEPENDENCYPART_ARC
(6,7),-0.0835294 # DEPENDENCYPART_ARC
(6,8),-0.810449 # DEPENDENCYPART_ARC
(6,9),-0.185482 # DEPENDENCYPART_ARC
(6,10),-1.08271 # DEPENDENCYPART_ARC
(6,11),-1.40364 # DEPENDENCYPART_ARC
(6,13),-1.00961 # DEPENDENCYPART_ARC
(6,14),-1.89892 # DEPENDENCYPART_ARC
(6,15),-1.68956 # DEPENDENCYPART_ARC
(6,16),-1.75428 # DEPENDENCYPART_ARC
(6,17),-1.02675 # DEPENDENCYPART_ARC
(7,9),-1.27545 # DEPENDENCYPART_ARC
(7,10),-1.55693 # DEPENDENCYPART_ARC
(7,13),-1.75088 # DEPENDENCYPART_ARC
(8,3),-1.99299 # DEPENDENCYPART_ARC
