# _root_ Treasury Securities
#goldHeads=2,0,
#predictedHeads=2,0,
(0,1),-1.07051 # DEPENDENCYPART_ARC
(0,2),-1.73813 # DEPENDENCYPART_ARC
(1,2),-0.749294 # DEPENDENCYPART_ARC
(2,1),0.980109 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0566618 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.762751 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,2),-0.5437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-1.44001 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,2),-1.43959 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,3),-0.84139 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(0,3),-0.894333 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.725749 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.786382 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.531224 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.898763 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.641134 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.574015 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,1),-0.567073 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.59103 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.493899 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.925492 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.784903 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.841558 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,2),-1.24928 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.0550531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),0.0174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0374066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.210317 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,3),0.0345987 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,1),0.251924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.204063 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.174164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),0.12031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,1),0.201169 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),0.147365 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.0121569 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.0791492 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),0.19255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.0109977 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,-1),0.175263 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,1),(0,2),-0.208008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,3),0.41588 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,2),(0,3),0.414494 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,1),(0,2),(0,3),-0.173876 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.263792 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,1),(2,-1),-0.212753 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,1),0.0107812 # DEPENDENCYPART_HEADBIGRAM
(0,2),(2,1),0.535278 # DEPENDENCYPART_HEADBIGRAM
(1,2),(0,1),-0.256594 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),-0.0962484 # DEPENDENCYPART_HEADBIGRAM
