# _root_ Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .
#goldHeads=2,3,0,6,6,3,6,6,8,12,12,9,6,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
#predictedHeads=2,3,0,6,6,3,6,6,8,12,12,9,3,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
(0,2),-1.6001 # DEPENDENCYPART_ARC
(0,3),-0.432649 # DEPENDENCYPART_ARC
(0,8),-1.69579 # DEPENDENCYPART_ARC
(0,17),-0.992206 # DEPENDENCYPART_ARC
(1,2),-0.35133 # DEPENDENCYPART_ARC
(1,3),-1.39691 # DEPENDENCYPART_ARC
(1,5),-1.89788 # DEPENDENCYPART_ARC
(1,6),-1.85634 # DEPENDENCYPART_ARC
(1,7),-1.71874 # DEPENDENCYPART_ARC
(2,1),1.26093 # DEPENDENCYPART_ARC
(2,3),-0.547994 # DEPENDENCYPART_ARC
(2,4),-1.53403 # DEPENDENCYPART_ARC
(2,5),-1.69928 # DEPENDENCYPART_ARC
(2,6),-1.87057 # DEPENDENCYPART_ARC
(2,7),-1.68255 # DEPENDENCYPART_ARC
(2,8),-2.12208 # DEPENDENCYPART_ARC
(2,13),-2.13553 # DEPENDENCYPART_ARC
(3,1),-0.814026 # DEPENDENCYPART_ARC
(3,2),0.12133 # DEPENDENCYPART_ARC
(3,4),0.589656 # DEPENDENCYPART_ARC
(3,5),0.121707 # DEPENDENCYPART_ARC
(3,6),-0.277705 # DEPENDENCYPART_ARC
(3,7),-0.995771 # DEPENDENCYPART_ARC
(3,8),-0.861574 # DEPENDENCYPART_ARC
(3,9),-0.820198 # DEPENDENCYPART_ARC
(3,12),-1.30645 # DEPENDENCYPART_ARC
(3,13),-1.35737 # DEPENDENCYPART_ARC
(3,14),-1.1684 # DEPENDENCYPART_ARC
(3,16),-1.77003 # DEPENDENCYPART_ARC
(3,17),-1.25733 # DEPENDENCYPART_ARC
(3,21),-1.33752 # DEPENDENCYPART_ARC
(3,22),-1.73685 # DEPENDENCYPART_ARC
(3,27),0.586861 # DEPENDENCYPART_ARC
(4,2),-1.68335 # DEPENDENCYPART_ARC
(4,3),-0.657083 # DEPENDENCYPART_ARC
(4,5),-0.302529 # DEPENDENCYPART_ARC
(4,7),-1.33251 # DEPENDENCYPART_ARC
(4,8),-1.66513 # DEPENDENCYPART_ARC
(5,2),-1.70736 # DEPENDENCYPART_ARC
(5,3),-1.81911 # DEPENDENCYPART_ARC
(5,4),-0.722938 # DEPENDENCYPART_ARC
(5,6),-0.132667 # DEPENDENCYPART_ARC
(5,7),-1.32908 # DEPENDENCYPART_ARC
(5,8),-1.3167 # DEPENDENCYPART_ARC
(5,9),-1.28064 # DEPENDENCYPART_ARC
(5,12),-1.99173 # DEPENDENCYPART_ARC
(5,13),-1.69402 # DEPENDENCYPART_ARC
(5,14),-1.69201 # DEPENDENCYPART_ARC
(5,17),-2.28603 # DEPENDENCYPART_ARC
(5,27),-1.83382 # DEPENDENCYPART_ARC
(6,1),-0.969858 # DEPENDENCYPART_ARC
(6,2),-0.813331 # DEPENDENCYPART_ARC
(6,3),-1.14015 # DEPENDENCYPART_ARC
(6,4),0.192186 # DEPENDENCYPART_ARC
(6,5),1.02405 # DEPENDENCYPART_ARC
(6,7),0.189635 # DEPENDENCYPART_ARC
(6,8),-0.927535 # DEPENDENCYPART_ARC
(6,9),-1.034 # DEPENDENCYPART_ARC
(6,10),-1.65512 # DEPENDENCYPART_ARC
(6,11),-1.61675 # DEPENDENCYPART_ARC
(6,12),-1.26576 # DEPENDENCYPART_ARC
(6,13),-1.14289 # DEPENDENCYPART_ARC
(6,14),-1.65742 # DEPENDENCYPART_ARC
(6,16),-2.04633 # DEPENDENCYPART_ARC
(6,17),-1.80472 # DEPENDENCYPART_ARC
(6,21),-2.14761 # DEPENDENCYPART_ARC
(6,22),-2.24297 # DEPENDENCYPART_ARC
(6,26),-1.81826 # DEPENDENCYPART_ARC
(6,27),-2.78577 # DEPENDENCYPART_ARC
(7,6),-0.580361 # DEPENDENCYPART_ARC
(7,8),-0.440808 # DEPENDENCYPART_ARC
(8,2),-2.01023 # DEPENDENCYPART_ARC
(8,3),-1.90341 # DEPENDENCYPART_ARC
(8,4),-1.94112 # DEPENDENCYPART_ARC
(8,5),-1.67886 # DEPENDENCYPART_ARC
(8,6),-1.62535 # DEPENDENCYPART_ARC
(8,7),-0.569135 # DEPENDENCYPART_ARC
(8,9),0.976545 # DEPENDENCYPART_ARC
(8,10),-1.02667 # DEPENDENCYPART_ARC
(8,11),-1.02621 # DEPENDENCYPART_ARC
(8,12),-0.987928 # DEPENDENCYPART_ARC
(8,13),-1.10659 # DEPENDENCYPART_ARC
(8,14),-0.764141 # DEPENDENCYPART_ARC
(8,16),-1.54036 # DEPENDENCYPART_ARC
(8,17),-1.53775 # DEPENDENCYPART_ARC
(8,21),-1.47914 # DEPENDENCYPART_ARC
(8,22),-1.73207 # DEPENDENCYPART_ARC
