# _root_ New Jersey Turnpike Authority 's 7.20 % issue of 2018 was off 3\/4 at 98 1\/2 bid , yielding 7.32 % , up 0.07 percentage point from late Friday .
#goldHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
#predictedHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
(0,4),-2.3805 # DEPENDENCYPART_ARC
(0,8),-2.75785 # DEPENDENCYPART_ARC
(0,11),-1.78978 # DEPENDENCYPART_ARC
(1,2),-0.767838 # DEPENDENCYPART_ARC
(2,1),-0.290682 # DEPENDENCYPART_ARC
(2,3),-0.745776 # DEPENDENCYPART_ARC
(2,5),-2.27858 # DEPENDENCYPART_ARC
(2,30),-2.09514 # DEPENDENCYPART_ARC
(3,1),-1.0788 # DEPENDENCYPART_ARC
(3,2),-0.0979701 # DEPENDENCYPART_ARC
(3,4),-1.15052 # DEPENDENCYPART_ARC
(3,5),-1.53982 # DEPENDENCYPART_ARC
(3,6),-2.13879 # DEPENDENCYPART_ARC
(3,30),-2.09059 # DEPENDENCYPART_ARC
(4,1),0.0757327 # DEPENDENCYPART_ARC
(4,2),0.787586 # DEPENDENCYPART_ARC
(4,3),2.32635 # DEPENDENCYPART_ARC
(4,5),1.38672 # DEPENDENCYPART_ARC
(4,6),-0.748227 # DEPENDENCYPART_ARC
(4,7),-0.910539 # DEPENDENCYPART_ARC
(4,8),-1.17446 # DEPENDENCYPART_ARC
(4,9),-1.25406 # DEPENDENCYPART_ARC
(4,10),-1.84507 # DEPENDENCYPART_ARC
(4,30),-0.858874 # DEPENDENCYPART_ARC
(5,6),-0.424945 # DEPENDENCYPART_ARC
(6,4),-1.22264 # DEPENDENCYPART_ARC
(6,5),-0.114973 # DEPENDENCYPART_ARC
(6,7),-0.219956 # DEPENDENCYPART_ARC
(6,9),-1.57996 # DEPENDENCYPART_ARC
(7,2),-2.12392 # DEPENDENCYPART_ARC
(7,4),-1.60699 # DEPENDENCYPART_ARC
(7,6),0.222878 # DEPENDENCYPART_ARC
(7,8),-0.538717 # DEPENDENCYPART_ARC
(7,9),-1.1504 # DEPENDENCYPART_ARC
(8,1),-1.08344 # DEPENDENCYPART_ARC
(8,2),-1.06805 # DEPENDENCYPART_ARC
(8,3),-0.595457 # DEPENDENCYPART_ARC
(8,4),-0.215523 # DEPENDENCYPART_ARC
(8,5),-0.882421 # DEPENDENCYPART_ARC
(8,6),0.110091 # DEPENDENCYPART_ARC
(8,7),1.58897 # DEPENDENCYPART_ARC
(8,9),0.452702 # DEPENDENCYPART_ARC
(8,10),-0.780413 # DEPENDENCYPART_ARC
(8,11),-0.744147 # DEPENDENCYPART_ARC
(8,12),-1.29506 # DEPENDENCYPART_ARC
(8,13),-1.42304 # DEPENDENCYPART_ARC
(8,14),-1.12295 # DEPENDENCYPART_ARC
(8,17),-1.49079 # DEPENDENCYPART_ARC
(8,18),-1.41174 # DEPENDENCYPART_ARC
(8,19),-1.43744 # DEPENDENCYPART_ARC
(8,22),-1.53626 # DEPENDENCYPART_ARC
