# _root_ The ad would have run during the World Series tomorrow , replacing the debut commercial of Shearson 's new ad campaign , `` Leadership by Example . ''
#goldHeads=2,3,0,3,4,5,9,9,6,5,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
#predictedHeads=2,3,0,3,4,5,10,10,10,6,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
(0,2),-1.3564 # DEPENDENCYPART_ARC
(0,3),-1.02054 # DEPENDENCYPART_ARC
(0,4),-1.91385 # DEPENDENCYPART_ARC
(2,1),1.08866 # DEPENDENCYPART_ARC
(2,3),-0.720643 # DEPENDENCYPART_ARC
(2,4),-1.33455 # DEPENDENCYPART_ARC
(2,5),-1.41948 # DEPENDENCYPART_ARC
(2,6),-1.40797 # DEPENDENCYPART_ARC
(2,10),-2.20449 # DEPENDENCYPART_ARC
(2,11),-1.98942 # DEPENDENCYPART_ARC
(2,12),-2.0764 # DEPENDENCYPART_ARC
(3,1),-0.873681 # DEPENDENCYPART_ARC
(3,2),0.834072 # DEPENDENCYPART_ARC
(3,4),1.43892 # DEPENDENCYPART_ARC
(3,5),-0.604168 # DEPENDENCYPART_ARC
(3,6),-0.780965 # DEPENDENCYPART_ARC
(3,10),-1.32209 # DEPENDENCYPART_ARC
(3,11),-1.3438 # DEPENDENCYPART_ARC
(3,12),-1.4961 # DEPENDENCYPART_ARC
(3,15),-1.5926 # DEPENDENCYPART_ARC
(3,22),-1.83959 # DEPENDENCYPART_ARC
(3,27),0.259609 # DEPENDENCYPART_ARC
(3,28),-0.763545 # DEPENDENCYPART_ARC
(4,1),-1.26058 # DEPENDENCYPART_ARC
(4,2),-1.25908 # DEPENDENCYPART_ARC
(4,3),-0.471061 # DEPENDENCYPART_ARC
(4,5),0.882091 # DEPENDENCYPART_ARC
(4,6),-0.685875 # DEPENDENCYPART_ARC
(4,8),-1.15425 # DEPENDENCYPART_ARC
(4,9),-1.21064 # DEPENDENCYPART_ARC
(4,10),-1.01755 # DEPENDENCYPART_ARC
(4,11),-1.35843 # DEPENDENCYPART_ARC
(4,12),-1.28191 # DEPENDENCYPART_ARC
(4,15),-1.63893 # DEPENDENCYPART_ARC
(4,22),-1.62337 # DEPENDENCYPART_ARC
(4,23),-2.05807 # DEPENDENCYPART_ARC
(4,25),-1.89284 # DEPENDENCYPART_ARC
(4,27),-0.513034 # DEPENDENCYPART_ARC
(4,28),-0.722204 # DEPENDENCYPART_ARC
(5,2),-1.18998 # DEPENDENCYPART_ARC
(5,6),1.02806 # DEPENDENCYPART_ARC
(5,7),-0.992596 # DEPENDENCYPART_ARC
(5,8),-0.848108 # DEPENDENCYPART_ARC
(5,9),-1.00537 # DEPENDENCYPART_ARC
(5,10),-0.698255 # DEPENDENCYPART_ARC
(5,11),-1.04329 # DEPENDENCYPART_ARC
(5,12),-1.17377 # DEPENDENCYPART_ARC
(5,15),-1.18493 # DEPENDENCYPART_ARC
(5,16),-1.67531 # DEPENDENCYPART_ARC
(5,21),-1.44873 # DEPENDENCYPART_ARC
(5,22),-1.55935 # DEPENDENCYPART_ARC
(5,25),-2.121 # DEPENDENCYPART_ARC
(5,27),-1.05981 # DEPENDENCYPART_ARC
(5,28),-1.08444 # DEPENDENCYPART_ARC
(6,2),-1.70093 # DEPENDENCYPART_ARC
(6,7),-0.038779 # DEPENDENCYPART_ARC
(6,8),-0.921593 # DEPENDENCYPART_ARC
(6,9),-1.27473 # DEPENDENCYPART_ARC
(6,10),-0.385674 # DEPENDENCYPART_ARC
(6,11),-1.50894 # DEPENDENCYPART_ARC
(6,12),-1.56321 # DEPENDENCYPART_ARC
(6,15),-1.74407 # DEPENDENCYPART_ARC
(6,21),-1.82244 # DEPENDENCYPART_ARC
(6,27),-2.70372 # DEPENDENCYPART_ARC
(7,12),-1.80061 # DEPENDENCYPART_ARC
(8,7),-0.586382 # DEPENDENCYPART_ARC
(8,9),-0.903162 # DEPENDENCYPART_ARC
(8,11),-1.87064 # DEPENDENCYPART_ARC
(8,15),-2.49973 # DEPENDENCYPART_ARC
(9,7),-0.741464 # DEPENDENCYPART_ARC
(9,8),0.276381 # DEPENDENCYPART_ARC
(9,10),-0.294084 # DEPENDENCYPART_ARC
(9,11),-1.51339 # DEPENDENCYPART_ARC
(9,12),-1.93922 # DEPENDENCYPART_ARC
(9,15),-2.23609 # DEPENDENCYPART_ARC
(9,22),-2.26769 # DEPENDENCYPART_ARC
(10,1),-2.61463 # DEPENDENCYPART_ARC
(10,2),-2.10845 # DEPENDENCYPART_ARC
(10,6),-1.17102 # DEPENDENCYPART_ARC
(10,7),-0.392694 # DEPENDENCYPART_ARC
(10,8),0.188346 # DEPENDENCYPART_ARC
(10,9),1.41426 # DEPENDENCYPART_ARC
(10,11),-0.316697 # DEPENDENCYPART_ARC
(10,12),-1.55544 # DEPENDENCYPART_ARC
(10,14),-1.67587 # DEPENDENCYPART_ARC
(10,15),-1.86584 # DEPENDENCYPART_ARC
(10,16),-1.88807 # DEPENDENCYPART_ARC
(10,21),-2.38972 # DEPENDENCYPART_ARC
(10,22),-1.83024 # DEPENDENCYPART_ARC
(10,23),-2.02893 # DEPENDENCYPART_ARC
(10,24),-2.73043 # DEPENDENCYPART_ARC
(10,27),-2.30278 # DEPENDENCYPART_ARC
(11,12),-0.269639 # DEPENDENCYPART_ARC
(12,9),-1.68471 # DEPENDENCYPART_ARC
(12,10),-1.67607 # DEPENDENCYPART_ARC
(12,11),-0.409858 # DEPENDENCYPART_ARC
(12,13),0.501811 # DEPENDENCYPART_ARC
(12,14),0.378005 # DEPENDENCYPART_ARC
(12,15),0.259739 # DEPENDENCYPART_ARC
(12,16),-0.713059 # DEPENDENCYPART_ARC
(12,17),-0.838201 # DEPENDENCYPART_ARC
(12,18),-1.23816 # DEPENDENCYPART_ARC
(12,19),-1.01616 # DEPENDENCYPART_ARC
(12,20),-0.806045 # DEPENDENCYPART_ARC
(12,21),-0.627335 # DEPENDENCYPART_ARC
(12,22),-1.03605 # DEPENDENCYPART_ARC
(12,23),-1.41162 # DEPENDENCYPART_ARC
(12,24),-1.14094 # DEPENDENCYPART_ARC
(12,25),-1.16108 # DEPENDENCYPART_ARC
(12,26),-1.41578 # DEPENDENCYPART_ARC
(12,27),-1.14679 # DEPENDENCYPART_ARC
(12,28),-0.701761 # DEPENDENCYPART_ARC
(14,13),-0.118851 # DEPENDENCYPART_ARC
(14,15),-0.666375 # DEPENDENCYPART_ARC
(14,16),-1.13515 # DEPENDENCYPART_ARC
(14,18),-2.1986 # DEPENDENCYPART_ARC
(14,21),-2.4749 # DEPENDENCYPART_ARC
(15,7),-1.66263 # DEPENDENCYPART_ARC
(15,8),-1.93456 # DEPENDENCYPART_ARC
(15,9),-1.83012 # DEPENDENCYPART_ARC
(15,10),-1.34454 # DEPENDENCYPART_ARC
(15,11),-1.75617 # DEPENDENCYPART_ARC
(15,12),-1.09893 # DEPENDENCYPART_ARC
(15,13),0.333765 # DEPENDENCYPART_ARC
(15,14),1.48838 # DEPENDENCYPART_ARC
(15,16),0.554314 # DEPENDENCYPART_ARC
(15,17),-0.989166 # DEPENDENCYPART_ARC
(15,18),-1.2288 # DEPENDENCYPART_ARC
(15,19),-1.26688 # DEPENDENCYPART_ARC
(15,20),-1.2907 # DEPENDENCYPART_ARC
(15,21),-1.43761 # DEPENDENCYPART_ARC
(15,22),-1.18253 # DEPENDENCYPART_ARC
(15,23),-1.35795 # DEPENDENCYPART_ARC
(15,24),-1.59178 # DEPENDENCYPART_ARC
(15,25),-1.48588 # DEPENDENCYPART_ARC
(15,26),-1.95632 # DEPENDENCYPART_ARC
(15,27),-1.36082 # DEPENDENCYPART_ARC
(15,28),-1.14441 # DEPENDENCYPART_ARC
(16,17),0.129665 # DEPENDENCYPART_ARC
(16,18),-0.910183 # DEPENDENCYPART_ARC
(16,19),-1.63746 # DEPENDENCYPART_ARC
(16,20),-0.978782 # DEPENDENCYPART_ARC
(16,21),-0.785199 # DEPENDENCYPART_ARC
(16,23),-1.84296 # DEPENDENCYPART_ARC
(16,24),-1.92729 # DEPENDENCYPART_ARC
(16,25),-1.36359 # DEPENDENCYPART_ARC
(16,26),-2.02829 # DEPENDENCYPART_ARC
(17,13),-1.85933 # DEPENDENCYPART_ARC
