# _root_ Thomas G. Dahlen , Big Bear 's executive vice president , said the chain is still reviewing its product list to avoid such problems .
#goldHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
#predictedHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
(0,12),0.657065 # DEPENDENCYPART_ARC
(0,15),-1.08027 # DEPENDENCYPART_ARC
(1,2),-0.71993 # DEPENDENCYPART_ARC
(1,3),-1.61422 # DEPENDENCYPART_ARC
(1,4),-1.39517 # DEPENDENCYPART_ARC
(1,6),-2.67734 # DEPENDENCYPART_ARC
(1,10),-2.49291 # DEPENDENCYPART_ARC
(1,11),-2.19346 # DEPENDENCYPART_ARC
(2,1),0.0929904 # DEPENDENCYPART_ARC
(2,3),-0.211472 # DEPENDENCYPART_ARC
(2,4),-1.16684 # DEPENDENCYPART_ARC
(2,5),-1.80998 # DEPENDENCYPART_ARC
(2,6),-2.37873 # DEPENDENCYPART_ARC
(2,7),-2.61821 # DEPENDENCYPART_ARC
(2,8),-2.18262 # DEPENDENCYPART_ARC
(2,9),-2.05492 # DEPENDENCYPART_ARC
(2,10),-2.17543 # DEPENDENCYPART_ARC
(2,11),-1.97416 # DEPENDENCYPART_ARC
(2,14),-2.84043 # DEPENDENCYPART_ARC
(2,15),-2.27775 # DEPENDENCYPART_ARC
(3,1),-0.214869 # DEPENDENCYPART_ARC
(3,2),0.845835 # DEPENDENCYPART_ARC
(3,4),0.55084 # DEPENDENCYPART_ARC
(3,5),-1.27961 # DEPENDENCYPART_ARC
(3,6),-1.74838 # DEPENDENCYPART_ARC
(3,7),-1.68928 # DEPENDENCYPART_ARC
(3,8),-1.60772 # DEPENDENCYPART_ARC
(3,9),-1.54463 # DEPENDENCYPART_ARC
(3,10),-1.57083 # DEPENDENCYPART_ARC
(3,11),-1.13805 # DEPENDENCYPART_ARC
(3,14),-2.38081 # DEPENDENCYPART_ARC
(3,15),-1.87276 # DEPENDENCYPART_ARC
(3,16),-2.15388 # DEPENDENCYPART_ARC
(3,17),-2.19761 # DEPENDENCYPART_ARC
(3,20),-2.82742 # DEPENDENCYPART_ARC
(3,24),-2.23127 # DEPENDENCYPART_ARC
(5,1),-3.03988 # DEPENDENCYPART_ARC
(5,2),-2.70014 # DEPENDENCYPART_ARC
(5,3),-2.27225 # DEPENDENCYPART_ARC
(5,4),-1.21056 # DEPENDENCYPART_ARC
(5,6),-1.0458 # DEPENDENCYPART_ARC
(5,7),-1.63371 # DEPENDENCYPART_ARC
(5,11),-2.36427 # DEPENDENCYPART_ARC
(5,15),-2.41344 # DEPENDENCYPART_ARC
(6,1),-0.889269 # DEPENDENCYPART_ARC
(6,2),-0.565855 # DEPENDENCYPART_ARC
(6,3),-1.32674 # DEPENDENCYPART_ARC
(6,4),-1.56859 # DEPENDENCYPART_ARC
(6,5),2.11976 # DEPENDENCYPART_ARC
(6,7),1.57086 # DEPENDENCYPART_ARC
(6,8),-0.654144 # DEPENDENCYPART_ARC
(6,9),-0.801658 # DEPENDENCYPART_ARC
(6,10),-1.00725 # DEPENDENCYPART_ARC
(6,11),-1.15924 # DEPENDENCYPART_ARC
(6,14),-1.76584 # DEPENDENCYPART_ARC
(6,15),-1.16422 # DEPENDENCYPART_ARC
(7,4),-1.42548 # DEPENDENCYPART_ARC
(7,8),-0.430541 # DEPENDENCYPART_ARC
(8,3),-1.60551 # DEPENDENCYPART_ARC
(8,4),-1.67354 # DEPENDENCYPART_ARC
(8,6),-1.07483 # DEPENDENCYPART_ARC
(8,7),-0.37433 # DEPENDENCYPART_ARC
(8,9),-0.24378 # DEPENDENCYPART_ARC
(8,11),-1.25597 # DEPENDENCYPART_ARC
(9,1),-2.62348 # DEPENDENCYPART_ARC
(9,2),-2.4844 # DEPENDENCYPART_ARC
(9,5),-1.49101 # DEPENDENCYPART_ARC
(9,6),-1.21352 # DEPENDENCYPART_ARC
(9,8),-0.0522224 # DEPENDENCYPART_ARC
(9,10),-0.63346 # DEPENDENCYPART_ARC
(9,11),-1.45789 # DEPENDENCYPART_ARC
(9,15),-1.88125 # DEPENDENCYPART_ARC
(10,1),-1.74661 # DEPENDENCYPART_ARC
(10,2),-1.70397 # DEPENDENCYPART_ARC
(10,3),-1.76676 # DEPENDENCYPART_ARC
(10,4),-2.18937 # DEPENDENCYPART_ARC
(10,5),-0.624578 # DEPENDENCYPART_ARC
(10,6),-0.405474 # DEPENDENCYPART_ARC
(10,7),-0.984405 # DEPENDENCYPART_ARC
(10,8),0.154403 # DEPENDENCYPART_ARC
(10,9),1.5394 # DEPENDENCYPART_ARC
(10,11),0.103693 # DEPENDENCYPART_ARC
(10,12),-1.3973 # DEPENDENCYPART_ARC
(10,14),-1.45022 # DEPENDENCYPART_ARC
(10,15),-1.66512 # DEPENDENCYPART_ARC
(10,16),-1.78408 # DEPENDENCYPART_ARC
(10,17),-1.89881 # DEPENDENCYPART_ARC
(10,20),-1.96188 # DEPENDENCYPART_ARC
(10,21),-2.32334 # DEPENDENCYPART_ARC
(12,1),-1.43444 # DEPENDENCYPART_ARC
(12,2),-1.30612 # DEPENDENCYPART_ARC
(12,3),-1.17909 # DEPENDENCYPART_ARC
(12,4),-0.857131 # DEPENDENCYPART_ARC
(12,5),-1.39433 # DEPENDENCYPART_ARC
(12,6),-1.24911 # DEPENDENCYPART_ARC
(12,8),-1.27676 # DEPENDENCYPART_ARC
(12,9),-0.872452 # DEPENDENCYPART_ARC
(12,10),-0.7645 # DEPENDENCYPART_ARC
(12,11),0.584131 # DEPENDENCYPART_ARC
(12,13),0.553013 # DEPENDENCYPART_ARC
(12,14),0.221762 # DEPENDENCYPART_ARC
(12,15),0.188369 # DEPENDENCYPART_ARC
(12,16),-0.594143 # DEPENDENCYPART_ARC
(12,17),-0.613719 # DEPENDENCYPART_ARC
(12,20),-0.903768 # DEPENDENCYPART_ARC
(12,21),-1.34637 # DEPENDENCYPART_ARC
(12,22),-1.29108 # DEPENDENCYPART_ARC
(12,25),1.17576 # DEPENDENCYPART_ARC
(14,10),-1.59515 # DEPENDENCYPART_ARC
(14,12),-0.994067 # DEPENDENCYPART_ARC
(14,13),1.1351 # DEPENDENCYPART_ARC
(14,15),-0.407965 # DEPENDENCYPART_ARC
(14,16),-1.58732 # DEPENDENCYPART_ARC
(14,17),-1.55834 # DEPENDENCYPART_ARC
(14,21),-1.96317 # DEPENDENCYPART_ARC
(15,1),-1.41912 # DEPENDENCYPART_ARC
(15,2),-1.46417 # DEPENDENCYPART_ARC
(15,3),-1.5498 # DEPENDENCYPART_ARC
(15,4),-1.56421 # DEPENDENCYPART_ARC
(15,6),-1.55933 # DEPENDENCYPART_ARC
(15,8),-1.77479 # DEPENDENCYPART_ARC
(15,9),-0.993155 # DEPENDENCYPART_ARC
(15,10),-1.0975 # DEPENDENCYPART_ARC
(15,11),-1.25231 # DEPENDENCYPART_ARC
(15,12),-1.20127 # DEPENDENCYPART_ARC
(15,13),-0.904111 # DEPENDENCYPART_ARC
(15,14),0.82901 # DEPENDENCYPART_ARC
(15,16),0.863044 # DEPENDENCYPART_ARC
(15,17),-0.0405528 # DEPENDENCYPART_ARC
(15,18),-0.848748 # DEPENDENCYPART_ARC
(15,19),-0.60999 # DEPENDENCYPART_ARC
(15,20),-0.718665 # DEPENDENCYPART_ARC
(15,21),-1.16284 # DEPENDENCYPART_ARC
(15,22),-1.48652 # DEPENDENCYPART_ARC
(15,23),-1.40302 # DEPENDENCYPART_ARC
(15,24),-1.41476 # DEPENDENCYPART_ARC
(15,25),0.0315216 # DEPENDENCYPART_ARC
(16,14),-1.70072 # DEPENDENCYPART_ARC
(16,17),-0.171046 # DEPENDENCYPART_ARC
(16,20),-1.53475 # DEPENDENCYPART_ARC
(16,21),-1.67204 # DEPENDENCYPART_ARC
(17,2),-2.02423 # DEPENDENCYPART_ARC
(17,3),-2.05294 # DEPENDENCYPART_ARC
(17,10),-1.57103 # DEPENDENCYPART_ARC
(17,13),-1.5327 # DEPENDENCYPART_ARC
(17,14),-1.1096 # DEPENDENCYPART_ARC
(17,15),-1.39231 # DEPENDENCYPART_ARC
(17,16),0.0147915 # DEPENDENCYPART_ARC
(17,18),0.839815 # DEPENDENCYPART_ARC
(17,19),0.412705 # DEPENDENCYPART_ARC
(17,20),0.182496 # DEPENDENCYPART_ARC
(17,21),-0.195418 # DEPENDENCYPART_ARC
(17,22),-0.693826 # DEPENDENCYPART_ARC
(17,23),-0.898395 # DEPENDENCYPART_ARC
(17,24),-0.634189 # DEPENDENCYPART_ARC
(18,16),-1.75285 # DEPENDENCYPART_ARC
(18,17),-0.698763 # DEPENDENCYPART_ARC
(18,19),-0.18987 # DEPENDENCYPART_ARC
(18,21),-1.52379 # DEPENDENCYPART_ARC
(19,17),-1.83957 # DEPENDENCYPART_ARC
(19,18),0.0262891 # DEPENDENCYPART_ARC
(19,20),-0.627083 # DEPENDENCYPART_ARC
(19,21),-1.34614 # DEPENDENCYPART_ARC
(19,24),-1.80386 # DEPENDENCYPART_ARC
(20,8),-1.99751 # DEPENDENCYPART_ARC
(20,10),-1.87665 # DEPENDENCYPART_ARC
(20,13),-1.65023 # DEPENDENCYPART_ARC
(20,14),-1.2625 # DEPENDENCYPART_ARC
(20,16),-1.32387 # DEPENDENCYPART_ARC
