# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(0,6),-1.1698 # DEPENDENCYPART_ARC
(0,13),0.265115 # DEPENDENCYPART_ARC
(1,2),-0.603184 # DEPENDENCYPART_ARC
(2,1),-0.246711 # DEPENDENCYPART_ARC
(2,3),0.715381 # DEPENDENCYPART_ARC
(2,4),-0.788652 # DEPENDENCYPART_ARC
(2,5),-0.757495 # DEPENDENCYPART_ARC
(2,6),-0.760334 # DEPENDENCYPART_ARC
(2,7),-0.936106 # DEPENDENCYPART_ARC
(2,10),-1.42428 # DEPENDENCYPART_ARC
(2,11),-1.38949 # DEPENDENCYPART_ARC
(2,12),-1.15391 # DEPENDENCYPART_ARC
(2,13),-1.31654 # DEPENDENCYPART_ARC
(2,15),-1.87621 # DEPENDENCYPART_ARC
(2,16),-1.54808 # DEPENDENCYPART_ARC
(2,18),-1.74038 # DEPENDENCYPART_ARC
(2,19),-1.42153 # DEPENDENCYPART_ARC
(2,21),-2.03384 # DEPENDENCYPART_ARC
(3,1),-1.74107 # DEPENDENCYPART_ARC
(3,2),-0.937703 # DEPENDENCYPART_ARC
(3,4),-0.115943 # DEPENDENCYPART_ARC
(3,5),0.297324 # DEPENDENCYPART_ARC
(3,6),-0.618729 # DEPENDENCYPART_ARC
(3,7),-1.25851 # DEPENDENCYPART_ARC
(3,10),-1.5899 # DEPENDENCYPART_ARC
(3,11),-1.8005 # DEPENDENCYPART_ARC
(3,12),-1.36709 # DEPENDENCYPART_ARC
(4,6),-1.31086 # DEPENDENCYPART_ARC
(4,7),-1.53951 # DEPENDENCYPART_ARC
(5,1),-1.59809 # DEPENDENCYPART_ARC
(5,2),-1.27494 # DEPENDENCYPART_ARC
(5,3),-0.860336 # DEPENDENCYPART_ARC
(5,4),1.23512 # DEPENDENCYPART_ARC
(5,6),-0.611688 # DEPENDENCYPART_ARC
(5,7),-1.06016 # DEPENDENCYPART_ARC
(5,10),-1.87216 # DEPENDENCYPART_ARC
(5,11),-2.03186 # DEPENDENCYPART_ARC
(5,12),-1.50679 # DEPENDENCYPART_ARC
(6,1),-1.003 # DEPENDENCYPART_ARC
(6,2),-0.922549 # DEPENDENCYPART_ARC
(6,3),-0.922836 # DEPENDENCYPART_ARC
(6,4),-0.821638 # DEPENDENCYPART_ARC
(6,5),0.638534 # DEPENDENCYPART_ARC
(6,7),0.981703 # DEPENDENCYPART_ARC
(6,8),-0.976988 # DEPENDENCYPART_ARC
(6,9),-0.68671 # DEPENDENCYPART_ARC
(6,10),-0.863736 # DEPENDENCYPART_ARC
