# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(0,1),-0.793695 # DEPENDENCYPART_ARC
(0,2),-1.60835 # DEPENDENCYPART_ARC
(0,9),-1.15701 # DEPENDENCYPART_ARC
(0,22),-1.67664 # DEPENDENCYPART_ARC
(1,2),-0.422195 # DEPENDENCYPART_ARC
(1,5),-2.25722 # DEPENDENCYPART_ARC
(1,6),-2.19023 # DEPENDENCYPART_ARC
(1,9),-2.28525 # DEPENDENCYPART_ARC
(2,1),-0.816888 # DEPENDENCYPART_ARC
(2,3),0.180687 # DEPENDENCYPART_ARC
(2,4),-0.674882 # DEPENDENCYPART_ARC
(2,5),0.275813 # DEPENDENCYPART_ARC
(2,6),-1.31535 # DEPENDENCYPART_ARC
(2,8),-1.98359 # DEPENDENCYPART_ARC
(2,9),-1.08351 # DEPENDENCYPART_ARC
(2,10),-1.41713 # DEPENDENCYPART_ARC
(2,11),-2.01039 # DEPENDENCYPART_ARC
(2,12),-1.64685 # DEPENDENCYPART_ARC
(2,13),-1.16723 # DEPENDENCYPART_ARC
(2,16),-1.54559 # DEPENDENCYPART_ARC
(2,17),-1.22082 # DEPENDENCYPART_ARC
(2,27),-0.620643 # DEPENDENCYPART_ARC
(3,1),-2.03186 # DEPENDENCYPART_ARC
(3,4),-0.247631 # DEPENDENCYPART_ARC
(3,6),-1.21062 # DEPENDENCYPART_ARC
(3,9),-1.35398 # DEPENDENCYPART_ARC
(4,1),-1.71966 # DEPENDENCYPART_ARC
(4,3),-0.321593 # DEPENDENCYPART_ARC
(4,6),-1.28527 # DEPENDENCYPART_ARC
(4,8),-1.78226 # DEPENDENCYPART_ARC
(5,1),-1.43408 # DEPENDENCYPART_ARC
(5,2),-0.98331 # DEPENDENCYPART_ARC
(5,3),0.394148 # DEPENDENCYPART_ARC
(5,4),1.39913 # DEPENDENCYPART_ARC
(5,6),-0.135505 # DEPENDENCYPART_ARC
(5,7),-1.58995 # DEPENDENCYPART_ARC
(5,8),-1.47174 # DEPENDENCYPART_ARC
(5,9),-1.44428 # DEPENDENCYPART_ARC
(5,10),-1.58995 # DEPENDENCYPART_ARC
(5,11),-1.93636 # DEPENDENCYPART_ARC
(5,12),-1.80307 # DEPENDENCYPART_ARC
(5,13),-1.81299 # DEPENDENCYPART_ARC
(5,15),-1.76231 # DEPENDENCYPART_ARC
(5,16),-1.53417 # DEPENDENCYPART_ARC
(5,17),-2.42596 # DEPENDENCYPART_ARC
(5,18),-1.91279 # DEPENDENCYPART_ARC
(5,21),-2.40425 # DEPENDENCYPART_ARC
(5,22),-2.59879 # DEPENDENCYPART_ARC
(5,24),-2.44823 # DEPENDENCYPART_ARC
(5,27),-2.30617 # DEPENDENCYPART_ARC
(7,6),-0.946122 # DEPENDENCYPART_ARC
(7,8),-0.513198 # DEPENDENCYPART_ARC
(7,9),-1.17451 # DEPENDENCYPART_ARC
(7,10),-1.41881 # DEPENDENCYPART_ARC
(8,1),-2.24292 # DEPENDENCYPART_ARC
(8,2),-1.93568 # DEPENDENCYPART_ARC
(8,3),-1.69066 # DEPENDENCYPART_ARC
(8,4),-1.37504 # DEPENDENCYPART_ARC
(8,5),-1.18712 # DEPENDENCYPART_ARC
(8,6),-1.32749 # DEPENDENCYPART_ARC
(8,7),0.768238 # DEPENDENCYPART_ARC
(8,9),-0.47381 # DEPENDENCYPART_ARC
(8,10),-1.37749 # DEPENDENCYPART_ARC
(8,11),-1.65486 # DEPENDENCYPART_ARC
(8,12),-1.92905 # DEPENDENCYPART_ARC
(9,1),-1.37522 # DEPENDENCYPART_ARC
(9,2),-0.943754 # DEPENDENCYPART_ARC
(9,3),-1.73961 # DEPENDENCYPART_ARC
(9,4),-1.53201 # DEPENDENCYPART_ARC
(9,5),-1.34269 # DEPENDENCYPART_ARC
(9,6),-0.714489 # DEPENDENCYPART_ARC
(9,7),-0.995194 # DEPENDENCYPART_ARC
(9,8),0.181411 # DEPENDENCYPART_ARC
(9,10),0.928121 # DEPENDENCYPART_ARC
(9,11),-0.535715 # DEPENDENCYPART_ARC
(9,12),-0.477122 # DEPENDENCYPART_ARC
(9,13),-0.386193 # DEPENDENCYPART_ARC
(9,14),-1.43253 # DEPENDENCYPART_ARC
(9,15),-1.21682 # DEPENDENCYPART_ARC
(9,16),-1.02486 # DEPENDENCYPART_ARC
(9,17),-1.5022 # DEPENDENCYPART_ARC
(9,18),-0.864472 # DEPENDENCYPART_ARC
(9,19),-1.82479 # DEPENDENCYPART_ARC
(9,21),-1.7367 # DEPENDENCYPART_ARC
(9,22),-1.39485 # DEPENDENCYPART_ARC
(9,24),-1.66023 # DEPENDENCYPART_ARC
(9,27),-0.0970893 # DEPENDENCYPART_ARC
(10,2),-1.76809 # DEPENDENCYPART_ARC
(10,7),-1.71364 # DEPENDENCYPART_ARC
