# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(0,2),-1.89092 # DEPENDENCYPART_ARC
(0,3),-2.38542 # DEPENDENCYPART_ARC
(0,11),-0.300372 # DEPENDENCYPART_ARC
(1,2),-0.737083 # DEPENDENCYPART_ARC
(1,3),-1.63296 # DEPENDENCYPART_ARC
(1,4),-1.55286 # DEPENDENCYPART_ARC
(1,5),-1.80494 # DEPENDENCYPART_ARC
(1,6),-2.0928 # DEPENDENCYPART_ARC
(1,8),-2.98605 # DEPENDENCYPART_ARC
(1,10),-2.22726 # DEPENDENCYPART_ARC
(2,1),0.137793 # DEPENDENCYPART_ARC
(2,3),-0.194333 # DEPENDENCYPART_ARC
(2,4),-1.22906 # DEPENDENCYPART_ARC
(2,5),-1.15941 # DEPENDENCYPART_ARC
(2,6),-1.87487 # DEPENDENCYPART_ARC
(2,7),-2.34 # DEPENDENCYPART_ARC
(2,8),-2.56598 # DEPENDENCYPART_ARC
(2,9),-2.59689 # DEPENDENCYPART_ARC
(2,10),-2.06545 # DEPENDENCYPART_ARC
(2,11),-2.19552 # DEPENDENCYPART_ARC
(2,13),-2.11413 # DEPENDENCYPART_ARC
(2,14),-2.22302 # DEPENDENCYPART_ARC
(2,16),-2.64351 # DEPENDENCYPART_ARC
(2,17),-2.09328 # DEPENDENCYPART_ARC
(2,18),-1.60105 # DEPENDENCYPART_ARC
(3,1),0.392943 # DEPENDENCYPART_ARC
(3,2),1.45309 # DEPENDENCYPART_ARC
(3,4),0.391777 # DEPENDENCYPART_ARC
(3,5),-0.605748 # DEPENDENCYPART_ARC
(3,6),-1.425 # DEPENDENCYPART_ARC
(3,7),-2.14725 # DEPENDENCYPART_ARC
(3,8),-2.30905 # DEPENDENCYPART_ARC
(3,9),-2.31751 # DEPENDENCYPART_ARC
