# _root_ In New York Stock Exchange composite trading yesterday , Di Giorgio closed at $ 31.50 a share , down $ 1.75 .
#goldHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
#predictedHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
(0,12),-0.997542 # DEPENDENCYPART_ARC
(1,2),0.236185 # DEPENDENCYPART_ARC
(1,3),-0.498652 # DEPENDENCYPART_ARC
(1,4),-1.09956 # DEPENDENCYPART_ARC
(1,5),-1.06915 # DEPENDENCYPART_ARC
(1,6),-0.772022 # DEPENDENCYPART_ARC
(1,7),-1.09552 # DEPENDENCYPART_ARC
(1,8),-1.76648 # DEPENDENCYPART_ARC
(1,9),-1.23835 # DEPENDENCYPART_ARC
(1,11),-2.26448 # DEPENDENCYPART_ARC
(1,22),-1.43087 # DEPENDENCYPART_ARC
(2,3),-0.973888 # DEPENDENCYPART_ARC
(2,4),-1.98638 # DEPENDENCYPART_ARC
(2,5),-2.44859 # DEPENDENCYPART_ARC
(2,9),-2.09608 # DEPENDENCYPART_ARC
(3,1),-2.33542 # DEPENDENCYPART_ARC
(3,2),-0.096792 # DEPENDENCYPART_ARC
(3,4),-0.824274 # DEPENDENCYPART_ARC
(3,5),-2.00026 # DEPENDENCYPART_ARC
(3,6),-2.03848 # DEPENDENCYPART_ARC
(3,8),-2.43828 # DEPENDENCYPART_ARC
(3,9),-2.149 # DEPENDENCYPART_ARC
(4,1),-2.30554 # DEPENDENCYPART_ARC
(4,2),-0.933934 # DEPENDENCYPART_ARC
(4,3),-0.214942 # DEPENDENCYPART_ARC
(4,5),-0.885928 # DEPENDENCYPART_ARC
(4,6),-1.57562 # DEPENDENCYPART_ARC
(4,7),-1.93672 # DEPENDENCYPART_ARC
(4,8),-2.16145 # DEPENDENCYPART_ARC
(4,9),-1.90579 # DEPENDENCYPART_ARC
(4,11),-2.8831 # DEPENDENCYPART_ARC
(5,1),-2.14963 # DEPENDENCYPART_ARC
(5,2),-1.16844 # DEPENDENCYPART_ARC
(5,3),-0.91868 # DEPENDENCYPART_ARC
(5,4),0.12299 # DEPENDENCYPART_ARC
(5,6),-0.440268 # DEPENDENCYPART_ARC
(5,7),-1.42462 # DEPENDENCYPART_ARC
(5,8),-1.77095 # DEPENDENCYPART_ARC
(5,9),-1.58863 # DEPENDENCYPART_ARC
(5,11),-2.82223 # DEPENDENCYPART_ARC
(6,1),-2.07268 # DEPENDENCYPART_ARC
(6,2),-1.35424 # DEPENDENCYPART_ARC
(6,3),-1.15579 # DEPENDENCYPART_ARC
(6,4),-0.521011 # DEPENDENCYPART_ARC
