# _root_ Bear Stearns is the holding company for Bear , Stearns & Co. , the investment banking and brokerage firm .
#goldHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
(0,2),-1.79533 # DEPENDENCYPART_ARC
(0,3),-0.242053 # DEPENDENCYPART_ARC
(1,2),-0.416158 # DEPENDENCYPART_ARC
(1,3),-1.18834 # DEPENDENCYPART_ARC
(1,6),-1.73335 # DEPENDENCYPART_ARC
(1,7),-1.96452 # DEPENDENCYPART_ARC
(1,8),-2.58452 # DEPENDENCYPART_ARC
(1,9),-1.8061 # DEPENDENCYPART_ARC
(1,10),-2.58329 # DEPENDENCYPART_ARC
(1,11),-1.85744 # DEPENDENCYPART_ARC
(1,13),-2.0662 # DEPENDENCYPART_ARC
(1,16),-3.06201 # DEPENDENCYPART_ARC
(2,1),1.37226 # DEPENDENCYPART_ARC
(2,3),-0.2925 # DEPENDENCYPART_ARC
(2,6),-1.5344 # DEPENDENCYPART_ARC
(2,7),-2.02694 # DEPENDENCYPART_ARC
(2,8),-2.59544 # DEPENDENCYPART_ARC
(2,9),-1.88596 # DEPENDENCYPART_ARC
(2,11),-1.81586 # DEPENDENCYPART_ARC
(2,13),-2.10028 # DEPENDENCYPART_ARC
(3,1),-0.661317 # DEPENDENCYPART_ARC
(3,2),0.393174 # DEPENDENCYPART_ARC
(3,4),0.168177 # DEPENDENCYPART_ARC
(3,5),-0.170396 # DEPENDENCYPART_ARC
(3,6),-0.160779 # DEPENDENCYPART_ARC
(3,7),-0.782899 # DEPENDENCYPART_ARC
(3,8),-1.29798 # DEPENDENCYPART_ARC
(3,9),-1.33763 # DEPENDENCYPART_ARC
(3,10),-1.72552 # DEPENDENCYPART_ARC
(3,11),-1.50248 # DEPENDENCYPART_ARC
(3,13),-1.65475 # DEPENDENCYPART_ARC
(3,16),-1.84035 # DEPENDENCYPART_ARC
(3,17),-1.8885 # DEPENDENCYPART_ARC
(3,19),-1.99129 # DEPENDENCYPART_ARC
(3,20),0.0841769 # DEPENDENCYPART_ARC
(4,2),-1.85509 # DEPENDENCYPART_ARC
(4,5),-0.396004 # DEPENDENCYPART_ARC
(4,7),-1.52198 # DEPENDENCYPART_ARC
(5,2),-1.79555 # DEPENDENCYPART_ARC
(5,4),-0.564824 # DEPENDENCYPART_ARC
(5,6),-0.0710565 # DEPENDENCYPART_ARC
(5,7),-0.767374 # DEPENDENCYPART_ARC
(5,8),-1.3986 # DEPENDENCYPART_ARC
(5,9),-1.49435 # DEPENDENCYPART_ARC
(5,10),-1.75243 # DEPENDENCYPART_ARC
(5,11),-1.80294 # DEPENDENCYPART_ARC
(5,13),-1.67767 # DEPENDENCYPART_ARC
(5,17),-2.3895 # DEPENDENCYPART_ARC
(5,20),-1.82254 # DEPENDENCYPART_ARC
(6,1),-0.732851 # DEPENDENCYPART_ARC
(6,2),-0.551801 # DEPENDENCYPART_ARC
(6,4),1.03836 # DEPENDENCYPART_ARC
(6,5),1.20563 # DEPENDENCYPART_ARC
(6,7),0.141327 # DEPENDENCYPART_ARC
(6,8),-1.32516 # DEPENDENCYPART_ARC
(6,9),-1.46075 # DEPENDENCYPART_ARC
(6,10),-1.82672 # DEPENDENCYPART_ARC
(6,11),-1.9767 # DEPENDENCYPART_ARC
(6,12),-1.96884 # DEPENDENCYPART_ARC
(6,13),-2.10706 # DEPENDENCYPART_ARC
(6,16),-2.17125 # DEPENDENCYPART_ARC
(6,17),-2.37227 # DEPENDENCYPART_ARC
(6,19),-2.66477 # DEPENDENCYPART_ARC
(6,20),-2.10092 # DEPENDENCYPART_ARC
(7,6),-0.871552 # DEPENDENCYPART_ARC
(7,8),0.559826 # DEPENDENCYPART_ARC
(7,9),-1.02666 # DEPENDENCYPART_ARC
(7,10),-1.43623 # DEPENDENCYPART_ARC
(7,11),-1.56306 # DEPENDENCYPART_ARC
(7,12),-1.72247 # DEPENDENCYPART_ARC
(7,16),-1.84174 # DEPENDENCYPART_ARC
(7,17),-1.41928 # DEPENDENCYPART_ARC
(7,20),-2.26486 # DEPENDENCYPART_ARC
(8,6),-1.30361 # DEPENDENCYPART_ARC
(8,7),-0.597439 # DEPENDENCYPART_ARC
(8,9),0.76475 # DEPENDENCYPART_ARC
(8,10),-0.816583 # DEPENDENCYPART_ARC
(8,11),-0.968601 # DEPENDENCYPART_ARC
(8,12),-1.46621 # DEPENDENCYPART_ARC
(8,13),-1.13762 # DEPENDENCYPART_ARC
(8,15),-1.77322 # DEPENDENCYPART_ARC
(8,16),-1.89696 # DEPENDENCYPART_ARC
(8,17),-2.27875 # DEPENDENCYPART_ARC
(8,18),-2.19582 # DEPENDENCYPART_ARC
(8,19),-2.55661 # DEPENDENCYPART_ARC
(8,20),-1.89365 # DEPENDENCYPART_ARC
(9,10),-0.470048 # DEPENDENCYPART_ARC
(10,1),-2.59922 # DEPENDENCYPART_ARC
(10,2),-2.69147 # DEPENDENCYPART_ARC
(10,6),-1.20622 # DEPENDENCYPART_ARC
(10,7),-1.42967 # DEPENDENCYPART_ARC
(10,8),-0.924147 # DEPENDENCYPART_ARC
(10,9),-0.362022 # DEPENDENCYPART_ARC
(10,11),1.33787 # DEPENDENCYPART_ARC
(10,12),-0.499033 # DEPENDENCYPART_ARC
(10,13),-0.723029 # DEPENDENCYPART_ARC
(10,15),-1.34891 # DEPENDENCYPART_ARC
(10,16),-1.63136 # DEPENDENCYPART_ARC
(10,17),-1.55455 # DEPENDENCYPART_ARC
(10,19),-2.16508 # DEPENDENCYPART_ARC
(10,20),-1.67983 # DEPENDENCYPART_ARC
(11,2),-1.92335 # DEPENDENCYPART_ARC
(11,9),-1.63651 # DEPENDENCYPART_ARC
(11,10),-0.422178 # DEPENDENCYPART_ARC
(11,12),1.04517 # DEPENDENCYPART_ARC
(11,13),-0.15109 # DEPENDENCYPART_ARC
(11,14),-1.01254 # DEPENDENCYPART_ARC
(11,15),-0.855146 # DEPENDENCYPART_ARC
(11,16),-1.02917 # DEPENDENCYPART_ARC
(11,17),-0.595459 # DEPENDENCYPART_ARC
(11,18),-1.42985 # DEPENDENCYPART_ARC
