# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
(0,1),-1.13539 # DEPENDENCYPART_ARC
(0,3),-0.560176 # DEPENDENCYPART_ARC
(0,4),-2.01553 # DEPENDENCYPART_ARC
(0,9),-1.9748 # DEPENDENCYPART_ARC
(0,16),-2.71935 # DEPENDENCYPART_ARC
(0,17),-2.86394 # DEPENDENCYPART_ARC
(0,23),-1.81344 # DEPENDENCYPART_ARC
(1,2),0.303966 # DEPENDENCYPART_ARC
(1,3),0.3558 # DEPENDENCYPART_ARC
(1,4),-0.954569 # DEPENDENCYPART_ARC
(1,5),-1.2005 # DEPENDENCYPART_ARC
(1,6),-1.8649 # DEPENDENCYPART_ARC
(1,7),-1.99976 # DEPENDENCYPART_ARC
(1,8),-1.2544 # DEPENDENCYPART_ARC
(1,9),-1.50983 # DEPENDENCYPART_ARC
(1,16),-1.02934 # DEPENDENCYPART_ARC
(1,21),-0.579582 # DEPENDENCYPART_ARC
(1,23),-1.17774 # DEPENDENCYPART_ARC
(1,38),-0.69014 # DEPENDENCYPART_ARC
(2,1),-0.548194 # DEPENDENCYPART_ARC
(2,4),-1.66308 # DEPENDENCYPART_ARC
(2,8),-1.83694 # DEPENDENCYPART_ARC
(3,1),-1.07556 # DEPENDENCYPART_ARC
(3,2),0.695218 # DEPENDENCYPART_ARC
(3,4),0.806612 # DEPENDENCYPART_ARC
(3,5),-0.79906 # DEPENDENCYPART_ARC
(3,6),-1.43805 # DEPENDENCYPART_ARC
(3,7),-1.65541 # DEPENDENCYPART_ARC
(3,8),-1.40627 # DEPENDENCYPART_ARC
(3,9),-1.71862 # DEPENDENCYPART_ARC
(3,10),-1.68676 # DEPENDENCYPART_ARC
(3,13),-1.97493 # DEPENDENCYPART_ARC
(3,16),-1.62315 # DEPENDENCYPART_ARC
(3,25),-1.9599 # DEPENDENCYPART_ARC
(3,38),0.587753 # DEPENDENCYPART_ARC
(4,1),-1.4503 # DEPENDENCYPART_ARC
(4,2),-1.45496 # DEPENDENCYPART_ARC
(4,5),0.88514 # DEPENDENCYPART_ARC
(4,6),-0.662793 # DEPENDENCYPART_ARC
(4,7),-0.88111 # DEPENDENCYPART_ARC
(4,8),-1.00035 # DEPENDENCYPART_ARC
(4,9),-1.33896 # DEPENDENCYPART_ARC
(4,10),-0.802774 # DEPENDENCYPART_ARC
