# _root_ Foreign stock markets , which kicked off Black Monday with a huge selling spree , began the day off by relatively modest amounts .
#goldHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,23,23,20,16,
#predictedHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,22,23,20,16,
(0,3),-1.57497 # DEPENDENCYPART_ARC
(0,6),-1.42517 # DEPENDENCYPART_ARC
(0,16),-1.28021 # DEPENDENCYPART_ARC
(1,2),-0.242558 # DEPENDENCYPART_ARC
(1,4),-1.20942 # DEPENDENCYPART_ARC
(1,6),-1.50125 # DEPENDENCYPART_ARC
(2,1),-0.0974257 # DEPENDENCYPART_ARC
(2,4),-1.71647 # DEPENDENCYPART_ARC
(2,6),-1.5322 # DEPENDENCYPART_ARC
(2,7),-2.01779 # DEPENDENCYPART_ARC
(2,15),-2.05224 # DEPENDENCYPART_ARC
(3,1),0.418504 # DEPENDENCYPART_ARC
(3,2),2.20591 # DEPENDENCYPART_ARC
(3,4),0.328277 # DEPENDENCYPART_ARC
(3,5),-1.39019 # DEPENDENCYPART_ARC
(3,6),-0.803993 # DEPENDENCYPART_ARC
(3,7),-1.53151 # DEPENDENCYPART_ARC
(3,8),-1.79069 # DEPENDENCYPART_ARC
(3,9),-1.91025 # DEPENDENCYPART_ARC
(3,10),-1.68589 # DEPENDENCYPART_ARC
(3,14),-2.07527 # DEPENDENCYPART_ARC
(3,15),-1.23283 # DEPENDENCYPART_ARC
(3,16),-2.12897 # DEPENDENCYPART_ARC
(3,18),-2.20209 # DEPENDENCYPART_ARC
(3,20),-2.08045 # DEPENDENCYPART_ARC
(3,21),-1.81509 # DEPENDENCYPART_ARC
(3,23),-1.97416 # DEPENDENCYPART_ARC
(3,24),-2.62983 # DEPENDENCYPART_ARC
(4,3),-0.512438 # DEPENDENCYPART_ARC
(4,6),-1.24375 # DEPENDENCYPART_ARC
(5,3),-1.53643 # DEPENDENCYPART_ARC
(5,4),-0.499258 # DEPENDENCYPART_ARC
(5,6),-0.13025 # DEPENDENCYPART_ARC
(5,7),-1.19803 # DEPENDENCYPART_ARC
(6,3),-1.42026 # DEPENDENCYPART_ARC
(6,4),-1.339 # DEPENDENCYPART_ARC
(6,5),0.459332 # DEPENDENCYPART_ARC
(6,7),0.893477 # DEPENDENCYPART_ARC
(6,8),-0.363226 # DEPENDENCYPART_ARC
(6,9),-0.572062 # DEPENDENCYPART_ARC
(6,10),-0.302962 # DEPENDENCYPART_ARC
(6,12),-1.51566 # DEPENDENCYPART_ARC
(6,13),-0.958652 # DEPENDENCYPART_ARC
(6,14),-0.933112 # DEPENDENCYPART_ARC
(6,15),-1.24626 # DEPENDENCYPART_ARC
(6,16),-1.27674 # DEPENDENCYPART_ARC
(6,18),-1.45219 # DEPENDENCYPART_ARC
(6,19),-1.98861 # DEPENDENCYPART_ARC
(6,20),-1.24254 # DEPENDENCYPART_ARC
(6,21),-1.45424 # DEPENDENCYPART_ARC
(6,23),-2.04245 # DEPENDENCYPART_ARC
(6,24),-0.544458 # DEPENDENCYPART_ARC
(7,3),-1.83498 # DEPENDENCYPART_ARC
(7,4),-1.7922 # DEPENDENCYPART_ARC
(7,5),-1.48845 # DEPENDENCYPART_ARC
(7,8),-0.462961 # DEPENDENCYPART_ARC
(7,9),-1.46032 # DEPENDENCYPART_ARC
(7,10),-1.55456 # DEPENDENCYPART_ARC
(7,14),-1.96009 # DEPENDENCYPART_ARC
(8,3),-1.99281 # DEPENDENCYPART_ARC
(8,5),-2.17867 # DEPENDENCYPART_ARC
(8,6),-1.7821 # DEPENDENCYPART_ARC
(8,7),-0.600098 # DEPENDENCYPART_ARC
(8,9),-0.534598 # DEPENDENCYPART_ARC
(8,10),-1.43428 # DEPENDENCYPART_ARC
(8,14),-2.16377 # DEPENDENCYPART_ARC
(8,15),-1.87754 # DEPENDENCYPART_ARC
(8,16),-2.2651 # DEPENDENCYPART_ARC
(9,1),-2.05022 # DEPENDENCYPART_ARC
(9,3),-1.57578 # DEPENDENCYPART_ARC
(9,4),-2.1498 # DEPENDENCYPART_ARC
(9,5),-1.76482 # DEPENDENCYPART_ARC
(9,6),-1.41158 # DEPENDENCYPART_ARC
(9,7),-1.0633 # DEPENDENCYPART_ARC
(9,8),1.107 # DEPENDENCYPART_ARC
(9,10),-0.262153 # DEPENDENCYPART_ARC
(9,12),-1.42064 # DEPENDENCYPART_ARC
(9,13),-1.4714 # DEPENDENCYPART_ARC
(9,14),-1.59482 # DEPENDENCYPART_ARC
(9,15),-1.58062 # DEPENDENCYPART_ARC
(9,16),-2.00549 # DEPENDENCYPART_ARC
(9,18),-2.25551 # DEPENDENCYPART_ARC
(9,24),-2.09014 # DEPENDENCYPART_ARC
