# _root_ At Jefferies & Co. , J. Francis Palamara did n't reach the office until 5:30 a.m. , but then he had been up most of the night at home .
#goldHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,18,21,19,21,22,22,24,27,25,22,28,9,
#predictedHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,21,21,18,21,22,22,24,27,25,22,28,9,
(0,1),-1.21462 # DEPENDENCYPART_ARC
(0,2),-1.75449 # DEPENDENCYPART_ARC
(0,9),-1.32473 # DEPENDENCYPART_ARC
(0,11),-2.60671 # DEPENDENCYPART_ARC
(0,21),-2.19507 # DEPENDENCYPART_ARC
(1,2),0.577935 # DEPENDENCYPART_ARC
(1,3),-0.637211 # DEPENDENCYPART_ARC
(1,4),-0.948224 # DEPENDENCYPART_ARC
(1,5),-1.08595 # DEPENDENCYPART_ARC
(1,6),-1.64217 # DEPENDENCYPART_ARC
(1,7),-1.70234 # DEPENDENCYPART_ARC
(1,8),-1.45536 # DEPENDENCYPART_ARC
(1,9),-0.788659 # DEPENDENCYPART_ARC
(1,11),-1.64479 # DEPENDENCYPART_ARC
(1,17),-1.02939 # DEPENDENCYPART_ARC
(1,18),-1.37023 # DEPENDENCYPART_ARC
(1,30),-1.93045 # DEPENDENCYPART_ARC
(2,1),-0.44244 # DEPENDENCYPART_ARC
(2,3),1.12105 # DEPENDENCYPART_ARC
(2,4),-0.659775 # DEPENDENCYPART_ARC
(2,5),-0.883143 # DEPENDENCYPART_ARC
(2,6),-1.53548 # DEPENDENCYPART_ARC
(2,7),-1.98339 # DEPENDENCYPART_ARC
(2,8),-2.25609 # DEPENDENCYPART_ARC
(2,9),-1.5524 # DEPENDENCYPART_ARC
(2,10),-1.7386 # DEPENDENCYPART_ARC
(2,11),-2.1415 # DEPENDENCYPART_ARC
(2,13),-2.21383 # DEPENDENCYPART_ARC
(2,16),-2.49732 # DEPENDENCYPART_ARC
(2,17),-1.91545 # DEPENDENCYPART_ARC
(3,1),-1.45973 # DEPENDENCYPART_ARC
(3,2),-0.429169 # DEPENDENCYPART_ARC
(3,4),1.05378 # DEPENDENCYPART_ARC
(3,5),-0.133784 # DEPENDENCYPART_ARC
(3,6),-1.18872 # DEPENDENCYPART_ARC
(3,7),-1.44094 # DEPENDENCYPART_ARC
(3,8),-1.42727 # DEPENDENCYPART_ARC
(3,9),-1.29765 # DEPENDENCYPART_ARC
(3,10),-1.39535 # DEPENDENCYPART_ARC
(3,11),-1.54067 # DEPENDENCYPART_ARC
(3,13),-1.60512 # DEPENDENCYPART_ARC
(3,14),-1.3859 # DEPENDENCYPART_ARC
(3,16),-1.79698 # DEPENDENCYPART_ARC
(3,17),-0.62692 # DEPENDENCYPART_ARC
(3,18),-0.916604 # DEPENDENCYPART_ARC
(3,21),-2.01859 # DEPENDENCYPART_ARC
(4,2),-1.9185 # DEPENDENCYPART_ARC
(4,5),0.0284387 # DEPENDENCYPART_ARC
(4,6),-1.63741 # DEPENDENCYPART_ARC
(4,7),-2.15792 # DEPENDENCYPART_ARC
(4,8),-2.31287 # DEPENDENCYPART_ARC
(4,9),-1.91989 # DEPENDENCYPART_ARC
(6,2),-3.22486 # DEPENDENCYPART_ARC
(6,4),-2.33268 # DEPENDENCYPART_ARC
(6,5),-1.33505 # DEPENDENCYPART_ARC
(6,7),-0.726427 # DEPENDENCYPART_ARC
(6,8),-1.67805 # DEPENDENCYPART_ARC
(7,2),-2.56743 # DEPENDENCYPART_ARC
(7,4),-2.234 # DEPENDENCYPART_ARC
(7,5),-2.13381 # DEPENDENCYPART_ARC
(7,6),0.204023 # DEPENDENCYPART_ARC
(7,8),-0.0451808 # DEPENDENCYPART_ARC
(7,9),-1.33665 # DEPENDENCYPART_ARC
(7,10),-1.63188 # DEPENDENCYPART_ARC
(7,11),-2.06652 # DEPENDENCYPART_ARC
(7,13),-1.86328 # DEPENDENCYPART_ARC
(7,16),-2.22971 # DEPENDENCYPART_ARC
(8,1),-2.07143 # DEPENDENCYPART_ARC
(8,2),-1.9935 # DEPENDENCYPART_ARC
(8,3),-1.64404 # DEPENDENCYPART_ARC
(8,4),-1.44675 # DEPENDENCYPART_ARC
(8,5),-1.56511 # DEPENDENCYPART_ARC
(8,6),0.335707 # DEPENDENCYPART_ARC
(8,7),1.16981 # DEPENDENCYPART_ARC
(8,9),-0.504721 # DEPENDENCYPART_ARC
(8,10),-1.50917 # DEPENDENCYPART_ARC
(8,11),-1.94139 # DEPENDENCYPART_ARC
(8,13),-1.73952 # DEPENDENCYPART_ARC
(9,1),-1.10618 # DEPENDENCYPART_ARC
(9,2),-1.51311 # DEPENDENCYPART_ARC
(9,3),-1.2959 # DEPENDENCYPART_ARC
(9,4),-1.80535 # DEPENDENCYPART_ARC
(9,5),-0.8291 # DEPENDENCYPART_ARC
