# _root_ Sales climbed to an estimated $ 245 million in fiscal 1989 , ended Aug. 31 , from $ 99.9 million in fiscal 1985 .
#goldHeads=2,0,2,6,6,3,6,6,3,11,9,11,11,13,14,11,2,17,18,18,17,23,21,2,
#predictedHeads=2,0,2,6,6,3,6,6,6,11,9,6,6,13,14,6,2,17,18,18,18,23,21,2,
(0,1),-0.775789 # DEPENDENCYPART_ARC
(0,2),-1.10207 # DEPENDENCYPART_ARC
(0,5),-2.08925 # DEPENDENCYPART_ARC
(1,2),-0.20003 # DEPENDENCYPART_ARC
(1,3),-0.909661 # DEPENDENCYPART_ARC
(1,4),-1.58037 # DEPENDENCYPART_ARC
(1,5),-1.50502 # DEPENDENCYPART_ARC
(1,6),-1.47909 # DEPENDENCYPART_ARC
(1,9),-1.4614 # DEPENDENCYPART_ARC
(1,12),-1.89681 # DEPENDENCYPART_ARC
(1,24),-2.62057 # DEPENDENCYPART_ARC
(2,1),0.823834 # DEPENDENCYPART_ARC
(2,3),1.2667 # DEPENDENCYPART_ARC
(2,4),-0.59623 # DEPENDENCYPART_ARC
(2,5),-0.579253 # DEPENDENCYPART_ARC
(2,6),-0.99343 # DEPENDENCYPART_ARC
(2,9),-0.63047 # DEPENDENCYPART_ARC
(2,10),-1.65896 # DEPENDENCYPART_ARC
(2,11),-1.76869 # DEPENDENCYPART_ARC
(2,12),-1.0123 # DEPENDENCYPART_ARC
(2,13),-1.35353 # DEPENDENCYPART_ARC
(2,14),-1.73649 # DEPENDENCYPART_ARC
(2,16),-1.28015 # DEPENDENCYPART_ARC
(2,17),-1.03389 # DEPENDENCYPART_ARC
(2,21),-1.32286 # DEPENDENCYPART_ARC
(2,22),-2.12101 # DEPENDENCYPART_ARC
(2,24),-0.36145 # DEPENDENCYPART_ARC
(3,1),-1.84954 # DEPENDENCYPART_ARC
(3,4),0.310012 # DEPENDENCYPART_ARC
(3,5),-0.658631 # DEPENDENCYPART_ARC
(3,6),-0.792647 # DEPENDENCYPART_ARC
(3,8),-1.60951 # DEPENDENCYPART_ARC
(3,9),-1.07819 # DEPENDENCYPART_ARC
(3,10),-1.75151 # DEPENDENCYPART_ARC
(3,11),-1.84865 # DEPENDENCYPART_ARC
(3,12),-1.28143 # DEPENDENCYPART_ARC
(3,13),-1.80522 # DEPENDENCYPART_ARC
