# _root_ `` When I want to buy , they run from you -- they keep changing their prices , '' Mr. Smith said .
#goldHeads=22,6,4,9,4,5,9,9,22,9,10,9,14,9,14,17,15,22,22,21,22,0,22,
#predictedHeads=22,4,4,9,4,5,9,9,22,9,10,9,14,9,14,17,15,22,22,21,22,0,22,
(0,4),-1.29547 # DEPENDENCYPART_ARC
(0,9),-1.54859 # DEPENDENCYPART_ARC
(0,22),0.663426 # DEPENDENCYPART_ARC
(1,2),-0.880196 # DEPENDENCYPART_ARC
(1,4),-1.84886 # DEPENDENCYPART_ARC
(2,1),-0.584644 # DEPENDENCYPART_ARC
(2,3),-0.15928 # DEPENDENCYPART_ARC
(2,4),-0.884182 # DEPENDENCYPART_ARC
(2,5),-1.25592 # DEPENDENCYPART_ARC
(2,7),-1.53893 # DEPENDENCYPART_ARC
(2,9),-1.58978 # DEPENDENCYPART_ARC
(2,10),-1.59951 # DEPENDENCYPART_ARC
(2,14),-1.87158 # DEPENDENCYPART_ARC
(3,2),-1.05842 # DEPENDENCYPART_ARC
(3,4),-0.428189 # DEPENDENCYPART_ARC
(3,5),-1.26406 # DEPENDENCYPART_ARC
(3,7),-1.58853 # DEPENDENCYPART_ARC
(4,1),-0.916542 # DEPENDENCYPART_ARC
(4,2),-0.394071 # DEPENDENCYPART_ARC
(4,3),0.850851 # DEPENDENCYPART_ARC
(4,5),1.11142 # DEPENDENCYPART_ARC
(4,6),-0.431111 # DEPENDENCYPART_ARC
(4,7),-1.00437 # DEPENDENCYPART_ARC
(4,8),-1.30333 # DEPENDENCYPART_ARC
(4,9),-0.915068 # DEPENDENCYPART_ARC
(4,10),-1.07153 # DEPENDENCYPART_ARC
(4,11),-1.56228 # DEPENDENCYPART_ARC
(4,12),-1.06467 # DEPENDENCYPART_ARC
(4,13),-1.7222 # DEPENDENCYPART_ARC
(4,14),-1.21847 # DEPENDENCYPART_ARC
(4,15),-1.35274 # DEPENDENCYPART_ARC
(4,17),-1.80895 # DEPENDENCYPART_ARC
(4,18),-1.68956 # DEPENDENCYPART_ARC
(4,19),-0.84732 # DEPENDENCYPART_ARC
(4,21),-2.16295 # DEPENDENCYPART_ARC
(4,22),-2.15924 # DEPENDENCYPART_ARC
(4,23),-1.17216 # DEPENDENCYPART_ARC
(5,1),-1.81995 # DEPENDENCYPART_ARC
(5,2),-1.08606 # DEPENDENCYPART_ARC
(5,3),-1.47051 # DEPENDENCYPART_ARC
(5,4),-0.447992 # DEPENDENCYPART_ARC
(5,6),0.879361 # DEPENDENCYPART_ARC
(5,7),-0.97369 # DEPENDENCYPART_ARC
(5,8),-1.17163 # DEPENDENCYPART_ARC
(5,9),-1.37403 # DEPENDENCYPART_ARC
(5,10),-1.41122 # DEPENDENCYPART_ARC
(5,11),-1.57545 # DEPENDENCYPART_ARC
(5,12),-1.16053 # DEPENDENCYPART_ARC
(5,14),-1.79034 # DEPENDENCYPART_ARC
(6,1),-1.53087 # DEPENDENCYPART_ARC
(6,2),-0.564107 # DEPENDENCYPART_ARC
(6,3),-1.4004 # DEPENDENCYPART_ARC
(6,4),-1.19249 # DEPENDENCYPART_ARC
(6,5),-0.243212 # DEPENDENCYPART_ARC
(6,7),-0.171459 # DEPENDENCYPART_ARC
(6,8),-0.898899 # DEPENDENCYPART_ARC
(6,9),-0.879665 # DEPENDENCYPART_ARC
(6,10),-0.956411 # DEPENDENCYPART_ARC
(6,11),-1.44526 # DEPENDENCYPART_ARC
(6,12),-1.28702 # DEPENDENCYPART_ARC
(6,13),-1.68179 # DEPENDENCYPART_ARC
(6,14),-1.59682 # DEPENDENCYPART_ARC
(6,15),-1.58993 # DEPENDENCYPART_ARC
(6,17),-2.00801 # DEPENDENCYPART_ARC
(6,18),-1.94937 # DEPENDENCYPART_ARC
(6,19),-1.70432 # DEPENDENCYPART_ARC
(6,21),-2.0936 # DEPENDENCYPART_ARC
(7,9),-1.04571 # DEPENDENCYPART_ARC
(8,7),-0.663192 # DEPENDENCYPART_ARC
(8,10),-1.19196 # DEPENDENCYPART_ARC
(9,1),-1.41734 # DEPENDENCYPART_ARC
(9,2),-0.889182 # DEPENDENCYPART_ARC
(9,3),-1.5221 # DEPENDENCYPART_ARC
(9,4),-1.38864 # DEPENDENCYPART_ARC
(9,5),-1.19153 # DEPENDENCYPART_ARC
(9,6),-1.2421 # DEPENDENCYPART_ARC
(9,7),-0.393086 # DEPENDENCYPART_ARC
(9,8),0.96216 # DEPENDENCYPART_ARC
(9,10),1.01515 # DEPENDENCYPART_ARC
(9,11),-0.522489 # DEPENDENCYPART_ARC
(9,12),-0.508215 # DEPENDENCYPART_ARC
(9,13),-1.19275 # DEPENDENCYPART_ARC
(9,14),-0.865528 # DEPENDENCYPART_ARC
(9,15),-0.994784 # DEPENDENCYPART_ARC
(9,17),-1.40444 # DEPENDENCYPART_ARC
(9,18),-1.39888 # DEPENDENCYPART_ARC
(9,19),-1.11836 # DEPENDENCYPART_ARC
(9,21),-1.95394 # DEPENDENCYPART_ARC
(9,22),-1.81898 # DEPENDENCYPART_ARC
(9,23),-0.786648 # DEPENDENCYPART_ARC
(10,2),-1.74674 # DEPENDENCYPART_ARC
(10,7),-1.88808 # DEPENDENCYPART_ARC
(10,9),-0.728452 # DEPENDENCYPART_ARC
(10,11),0.49986 # DEPENDENCYPART_ARC
(10,12),-0.563917 # DEPENDENCYPART_ARC
(10,13),-0.983062 # DEPENDENCYPART_ARC
(10,14),-0.771707 # DEPENDENCYPART_ARC
(10,15),-1.14654 # DEPENDENCYPART_ARC
(10,17),-1.41967 # DEPENDENCYPART_ARC
(10,18),-1.49385 # DEPENDENCYPART_ARC
(10,19),-0.987016 # DEPENDENCYPART_ARC
(10,21),-2.16164 # DEPENDENCYPART_ARC
(10,22),-1.60696 # DEPENDENCYPART_ARC
(11,12),-0.317037 # DEPENDENCYPART_ARC
(11,13),-1.3696 # DEPENDENCYPART_ARC
(11,14),-1.55277 # DEPENDENCYPART_ARC
(12,10),-1.79734 # DEPENDENCYPART_ARC
(12,11),-0.718844 # DEPENDENCYPART_ARC
(12,13),-0.312447 # DEPENDENCYPART_ARC
(12,14),-1.13067 # DEPENDENCYPART_ARC
(13,11),-1.67547 # DEPENDENCYPART_ARC
(13,12),-0.620779 # DEPENDENCYPART_ARC
(13,15),-1.14991 # DEPENDENCYPART_ARC
(13,17),-1.45376 # DEPENDENCYPART_ARC
(14,1),-1.5269 # DEPENDENCYPART_ARC
(14,2),-1.41384 # DEPENDENCYPART_ARC
(14,3),-2.11551 # DEPENDENCYPART_ARC
(14,4),-1.55743 # DEPENDENCYPART_ARC
(14,5),-1.56848 # DEPENDENCYPART_ARC
(14,7),-1.28028 # DEPENDENCYPART_ARC
(14,8),-1.52906 # DEPENDENCYPART_ARC
(14,9),-1.40255 # DEPENDENCYPART_ARC
(14,10),-1.03007 # DEPENDENCYPART_ARC
(14,11),-1.09689 # DEPENDENCYPART_ARC
(14,12),-1.06469 # DEPENDENCYPART_ARC
(14,13),0.850726 # DEPENDENCYPART_ARC
(14,15),0.941158 # DEPENDENCYPART_ARC
(14,16),-0.663097 # DEPENDENCYPART_ARC
(14,17),-0.643099 # DEPENDENCYPART_ARC
(14,18),-1.18966 # DEPENDENCYPART_ARC
(14,19),-1.317 # DEPENDENCYPART_ARC
(14,21),-1.73141 # DEPENDENCYPART_ARC
(14,22),-1.52959 # DEPENDENCYPART_ARC
(14,23),-0.883155 # DEPENDENCYPART_ARC
(15,2),-1.68791 # DEPENDENCYPART_ARC
(15,4),-1.67615 # DEPENDENCYPART_ARC
(15,9),-1.51137 # DEPENDENCYPART_ARC
(15,10),-1.42622 # DEPENDENCYPART_ARC
(15,11),-1.80445 # DEPENDENCYPART_ARC
(15,12),-1.16571 # DEPENDENCYPART_ARC
(15,13),-1.34971 # DEPENDENCYPART_ARC
(15,14),-0.242441 # DEPENDENCYPART_ARC
(15,16),0.531428 # DEPENDENCYPART_ARC
(15,17),0.161077 # DEPENDENCYPART_ARC
(15,18),-0.805723 # DEPENDENCYPART_ARC
