# _root_ But then it suddenly burst upward 7.5 as Goldman , Sachs & Co. stepped in and bought almost every share offer , traders said .
#goldHeads=5,5,5,5,24,5,5,5,14,9,9,11,12,8,14,14,16,21,21,21,17,24,24,0,24,
#predictedHeads=5,5,5,5,24,5,6,5,14,9,9,11,12,8,14,14,16,17,21,21,17,24,24,0,24,
(0,5),-1.32925 # DEPENDENCYPART_ARC
(0,14),-1.89779 # DEPENDENCYPART_ARC
(0,24),-0.831194 # DEPENDENCYPART_ARC
(1,2),-0.61396 # DEPENDENCYPART_ARC
(1,3),-1.65202 # DEPENDENCYPART_ARC
(1,4),-2.06632 # DEPENDENCYPART_ARC
(1,5),-1.60371 # DEPENDENCYPART_ARC
(2,1),-0.467345 # DEPENDENCYPART_ARC
(2,3),-0.123044 # DEPENDENCYPART_ARC
(2,4),-1.16803 # DEPENDENCYPART_ARC
(2,5),-1.12127 # DEPENDENCYPART_ARC
(2,6),-1.73217 # DEPENDENCYPART_ARC
(2,7),-1.82066 # DEPENDENCYPART_ARC
(2,8),-1.62041 # DEPENDENCYPART_ARC
(2,9),-2.21129 # DEPENDENCYPART_ARC
(2,10),-1.91789 # DEPENDENCYPART_ARC
(2,12),-1.72078 # DEPENDENCYPART_ARC
(3,1),-1.81268 # DEPENDENCYPART_ARC
(3,2),-0.808187 # DEPENDENCYPART_ARC
(3,4),-0.411242 # DEPENDENCYPART_ARC
(3,5),-1.23303 # DEPENDENCYPART_ARC
(3,6),-1.5375 # DEPENDENCYPART_ARC
(3,7),-1.9154 # DEPENDENCYPART_ARC
(3,8),-1.5864 # DEPENDENCYPART_ARC
(3,12),-1.75474 # DEPENDENCYPART_ARC
(4,1),-1.64926 # DEPENDENCYPART_ARC
(4,2),-1.75324 # DEPENDENCYPART_ARC
(4,3),-0.763737 # DEPENDENCYPART_ARC
(4,5),-0.284964 # DEPENDENCYPART_ARC
(4,6),-1.23997 # DEPENDENCYPART_ARC
(4,7),-1.47566 # DEPENDENCYPART_ARC
(4,8),-1.52606 # DEPENDENCYPART_ARC
(4,9),-1.99924 # DEPENDENCYPART_ARC
(5,1),-1.16709 # DEPENDENCYPART_ARC
(5,2),-0.873318 # DEPENDENCYPART_ARC
(5,3),-0.296308 # DEPENDENCYPART_ARC
(5,4),0.703967 # DEPENDENCYPART_ARC
(5,6),0.77767 # DEPENDENCYPART_ARC
(5,7),-0.551047 # DEPENDENCYPART_ARC
(5,8),-0.227526 # DEPENDENCYPART_ARC
(5,9),-1.00077 # DEPENDENCYPART_ARC
(5,10),-1.19604 # DEPENDENCYPART_ARC
(5,11),-1.48637 # DEPENDENCYPART_ARC
(5,12),-1.44554 # DEPENDENCYPART_ARC
(5,14),-1.39499 # DEPENDENCYPART_ARC
(5,15),-1.28496 # DEPENDENCYPART_ARC
(5,16),-1.6887 # DEPENDENCYPART_ARC
(5,17),-1.85247 # DEPENDENCYPART_ARC
(5,18),-1.62465 # DEPENDENCYPART_ARC
(5,21),-1.5761 # DEPENDENCYPART_ARC
(5,22),-2.09256 # DEPENDENCYPART_ARC
(5,25),0.131756 # DEPENDENCYPART_ARC
(6,1),-1.92348 # DEPENDENCYPART_ARC
(6,2),-2.09184 # DEPENDENCYPART_ARC
(6,4),-1.67057 # DEPENDENCYPART_ARC
(6,5),-0.581831 # DEPENDENCYPART_ARC
(6,7),0.359192 # DEPENDENCYPART_ARC
(6,8),-0.911754 # DEPENDENCYPART_ARC
(6,9),-1.413 # DEPENDENCYPART_ARC
(6,10),-1.50232 # DEPENDENCYPART_ARC
(6,11),-1.76082 # DEPENDENCYPART_ARC
(6,12),-1.3385 # DEPENDENCYPART_ARC
(6,14),-1.72553 # DEPENDENCYPART_ARC
(6,15),-2.00026 # DEPENDENCYPART_ARC
(6,16),-1.51283 # DEPENDENCYPART_ARC
(7,1),-1.47471 # DEPENDENCYPART_ARC
(7,2),-1.61591 # DEPENDENCYPART_ARC
(7,3),-1.70877 # DEPENDENCYPART_ARC
(7,4),-1.30628 # DEPENDENCYPART_ARC
(7,5),-1.01687 # DEPENDENCYPART_ARC
(7,6),0.0768677 # DEPENDENCYPART_ARC
(7,8),-0.331603 # DEPENDENCYPART_ARC
(7,9),-1.32923 # DEPENDENCYPART_ARC
(7,10),-1.24498 # DEPENDENCYPART_ARC
(7,11),-1.715 # DEPENDENCYPART_ARC
(7,12),-1.7646 # DEPENDENCYPART_ARC
(7,14),-1.67588 # DEPENDENCYPART_ARC
(8,1),-1.5302 # DEPENDENCYPART_ARC
(8,2),-1.83167 # DEPENDENCYPART_ARC
(8,4),-1.80757 # DEPENDENCYPART_ARC
(8,6),-1.59358 # DEPENDENCYPART_ARC
(8,7),-0.85096 # DEPENDENCYPART_ARC
(8,9),0.358956 # DEPENDENCYPART_ARC
(8,10),-1.04757 # DEPENDENCYPART_ARC
(8,11),-1.68041 # DEPENDENCYPART_ARC
(8,12),-1.70084 # DEPENDENCYPART_ARC
(8,14),-0.887801 # DEPENDENCYPART_ARC
(8,16),-1.81758 # DEPENDENCYPART_ARC
(8,17),-1.3905 # DEPENDENCYPART_ARC
(9,6),-1.78833 # DEPENDENCYPART_ARC
(9,7),-1.45659 # DEPENDENCYPART_ARC
(9,8),-0.460628 # DEPENDENCYPART_ARC
(9,10),0.78575 # DEPENDENCYPART_ARC
(9,11),-0.837448 # DEPENDENCYPART_ARC
(9,12),-0.908353 # DEPENDENCYPART_ARC
(9,13),-1.75522 # DEPENDENCYPART_ARC
(9,14),-1.47365 # DEPENDENCYPART_ARC
(9,15),-1.78259 # DEPENDENCYPART_ARC
(9,16),-2.14348 # DEPENDENCYPART_ARC
(9,17),-1.73413 # DEPENDENCYPART_ARC
(9,21),-2.39261 # DEPENDENCYPART_ARC
(9,22),-1.49285 # DEPENDENCYPART_ARC
(9,23),-2.05876 # DEPENDENCYPART_ARC
(9,24),-2.17762 # DEPENDENCYPART_ARC
(11,3),-2.59389 # DEPENDENCYPART_ARC
(11,6),-1.79565 # DEPENDENCYPART_ARC
(11,7),-1.73906 # DEPENDENCYPART_ARC
(11,8),-1.51715 # DEPENDENCYPART_ARC
(11,9),-1.17723 # DEPENDENCYPART_ARC
(11,10),-0.512408 # DEPENDENCYPART_ARC
(11,12),1.30809 # DEPENDENCYPART_ARC
(11,13),-0.53928 # DEPENDENCYPART_ARC
(11,14),-0.922937 # DEPENDENCYPART_ARC
(11,15),-1.29634 # DEPENDENCYPART_ARC
(11,16),-1.4923 # DEPENDENCYPART_ARC
(11,17),-1.3547 # DEPENDENCYPART_ARC
(11,21),-1.99341 # DEPENDENCYPART_ARC
(11,22),-1.51931 # DEPENDENCYPART_ARC
(11,23),-1.86271 # DEPENDENCYPART_ARC
(11,24),-1.95169 # DEPENDENCYPART_ARC
(12,10),-1.60584 # DEPENDENCYPART_ARC
(12,11),-0.372521 # DEPENDENCYPART_ARC
(12,13),1.19121 # DEPENDENCYPART_ARC
(12,14),-0.168485 # DEPENDENCYPART_ARC
(12,15),-0.874442 # DEPENDENCYPART_ARC
(12,16),-0.583314 # DEPENDENCYPART_ARC
(12,17),-0.798366 # DEPENDENCYPART_ARC
(12,18),-1.35617 # DEPENDENCYPART_ARC
(12,21),-1.51254 # DEPENDENCYPART_ARC
(12,22),-0.883008 # DEPENDENCYPART_ARC
(12,23),-1.70348 # DEPENDENCYPART_ARC
(12,24),-1.47778 # DEPENDENCYPART_ARC
(13,14),-0.864556 # DEPENDENCYPART_ARC
(14,1),-1.18079 # DEPENDENCYPART_ARC
(14,2),-1.37848 # DEPENDENCYPART_ARC
(14,3),-2.08965 # DEPENDENCYPART_ARC
(14,4),-1.32351 # DEPENDENCYPART_ARC
(14,5),-1.7339 # DEPENDENCYPART_ARC
(14,6),-1.38073 # DEPENDENCYPART_ARC
(14,7),-1.51085 # DEPENDENCYPART_ARC
(14,8),-0.886394 # DEPENDENCYPART_ARC
(14,9),-1.55499 # DEPENDENCYPART_ARC
(14,10),-0.88308 # DEPENDENCYPART_ARC
(14,11),-0.948337 # DEPENDENCYPART_ARC
(14,12),-0.88633 # DEPENDENCYPART_ARC
(14,13),0.112365 # DEPENDENCYPART_ARC
(14,15),1.10789 # DEPENDENCYPART_ARC
(14,16),-0.050069 # DEPENDENCYPART_ARC
(14,17),-0.317045 # DEPENDENCYPART_ARC
(14,18),-0.599787 # DEPENDENCYPART_ARC
(14,19),-1.13509 # DEPENDENCYPART_ARC
(14,20),-0.658599 # DEPENDENCYPART_ARC
(14,21),-0.602957 # DEPENDENCYPART_ARC
(14,22),-1.40151 # DEPENDENCYPART_ARC
(14,23),-1.29284 # DEPENDENCYPART_ARC
(14,24),-1.10586 # DEPENDENCYPART_ARC
(14,25),0.422864 # DEPENDENCYPART_ARC
(15,16),0.254486 # DEPENDENCYPART_ARC
(15,17),-0.801505 # DEPENDENCYPART_ARC
(15,18),-1.16255 # DEPENDENCYPART_ARC
(15,19),-1.29958 # DEPENDENCYPART_ARC
(15,20),-1.18839 # DEPENDENCYPART_ARC
(16,15),-0.653107 # DEPENDENCYPART_ARC
(16,17),0.634625 # DEPENDENCYPART_ARC
(16,18),-0.865448 # DEPENDENCYPART_ARC
(16,21),-1.51087 # DEPENDENCYPART_ARC
(16,23),-2.14632 # DEPENDENCYPART_ARC
(16,24),-1.62147 # DEPENDENCYPART_ARC
(17,1),-1.90068 # DEPENDENCYPART_ARC
(17,2),-1.9737 # DEPENDENCYPART_ARC
(17,3),-2.74849 # DEPENDENCYPART_ARC
(17,4),-1.89817 # DEPENDENCYPART_ARC
(17,5),-2.33225 # DEPENDENCYPART_ARC
(17,9),-2.23297 # DEPENDENCYPART_ARC
(17,11),-1.9679 # DEPENDENCYPART_ARC
(17,15),-1.1738 # DEPENDENCYPART_ARC
(17,16),-0.366557 # DEPENDENCYPART_ARC
(17,18),0.801526 # DEPENDENCYPART_ARC
(17,19),-0.69218 # DEPENDENCYPART_ARC
(17,20),-0.379732 # DEPENDENCYPART_ARC
(17,21),-0.498857 # DEPENDENCYPART_ARC
(17,22),-1.27712 # DEPENDENCYPART_ARC
(17,23),-1.38504 # DEPENDENCYPART_ARC
(17,24),-1.15413 # DEPENDENCYPART_ARC
(17,25),-0.511498 # DEPENDENCYPART_ARC
(18,19),0.130759 # DEPENDENCYPART_ARC
(18,20),-0.85044 # DEPENDENCYPART_ARC
(18,21),-1.21072 # DEPENDENCYPART_ARC
(18,22),-1.69648 # DEPENDENCYPART_ARC
(18,23),-1.55621 # DEPENDENCYPART_ARC
(18,24),-1.47217 # DEPENDENCYPART_ARC
(19,18),-0.390262 # DEPENDENCYPART_ARC
(19,20),-0.117191 # DEPENDENCYPART_ARC
(20,18),-1.39768 # DEPENDENCYPART_ARC
(20,19),-0.16308 # DEPENDENCYPART_ARC
(20,23),-1.51224 # DEPENDENCYPART_ARC
(21,11),-1.89567 # DEPENDENCYPART_ARC
(21,15),-1.69753 # DEPENDENCYPART_ARC
(21,17),-1.13197 # DEPENDENCYPART_ARC
(21,18),-0.700345 # DEPENDENCYPART_ARC
(21,19),0.29993 # DEPENDENCYPART_ARC
(21,20),1.56109 # DEPENDENCYPART_ARC
(21,22),0.162372 # DEPENDENCYPART_ARC
(21,23),-0.910194 # DEPENDENCYPART_ARC
(21,24),-1.22596 # DEPENDENCYPART_ARC
(23,19),-1.43528 # DEPENDENCYPART_ARC
(23,20),-1.24492 # DEPENDENCYPART_ARC
(23,21),-0.858966 # DEPENDENCYPART_ARC
(23,22),-0.247118 # DEPENDENCYPART_ARC
(23,24),-0.065155 # DEPENDENCYPART_ARC
(24,1),-1.56031 # DEPENDENCYPART_ARC
(24,2),-1.46825 # DEPENDENCYPART_ARC
(24,3),-2.62811 # DEPENDENCYPART_ARC
(24,4),-1.56889 # DEPENDENCYPART_ARC
(24,5),-1.45328 # DEPENDENCYPART_ARC
(24,6),-1.587 # DEPENDENCYPART_ARC
(24,7),-1.75352 # DEPENDENCYPART_ARC
(24,8),-1.44266 # DEPENDENCYPART_ARC
(24,9),-2.07384 # DEPENDENCYPART_ARC
(24,10),-2.51882 # DEPENDENCYPART_ARC
(24,11),-1.87485 # DEPENDENCYPART_ARC
(24,12),-1.68689 # DEPENDENCYPART_ARC
(24,13),-2.17532 # DEPENDENCYPART_ARC
(24,14),-1.29786 # DEPENDENCYPART_ARC
(24,15),-1.82675 # DEPENDENCYPART_ARC
(24,16),-1.63007 # DEPENDENCYPART_ARC
(24,17),-1.1485 # DEPENDENCYPART_ARC
(24,18),-1.40398 # DEPENDENCYPART_ARC
(24,19),-1.39468 # DEPENDENCYPART_ARC
(24,20),-1.10765 # DEPENDENCYPART_ARC
(24,21),-0.886058 # DEPENDENCYPART_ARC
(24,22),-0.448172 # DEPENDENCYPART_ARC
(24,23),0.8421 # DEPENDENCYPART_ARC
(24,25),1.24807 # DEPENDENCYPART_ARC
(0,5),(0,14),-0.221069 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.275269 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.275058 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0287343 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00819049 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0259603 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.019193 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0360219 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0202674 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0246435 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0528924 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0251567 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0528991 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0290793 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0291412 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0039704 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.169238 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0606345 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0175313 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0189002 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0175523 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.020464 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0432681 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00978881 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0285889 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00527424 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0275015 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00120981 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0505561 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0918426 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00295142 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0198197 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.018345 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00204194 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0116775 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0345899 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0168393 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0246556 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0370542 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.047228 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.099383 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00628059 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0112485 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0148326 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0564403 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0320923 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0266852 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0114589 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.020172 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0208642 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00806644 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00978846 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0297646 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0765354 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0348596 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0242047 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0413434 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.024212 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0186584 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.017845 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0746475 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0326293 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00626209 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0319109 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0252485 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0668612 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0236953 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0232449 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00269941 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00616454 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0185553 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0153235 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00870442 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.018225 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00748959 # DEPENDENCYPART_SIBL
