# _root_ A widening of that magnitude , said one New York trader , is `` not a favorable number ... .
#goldHeads=2,13,2,5,3,7,0,11,11,11,7,13,7,18,18,18,18,13,13,13,
#predictedHeads=2,7,2,5,3,7,0,11,11,11,13,7,7,13,13,18,18,13,7,7,
(0,2),-1.48398 # DEPENDENCYPART_ARC
(0,7),0.0470717 # DEPENDENCYPART_ARC
(0,13),-1.04096 # DEPENDENCYPART_ARC
(2,1),1.30912 # DEPENDENCYPART_ARC
(2,3),0.641861 # DEPENDENCYPART_ARC
(2,4),-1.10512 # DEPENDENCYPART_ARC
(2,5),-0.859094 # DEPENDENCYPART_ARC
(2,6),-1.26877 # DEPENDENCYPART_ARC
(2,7),-1.03383 # DEPENDENCYPART_ARC
(2,8),-1.58522 # DEPENDENCYPART_ARC
(2,9),-1.64745 # DEPENDENCYPART_ARC
(2,10),-1.71883 # DEPENDENCYPART_ARC
(2,11),-1.67043 # DEPENDENCYPART_ARC
(2,12),-1.52248 # DEPENDENCYPART_ARC
(2,13),-1.71781 # DEPENDENCYPART_ARC
(2,14),-1.41546 # DEPENDENCYPART_ARC
(2,15),-1.62325 # DEPENDENCYPART_ARC
(2,18),-1.97985 # DEPENDENCYPART_ARC
(2,19),-1.03128 # DEPENDENCYPART_ARC
(2,20),-1.59628 # DEPENDENCYPART_ARC
(3,2),-0.886709 # DEPENDENCYPART_ARC
(3,4),0.0701804 # DEPENDENCYPART_ARC
(3,5),0.501051 # DEPENDENCYPART_ARC
(3,6),-1.31713 # DEPENDENCYPART_ARC
(3,7),-1.05708 # DEPENDENCYPART_ARC
(3,8),-1.77541 # DEPENDENCYPART_ARC
(3,10),-2.11928 # DEPENDENCYPART_ARC
(3,11),-1.01903 # DEPENDENCYPART_ARC
(3,12),-1.58646 # DEPENDENCYPART_ARC
(3,13),-1.83458 # DEPENDENCYPART_ARC
(4,6),-1.49961 # DEPENDENCYPART_ARC
(4,7),-0.968311 # DEPENDENCYPART_ARC
(4,8),-1.82427 # DEPENDENCYPART_ARC
(4,12),-1.85379 # DEPENDENCYPART_ARC
(4,13),-0.865379 # DEPENDENCYPART_ARC
(5,1),-1.55989 # DEPENDENCYPART_ARC
(5,2),-1.58966 # DEPENDENCYPART_ARC
(5,4),0.86351 # DEPENDENCYPART_ARC
(5,6),-0.0941765 # DEPENDENCYPART_ARC
(5,7),-1.22125 # DEPENDENCYPART_ARC
(5,8),-1.4451 # DEPENDENCYPART_ARC
(5,9),-1.5861 # DEPENDENCYPART_ARC
(5,10),-1.73413 # DEPENDENCYPART_ARC
(5,11),-1.83158 # DEPENDENCYPART_ARC
(5,12),-1.34152 # DEPENDENCYPART_ARC
(5,13),-1.97076 # DEPENDENCYPART_ARC
(5,14),-1.67246 # DEPENDENCYPART_ARC
(5,15),-1.93676 # DEPENDENCYPART_ARC
(5,18),-2.29613 # DEPENDENCYPART_ARC
(5,19),-1.37991 # DEPENDENCYPART_ARC
(7,2),-1.22589 # DEPENDENCYPART_ARC
(7,3),-1.46885 # DEPENDENCYPART_ARC
(7,4),-1.24571 # DEPENDENCYPART_ARC
(7,5),-0.890633 # DEPENDENCYPART_ARC
(7,6),0.501603 # DEPENDENCYPART_ARC
(7,8),0.681637 # DEPENDENCYPART_ARC
(7,9),-0.16803 # DEPENDENCYPART_ARC
(7,10),-0.559812 # DEPENDENCYPART_ARC
(7,11),-0.458559 # DEPENDENCYPART_ARC
(7,12),-0.691833 # DEPENDENCYPART_ARC
(7,13),-0.210439 # DEPENDENCYPART_ARC
(7,14),-1.16622 # DEPENDENCYPART_ARC
(7,15),-1.10647 # DEPENDENCYPART_ARC
(7,18),-1.41775 # DEPENDENCYPART_ARC
(7,19),-0.710256 # DEPENDENCYPART_ARC
(7,20),1.04895 # DEPENDENCYPART_ARC
(8,2),-2.02583 # DEPENDENCYPART_ARC
(8,4),-1.70359 # DEPENDENCYPART_ARC
(8,6),-1.49327 # DEPENDENCYPART_ARC
(8,7),-0.26629 # DEPENDENCYPART_ARC
(8,9),-0.233872 # DEPENDENCYPART_ARC
(8,10),-1.16935 # DEPENDENCYPART_ARC
(8,11),-1.2888 # DEPENDENCYPART_ARC
(8,12),-1.34562 # DEPENDENCYPART_ARC
(8,13),-1.30773 # DEPENDENCYPART_ARC
(8,14),-1.71414 # DEPENDENCYPART_ARC
(8,15),-1.57779 # DEPENDENCYPART_ARC
(8,18),-1.87835 # DEPENDENCYPART_ARC
(8,19),-1.2126 # DEPENDENCYPART_ARC
(9,6),-2.5604 # DEPENDENCYPART_ARC
(9,7),-1.95932 # DEPENDENCYPART_ARC
(9,8),-0.763965 # DEPENDENCYPART_ARC
(9,10),-0.791874 # DEPENDENCYPART_ARC
(9,12),-1.77369 # DEPENDENCYPART_ARC
(9,13),-1.78089 # DEPENDENCYPART_ARC
(9,18),-2.49389 # DEPENDENCYPART_ARC
(10,2),-2.50728 # DEPENDENCYPART_ARC
(10,6),-2.64226 # DEPENDENCYPART_ARC
(10,7),-1.99063 # DEPENDENCYPART_ARC
(10,8),-1.66324 # DEPENDENCYPART_ARC
(10,9),0.0334413 # DEPENDENCYPART_ARC
(10,11),-0.480417 # DEPENDENCYPART_ARC
(10,12),-1.57056 # DEPENDENCYPART_ARC
(10,13),-1.58825 # DEPENDENCYPART_ARC
(10,18),-2.51897 # DEPENDENCYPART_ARC
(11,1),-1.54251 # DEPENDENCYPART_ARC
(11,2),-2.06227 # DEPENDENCYPART_ARC
(11,4),-1.17895 # DEPENDENCYPART_ARC
(11,5),-1.51345 # DEPENDENCYPART_ARC
(11,6),-1.64303 # DEPENDENCYPART_ARC
(11,7),-1.10161 # DEPENDENCYPART_ARC
(11,8),-0.42028 # DEPENDENCYPART_ARC
(11,9),0.487044 # DEPENDENCYPART_ARC
(11,10),1.72832 # DEPENDENCYPART_ARC
(11,12),-0.172348 # DEPENDENCYPART_ARC
(11,13),-1.36445 # DEPENDENCYPART_ARC
(11,14),-1.61622 # DEPENDENCYPART_ARC
(11,15),-1.83114 # DEPENDENCYPART_ARC
(11,18),-1.8972 # DEPENDENCYPART_ARC
(11,19),-1.51935 # DEPENDENCYPART_ARC
(13,2),-1.02563 # DEPENDENCYPART_ARC
(13,3),-1.54477 # DEPENDENCYPART_ARC
(13,4),-2.15795 # DEPENDENCYPART_ARC
(13,5),-0.88999 # DEPENDENCYPART_ARC
(13,6),-1.53711 # DEPENDENCYPART_ARC
(13,7),-1.47466 # DEPENDENCYPART_ARC
(13,8),-1.53561 # DEPENDENCYPART_ARC
(13,9),-1.19455 # DEPENDENCYPART_ARC
(13,10),-0.991135 # DEPENDENCYPART_ARC
(13,11),-0.525048 # DEPENDENCYPART_ARC
(13,12),0.481114 # DEPENDENCYPART_ARC
(13,14),0.811599 # DEPENDENCYPART_ARC
(13,15),-0.177703 # DEPENDENCYPART_ARC
(13,16),-0.899097 # DEPENDENCYPART_ARC
(13,17),-0.715501 # DEPENDENCYPART_ARC
(13,18),-0.328106 # DEPENDENCYPART_ARC
(13,19),-0.620467 # DEPENDENCYPART_ARC
(13,20),0.522061 # DEPENDENCYPART_ARC
(14,11),-1.79456 # DEPENDENCYPART_ARC
(14,15),-0.390769 # DEPENDENCYPART_ARC
(15,2),-2.30224 # DEPENDENCYPART_ARC
(15,11),-1.99637 # DEPENDENCYPART_ARC
(15,14),-0.637187 # DEPENDENCYPART_ARC
(15,16),0.233703 # DEPENDENCYPART_ARC
(15,17),-0.878088 # DEPENDENCYPART_ARC
(15,18),-1.11053 # DEPENDENCYPART_ARC
(15,19),-1.19036 # DEPENDENCYPART_ARC
(16,14),-1.57886 # DEPENDENCYPART_ARC
(16,15),-0.477435 # DEPENDENCYPART_ARC
(16,17),-0.487587 # DEPENDENCYPART_ARC
(16,19),-1.13211 # DEPENDENCYPART_ARC
(17,14),-1.55318 # DEPENDENCYPART_ARC
(17,15),-1.3155 # DEPENDENCYPART_ARC
(17,16),-0.17304 # DEPENDENCYPART_ARC
(17,19),-1.20307 # DEPENDENCYPART_ARC
(18,8),-1.71738 # DEPENDENCYPART_ARC
(18,11),-1.77203 # DEPENDENCYPART_ARC
(18,14),-1.06557 # DEPENDENCYPART_ARC
(18,15),-0.773271 # DEPENDENCYPART_ARC
(18,16),0.568122 # DEPENDENCYPART_ARC
(18,17),1.37318 # DEPENDENCYPART_ARC
(18,19),0.0744544 # DEPENDENCYPART_ARC
(19,2),-2.26549 # DEPENDENCYPART_ARC
(19,17),-1.50302 # DEPENDENCYPART_ARC
(19,18),-0.515127 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.167917 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.118755 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.246141 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.132751 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.172518 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0213592 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0382792 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.20003 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.129889 # DEPENDENCYPART_SIBL
