# _root_ Commodities : Dow Jones futures index 129.72 , off 0.15 ; spot index 130.16 , up 0.91 .
#goldHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
#predictedHeads=0,1,6,6,6,1,6,6,6,9,6,13,6,13,13,13,16,1,
(0,1),-0.687641 # DEPENDENCYPART_ARC
(0,2),-1.58569 # DEPENDENCYPART_ARC
(0,3),-2.13832 # DEPENDENCYPART_ARC
(0,4),-2.28205 # DEPENDENCYPART_ARC
(0,5),-2.02106 # DEPENDENCYPART_ARC
(0,6),-2.43357 # DEPENDENCYPART_ARC
(0,7),-2.79896 # DEPENDENCYPART_ARC
(1,2),0.271051 # DEPENDENCYPART_ARC
(1,3),-1.1985 # DEPENDENCYPART_ARC
(1,4),-1.30257 # DEPENDENCYPART_ARC
(1,5),-1.08479 # DEPENDENCYPART_ARC
(1,6),-1.41445 # DEPENDENCYPART_ARC
(1,7),-1.67645 # DEPENDENCYPART_ARC
(1,8),-1.58263 # DEPENDENCYPART_ARC
(1,9),-1.82503 # DEPENDENCYPART_ARC
(1,10),-1.86085 # DEPENDENCYPART_ARC
(1,11),-1.1733 # DEPENDENCYPART_ARC
(1,12),-1.84814 # DEPENDENCYPART_ARC
(1,13),-1.90658 # DEPENDENCYPART_ARC
(1,14),-1.94534 # DEPENDENCYPART_ARC
(1,15),-2.03229 # DEPENDENCYPART_ARC
(1,16),-1.76275 # DEPENDENCYPART_ARC
(1,17),-1.99157 # DEPENDENCYPART_ARC
(1,18),-1.40018 # DEPENDENCYPART_ARC
(2,1),-0.87827 # DEPENDENCYPART_ARC
(2,3),-0.669483 # DEPENDENCYPART_ARC
(2,4),-1.63494 # DEPENDENCYPART_ARC
(2,6),-1.81562 # DEPENDENCYPART_ARC
(3,1),-1.79973 # DEPENDENCYPART_ARC
(3,2),-1.12221 # DEPENDENCYPART_ARC
(3,4),-0.453951 # DEPENDENCYPART_ARC
(3,5),-1.26347 # DEPENDENCYPART_ARC
(3,6),-1.44415 # DEPENDENCYPART_ARC
(3,7),-1.76414 # DEPENDENCYPART_ARC
(3,8),-1.78305 # DEPENDENCYPART_ARC
(3,11),-1.53563 # DEPENDENCYPART_ARC
(3,13),-2.51463 # DEPENDENCYPART_ARC
(3,15),-2.33381 # DEPENDENCYPART_ARC
(3,18),-1.64103 # DEPENDENCYPART_ARC
(4,1),-1.47293 # DEPENDENCYPART_ARC
(4,2),-1.66134 # DEPENDENCYPART_ARC
(4,3),0.281194 # DEPENDENCYPART_ARC
(4,5),-0.531947 # DEPENDENCYPART_ARC
(4,6),-1.16511 # DEPENDENCYPART_ARC
(4,7),-1.60265 # DEPENDENCYPART_ARC
(4,8),-1.61293 # DEPENDENCYPART_ARC
(4,9),-1.99963 # DEPENDENCYPART_ARC
(4,10),-2.43357 # DEPENDENCYPART_ARC
(4,11),-1.4974 # DEPENDENCYPART_ARC
(4,12),-2.32217 # DEPENDENCYPART_ARC
(4,13),-2.46905 # DEPENDENCYPART_ARC
(4,14),-2.72881 # DEPENDENCYPART_ARC
(4,15),-2.23338 # DEPENDENCYPART_ARC
(4,18),-1.80213 # DEPENDENCYPART_ARC
(5,1),-1.77192 # DEPENDENCYPART_ARC
(5,2),-1.90481 # DEPENDENCYPART_ARC
(5,3),-0.353688 # DEPENDENCYPART_ARC
(5,4),0.867339 # DEPENDENCYPART_ARC
(5,6),-0.511119 # DEPENDENCYPART_ARC
(5,7),-1.43689 # DEPENDENCYPART_ARC
(5,8),-1.44456 # DEPENDENCYPART_ARC
(5,9),-1.8422 # DEPENDENCYPART_ARC
(5,11),-1.3882 # DEPENDENCYPART_ARC
(5,12),-2.0644 # DEPENDENCYPART_ARC
(5,13),-2.20902 # DEPENDENCYPART_ARC
(5,16),-1.98911 # DEPENDENCYPART_ARC
(5,18),-1.71434 # DEPENDENCYPART_ARC
(6,1),-0.868097 # DEPENDENCYPART_ARC
(6,2),-1.2 # DEPENDENCYPART_ARC
(6,3),-0.0535136 # DEPENDENCYPART_ARC
(6,4),0.561092 # DEPENDENCYPART_ARC
(6,5),1.36677 # DEPENDENCYPART_ARC
(6,7),0.124651 # DEPENDENCYPART_ARC
(6,8),-1.33627 # DEPENDENCYPART_ARC
(6,9),-1.34626 # DEPENDENCYPART_ARC
(6,10),-1.55161 # DEPENDENCYPART_ARC
(6,11),-0.980323 # DEPENDENCYPART_ARC
(6,12),-1.54911 # DEPENDENCYPART_ARC
(6,13),-1.55475 # DEPENDENCYPART_ARC
(6,14),-1.99054 # DEPENDENCYPART_ARC
(6,15),-2.22689 # DEPENDENCYPART_ARC
(6,16),-1.83834 # DEPENDENCYPART_ARC
(6,17),-2.19131 # DEPENDENCYPART_ARC
