# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
(0,2),-1.91305 # DEPENDENCYPART_ARC
(0,3),-2.486 # DEPENDENCYPART_ARC
(0,5),-1.69378 # DEPENDENCYPART_ARC
(0,19),-1.10927 # DEPENDENCYPART_ARC
(1,2),-0.672058 # DEPENDENCYPART_ARC
(1,3),-1.58011 # DEPENDENCYPART_ARC
(1,4),-1.47942 # DEPENDENCYPART_ARC
(1,5),-1.9683 # DEPENDENCYPART_ARC
(1,18),-2.24128 # DEPENDENCYPART_ARC
(2,1),0.111461 # DEPENDENCYPART_ARC
(2,3),-0.264899 # DEPENDENCYPART_ARC
(2,4),-1.32376 # DEPENDENCYPART_ARC
(2,5),-1.6268 # DEPENDENCYPART_ARC
(2,6),-2.17363 # DEPENDENCYPART_ARC
(2,8),-2.14796 # DEPENDENCYPART_ARC
(2,9),-2.38402 # DEPENDENCYPART_ARC
(2,10),-2.60371 # DEPENDENCYPART_ARC
(2,15),-3.09727 # DEPENDENCYPART_ARC
(2,16),-2.90541 # DEPENDENCYPART_ARC
(2,18),-2.39258 # DEPENDENCYPART_ARC
(2,32),-2.69491 # DEPENDENCYPART_ARC
(3,1),0.0838658 # DEPENDENCYPART_ARC
(3,2),1.16003 # DEPENDENCYPART_ARC
(3,4),0.182943 # DEPENDENCYPART_ARC
(3,5),-1.02762 # DEPENDENCYPART_ARC
(3,6),-1.71202 # DEPENDENCYPART_ARC
(3,8),-1.87077 # DEPENDENCYPART_ARC
(3,9),-2.09359 # DEPENDENCYPART_ARC
(3,10),-2.25771 # DEPENDENCYPART_ARC
(3,18),-1.51588 # DEPENDENCYPART_ARC
(3,32),-2.52372 # DEPENDENCYPART_ARC
(4,3),-0.636652 # DEPENDENCYPART_ARC
(4,5),-0.540881 # DEPENDENCYPART_ARC
(5,1),-1.73185 # DEPENDENCYPART_ARC
(5,2),-1.52643 # DEPENDENCYPART_ARC
(5,3),-1.4684 # DEPENDENCYPART_ARC
(5,4),-0.544225 # DEPENDENCYPART_ARC
(5,6),1.10409 # DEPENDENCYPART_ARC
(5,7),-0.923795 # DEPENDENCYPART_ARC
(5,8),-0.626305 # DEPENDENCYPART_ARC
(5,9),-0.787979 # DEPENDENCYPART_ARC
(5,10),-0.939794 # DEPENDENCYPART_ARC
(5,12),-1.50601 # DEPENDENCYPART_ARC
(5,13),-1.51454 # DEPENDENCYPART_ARC
(5,16),-1.41268 # DEPENDENCYPART_ARC
(5,18),-0.887435 # DEPENDENCYPART_ARC
(5,19),-1.77037 # DEPENDENCYPART_ARC
(5,23),-1.76456 # DEPENDENCYPART_ARC
(5,28),-1.93516 # DEPENDENCYPART_ARC
(5,32),-1.22577 # DEPENDENCYPART_ARC
(6,3),-1.84069 # DEPENDENCYPART_ARC
(6,4),-1.75842 # DEPENDENCYPART_ARC
(6,7),0.0946573 # DEPENDENCYPART_ARC
(6,8),0.271214 # DEPENDENCYPART_ARC
(6,9),-0.845013 # DEPENDENCYPART_ARC
(6,10),-0.909702 # DEPENDENCYPART_ARC
(6,12),-1.24865 # DEPENDENCYPART_ARC
(6,14),-2.13182 # DEPENDENCYPART_ARC
(6,15),-2.12237 # DEPENDENCYPART_ARC
(6,19),-1.47548 # DEPENDENCYPART_ARC
(6,23),-1.26855 # DEPENDENCYPART_ARC
(6,32),-2.45653 # DEPENDENCYPART_ARC
(7,9),-1.44204 # DEPENDENCYPART_ARC
(8,2),-1.92436 # DEPENDENCYPART_ARC
(8,3),-1.64652 # DEPENDENCYPART_ARC
