# _root_ Jack W. Forrest , Environmental Systems president and chief executive officer , said the change increases the company 's effective tax rate to about 35 % from 20 % .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
(0,2),-1.91796 # DEPENDENCYPART_ARC
(0,3),-2.41339 # DEPENDENCYPART_ARC
(0,13),0.471346 # DEPENDENCYPART_ARC
(0,16),-0.995168 # DEPENDENCYPART_ARC
(1,2),-0.732797 # DEPENDENCYPART_ARC
(1,3),-1.62684 # DEPENDENCYPART_ARC
(1,4),-1.4202 # DEPENDENCYPART_ARC
(1,5),-2.12821 # DEPENDENCYPART_ARC
(1,6),-2.5884 # DEPENDENCYPART_ARC
(1,7),-2.35038 # DEPENDENCYPART_ARC
(1,8),-2.61763 # DEPENDENCYPART_ARC
(1,11),-2.4656 # DEPENDENCYPART_ARC
(1,12),-2.24491 # DEPENDENCYPART_ARC
(2,1),0.146792 # DEPENDENCYPART_ARC
(2,3),-0.219912 # DEPENDENCYPART_ARC
(2,4),-1.17721 # DEPENDENCYPART_ARC
(2,5),-1.82004 # DEPENDENCYPART_ARC
(2,6),-2.25369 # DEPENDENCYPART_ARC
(2,7),-1.881 # DEPENDENCYPART_ARC
(2,8),-2.32363 # DEPENDENCYPART_ARC
(2,11),-2.1364 # DEPENDENCYPART_ARC
(2,12),-2.07153 # DEPENDENCYPART_ARC
(2,15),-2.94529 # DEPENDENCYPART_ARC
(2,16),-2.30193 # DEPENDENCYPART_ARC
(3,1),-0.174104 # DEPENDENCYPART_ARC
(3,2),0.891448 # DEPENDENCYPART_ARC
(3,4),0.557326 # DEPENDENCYPART_ARC
(3,5),-1.27487 # DEPENDENCYPART_ARC
(3,6),-1.69801 # DEPENDENCYPART_ARC
(3,7),-1.27696 # DEPENDENCYPART_ARC
(3,8),-1.92284 # DEPENDENCYPART_ARC
(3,9),-1.80781 # DEPENDENCYPART_ARC
(3,10),-1.84002 # DEPENDENCYPART_ARC
(3,11),-1.62041 # DEPENDENCYPART_ARC
(3,12),-1.16017 # DEPENDENCYPART_ARC
(3,15),-2.53549 # DEPENDENCYPART_ARC
(3,16),-1.88361 # DEPENDENCYPART_ARC
(3,18),-2.51203 # DEPENDENCYPART_ARC
(3,19),-3.07232 # DEPENDENCYPART_ARC
(3,22),-3.04019 # DEPENDENCYPART_ARC
(5,1),-3.05807 # DEPENDENCYPART_ARC
(5,2),-2.71182 # DEPENDENCYPART_ARC
(5,3),-2.29214 # DEPENDENCYPART_ARC
(5,4),-1.22657 # DEPENDENCYPART_ARC
(5,6),-0.736311 # DEPENDENCYPART_ARC
(5,7),-1.54947 # DEPENDENCYPART_ARC
(5,8),-1.81169 # DEPENDENCYPART_ARC
(5,12),-2.20353 # DEPENDENCYPART_ARC
(6,1),-2.30999 # DEPENDENCYPART_ARC
(6,2),-2.22273 # DEPENDENCYPART_ARC
(6,3),-2.26341 # DEPENDENCYPART_ARC
(6,4),-1.96956 # DEPENDENCYPART_ARC
(6,5),0.32493 # DEPENDENCYPART_ARC
(6,7),-0.104455 # DEPENDENCYPART_ARC
(6,8),-1.08355 # DEPENDENCYPART_ARC
(6,9),-1.53881 # DEPENDENCYPART_ARC
(6,11),-1.73147 # DEPENDENCYPART_ARC
(6,12),-1.67507 # DEPENDENCYPART_ARC
