# _root_ Idle Thought
#goldHeads=2,0,
#predictedHeads=2,0,
(0,1),-0.88751 # DEPENDENCYPART_ARC
(0,2),-1.63473 # DEPENDENCYPART_ARC
(1,2),-0.23828 # DEPENDENCYPART_ARC
(2,1),1.07272 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0419067 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.939158 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,2),-0.619977 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-1.39697 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,2),-1.15359 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,3),-0.815799 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(0,3),-0.837831 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.682705 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.56029 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.684284 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.747615 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.705706 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.734642 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,1),-0.671424 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.739789 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.842761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.714787 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.372016 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.811698 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,2),-1.1981 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.0598765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.0503178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0738988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.170238 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,3),-0.0728418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,1),0.0722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.233097 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.108386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),-0.100271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,1),0.0935158 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),-0.0418562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.0875939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.0671988 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),0.0798855 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.0722341 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,-1),0.0690205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,1),(0,2),-0.156908 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,3),0.218004 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,2),(0,3),0.375638 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,1),(0,2),(0,3),-0.111109 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.148509 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,1),(2,-1),-0.112491 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,1),0.066391 # DEPENDENCYPART_HEADBIGRAM
(0,2),(2,1),0.257806 # DEPENDENCYPART_HEADBIGRAM
(1,2),(0,1),-0.0577589 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),0.0355114 # DEPENDENCYPART_HEADBIGRAM
