# _root_ Still , the market had n't yet crossed into positive territory , and traders were glum .
#goldHeads=0,1,4,5,1,5,5,5,8,11,9,5,5,15,13,15,1,
#predictedHeads=5,5,4,5,0,5,5,5,8,11,9,5,5,15,13,15,5,
(0,1),-0.570508 # DEPENDENCYPART_ARC
(0,4),-1.66089 # DEPENDENCYPART_ARC
(0,5),-1.0822 # DEPENDENCYPART_ARC
(0,8),-2.16889 # DEPENDENCYPART_ARC
(0,15),-1.82356 # DEPENDENCYPART_ARC
(1,2),-0.554668 # DEPENDENCYPART_ARC
(1,4),-1.57463 # DEPENDENCYPART_ARC
(1,5),-1.47503 # DEPENDENCYPART_ARC
(1,6),-1.94699 # DEPENDENCYPART_ARC
(1,7),-1.98979 # DEPENDENCYPART_ARC
(1,8),-2.18661 # DEPENDENCYPART_ARC
(1,9),-1.98008 # DEPENDENCYPART_ARC
(1,13),-1.91766 # DEPENDENCYPART_ARC
(1,17),-1.3403 # DEPENDENCYPART_ARC
(2,1),-0.701188 # DEPENDENCYPART_ARC
(3,1),-1.96288 # DEPENDENCYPART_ARC
(3,2),-0.970053 # DEPENDENCYPART_ARC
(3,5),-1.20169 # DEPENDENCYPART_ARC
(4,1),-1.3654 # DEPENDENCYPART_ARC
(4,2),-1.06594 # DEPENDENCYPART_ARC
(4,3),1.34582 # DEPENDENCYPART_ARC
(4,5),-0.617613 # DEPENDENCYPART_ARC
(4,6),-1.54191 # DEPENDENCYPART_ARC
(4,7),-1.58787 # DEPENDENCYPART_ARC
(4,8),-1.7392 # DEPENDENCYPART_ARC
(4,9),-1.51043 # DEPENDENCYPART_ARC
(4,12),-2.16993 # DEPENDENCYPART_ARC
(5,1),-1.07748 # DEPENDENCYPART_ARC
(5,2),-0.461869 # DEPENDENCYPART_ARC
(5,3),-0.781725 # DEPENDENCYPART_ARC
(5,4),0.584301 # DEPENDENCYPART_ARC
(5,6),1.1551 # DEPENDENCYPART_ARC
(5,7),-0.0726225 # DEPENDENCYPART_ARC
(5,8),-0.200839 # DEPENDENCYPART_ARC
(5,9),-0.529441 # DEPENDENCYPART_ARC
(5,10),-0.99657 # DEPENDENCYPART_ARC
(5,11),-0.747597 # DEPENDENCYPART_ARC
(5,12),-1.16082 # DEPENDENCYPART_ARC
(5,13),-1.21283 # DEPENDENCYPART_ARC
(5,14),-1.41223 # DEPENDENCYPART_ARC
(5,15),-1.21588 # DEPENDENCYPART_ARC
(5,16),-1.54088 # DEPENDENCYPART_ARC
(5,17),-0.118289 # DEPENDENCYPART_ARC
(6,1),-2.24275 # DEPENDENCYPART_ARC
(6,4),-1.641 # DEPENDENCYPART_ARC
(6,5),-0.516728 # DEPENDENCYPART_ARC
(6,7),0.210133 # DEPENDENCYPART_ARC
(6,8),-1.04178 # DEPENDENCYPART_ARC
(6,9),-1.10604 # DEPENDENCYPART_ARC
(6,10),-1.35134 # DEPENDENCYPART_ARC
(6,11),-1.50722 # DEPENDENCYPART_ARC
(6,12),-1.77594 # DEPENDENCYPART_ARC
(6,13),-1.54286 # DEPENDENCYPART_ARC
(6,15),-1.70545 # DEPENDENCYPART_ARC
