# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
(0,1),-1.24664 # DEPENDENCYPART_ARC
(0,2),-2.02815 # DEPENDENCYPART_ARC
(0,3),-1.90352 # DEPENDENCYPART_ARC
(0,4),-2.30317 # DEPENDENCYPART_ARC
(0,6),-1.48487 # DEPENDENCYPART_ARC
(0,9),-2.49546 # DEPENDENCYPART_ARC
(0,17),-1.95914 # DEPENDENCYPART_ARC
(1,2),0.440981 # DEPENDENCYPART_ARC
(1,3),-0.276425 # DEPENDENCYPART_ARC
(1,4),-0.883653 # DEPENDENCYPART_ARC
(1,5),-0.54548 # DEPENDENCYPART_ARC
(1,6),-0.353763 # DEPENDENCYPART_ARC
(1,8),-2.08966 # DEPENDENCYPART_ARC
(1,9),-1.81086 # DEPENDENCYPART_ARC
(1,10),-1.34526 # DEPENDENCYPART_ARC
(1,11),-1.53795 # DEPENDENCYPART_ARC
(1,15),-1.45535 # DEPENDENCYPART_ARC
(1,17),-1.19042 # DEPENDENCYPART_ARC
(1,29),-2.31607 # DEPENDENCYPART_ARC
(2,1),-0.543433 # DEPENDENCYPART_ARC
(2,3),0.0692129 # DEPENDENCYPART_ARC
(2,4),-0.805577 # DEPENDENCYPART_ARC
(2,5),-0.927592 # DEPENDENCYPART_ARC
(2,6),-1.09924 # DEPENDENCYPART_ARC
(3,1),-1.73985 # DEPENDENCYPART_ARC
(3,2),-0.499437 # DEPENDENCYPART_ARC
(3,4),0.755972 # DEPENDENCYPART_ARC
(3,5),-0.496516 # DEPENDENCYPART_ARC
(3,6),-0.935214 # DEPENDENCYPART_ARC
(3,8),-1.4681 # DEPENDENCYPART_ARC
(3,9),-1.59778 # DEPENDENCYPART_ARC
