# _root_ In composite trading on the New York Stock Exchange , the company closed at $ 25.25 a share , down 25 cents .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
#predictedHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
(0,1),-1.1151 # DEPENDENCYPART_ARC
(0,3),-1.84223 # DEPENDENCYPART_ARC
(0,4),-2.34703 # DEPENDENCYPART_ARC
(0,13),-1.32709 # DEPENDENCYPART_ARC
(1,2),-0.0257959 # DEPENDENCYPART_ARC
(1,3),0.676037 # DEPENDENCYPART_ARC
(1,4),-0.8063 # DEPENDENCYPART_ARC
(1,6),-1.7436 # DEPENDENCYPART_ARC
(1,7),-1.9476 # DEPENDENCYPART_ARC
(1,9),-1.82272 # DEPENDENCYPART_ARC
(1,10),-1.08366 # DEPENDENCYPART_ARC
(1,23),-1.25033 # DEPENDENCYPART_ARC
(2,1),-0.901087 # DEPENDENCYPART_ARC
(2,4),-1.26873 # DEPENDENCYPART_ARC
(3,1),-1.00192 # DEPENDENCYPART_ARC
(3,2),1.4477 # DEPENDENCYPART_ARC
(3,4),0.308874 # DEPENDENCYPART_ARC
(3,7),-1.57105 # DEPENDENCYPART_ARC
(3,9),-1.73138 # DEPENDENCYPART_ARC
(3,10),-1.78268 # DEPENDENCYPART_ARC
(3,12),-2.084 # DEPENDENCYPART_ARC
(3,13),-1.92976 # DEPENDENCYPART_ARC
(3,19),-1.934 # DEPENDENCYPART_ARC
(3,20),-2.2635 # DEPENDENCYPART_ARC
(3,23),-2.23486 # DEPENDENCYPART_ARC
(4,1),-1.43877 # DEPENDENCYPART_ARC
(4,3),-0.975628 # DEPENDENCYPART_ARC
(4,5),0.0582535 # DEPENDENCYPART_ARC
(4,6),-0.770414 # DEPENDENCYPART_ARC
(4,7),-1.11491 # DEPENDENCYPART_ARC
(4,8),-1.19777 # DEPENDENCYPART_ARC
(4,9),-0.271063 # DEPENDENCYPART_ARC
(4,10),-1.29662 # DEPENDENCYPART_ARC
(4,12),-1.05996 # DEPENDENCYPART_ARC
(4,13),-1.19381 # DEPENDENCYPART_ARC
(4,23),-1.703 # DEPENDENCYPART_ARC
(6,5),-0.826421 # DEPENDENCYPART_ARC
(6,7),-0.901613 # DEPENDENCYPART_ARC
(6,10),-2.05584 # DEPENDENCYPART_ARC
(7,5),-1.77652 # DEPENDENCYPART_ARC
(7,6),-0.558402 # DEPENDENCYPART_ARC
(7,8),-0.970394 # DEPENDENCYPART_ARC
(7,10),-1.93965 # DEPENDENCYPART_ARC
(7,12),-2.35564 # DEPENDENCYPART_ARC
(8,5),-1.836 # DEPENDENCYPART_ARC
(8,6),-1.1234 # DEPENDENCYPART_ARC
(8,7),-0.0163328 # DEPENDENCYPART_ARC
(8,9),-0.413277 # DEPENDENCYPART_ARC
(8,10),-1.35806 # DEPENDENCYPART_ARC
(8,12),-1.78982 # DEPENDENCYPART_ARC
(8,18),-2.47509 # DEPENDENCYPART_ARC
(8,19),-2.1867 # DEPENDENCYPART_ARC
(8,23),-2.261 # DEPENDENCYPART_ARC
(9,1),-1.8913 # DEPENDENCYPART_ARC
(9,2),-1.62546 # DEPENDENCYPART_ARC
(9,3),-1.48317 # DEPENDENCYPART_ARC
(9,4),-1.42662 # DEPENDENCYPART_ARC
(9,5),-0.500538 # DEPENDENCYPART_ARC
(9,6),-0.321014 # DEPENDENCYPART_ARC
(9,7),0.035841 # DEPENDENCYPART_ARC
(9,8),1.22486 # DEPENDENCYPART_ARC
(9,10),0.423725 # DEPENDENCYPART_ARC
(9,11),-1.3209 # DEPENDENCYPART_ARC
(9,12),-1.18322 # DEPENDENCYPART_ARC
(9,13),-1.48586 # DEPENDENCYPART_ARC
(9,14),-1.84898 # DEPENDENCYPART_ARC
(9,15),-1.98132 # DEPENDENCYPART_ARC
(9,18),-1.90455 # DEPENDENCYPART_ARC
(9,19),-1.35879 # DEPENDENCYPART_ARC
(9,20),-2.0915 # DEPENDENCYPART_ARC
(9,22),-2.37341 # DEPENDENCYPART_ARC
(9,23),-2.00244 # DEPENDENCYPART_ARC
(11,10),-0.933122 # DEPENDENCYPART_ARC
(12,4),-1.67896 # DEPENDENCYPART_ARC
(12,5),-1.18168 # DEPENDENCYPART_ARC
(12,6),-2.05101 # DEPENDENCYPART_ARC
(12,7),-1.59766 # DEPENDENCYPART_ARC
(12,8),-1.43487 # DEPENDENCYPART_ARC
(12,9),-1.30364 # DEPENDENCYPART_ARC
(12,10),-1.02632 # DEPENDENCYPART_ARC
(12,11),1.3814 # DEPENDENCYPART_ARC
(12,13),-0.452585 # DEPENDENCYPART_ARC
(12,14),-1.10133 # DEPENDENCYPART_ARC
(12,15),-1.25522 # DEPENDENCYPART_ARC
(12,18),-1.75282 # DEPENDENCYPART_ARC
(12,20),-1.94852 # DEPENDENCYPART_ARC
(12,22),-1.95542 # DEPENDENCYPART_ARC
(13,1),-0.628973 # DEPENDENCYPART_ARC
(13,3),-0.883402 # DEPENDENCYPART_ARC
(13,4),-0.606678 # DEPENDENCYPART_ARC
(13,5),-1.84382 # DEPENDENCYPART_ARC
(13,6),-1.50211 # DEPENDENCYPART_ARC
(13,7),-1.4407 # DEPENDENCYPART_ARC
(13,8),-1.46336 # DEPENDENCYPART_ARC
(13,9),-1.32879 # DEPENDENCYPART_ARC
(13,10),-0.585815 # DEPENDENCYPART_ARC
(13,11),-0.808784 # DEPENDENCYPART_ARC
(13,12),0.58167 # DEPENDENCYPART_ARC
(13,14),1.23526 # DEPENDENCYPART_ARC
(13,15),-0.392335 # DEPENDENCYPART_ARC
(13,16),-1.08213 # DEPENDENCYPART_ARC
(13,18),-0.709327 # DEPENDENCYPART_ARC
(13,19),-0.943132 # DEPENDENCYPART_ARC
(13,20),-0.907431 # DEPENDENCYPART_ARC
(13,22),-1.79563 # DEPENDENCYPART_ARC
(13,23),-0.0970526 # DEPENDENCYPART_ARC
(14,12),-1.82764 # DEPENDENCYPART_ARC
(14,15),0.431006 # DEPENDENCYPART_ARC
(14,16),-0.798059 # DEPENDENCYPART_ARC
(14,18),-0.86943 # DEPENDENCYPART_ARC
(14,19),-1.36771 # DEPENDENCYPART_ARC
(14,20),-1.78281 # DEPENDENCYPART_ARC
(14,22),-1.93433 # DEPENDENCYPART_ARC
(14,23),-1.86809 # DEPENDENCYPART_ARC
(15,1),-2.3032 # DEPENDENCYPART_ARC
(15,4),-2.10943 # DEPENDENCYPART_ARC
(15,12),-1.33602 # DEPENDENCYPART_ARC
(15,14),0.0524141 # DEPENDENCYPART_ARC
(15,16),1.25069 # DEPENDENCYPART_ARC
(15,17),-0.678521 # DEPENDENCYPART_ARC
(15,18),-0.687196 # DEPENDENCYPART_ARC
(15,19),-0.910524 # DEPENDENCYPART_ARC
(15,20),-1.25043 # DEPENDENCYPART_ARC
(15,21),-1.69454 # DEPENDENCYPART_ARC
(15,22),-1.60943 # DEPENDENCYPART_ARC
(15,23),-1.39345 # DEPENDENCYPART_ARC
