# _root_ The new expiration date is the date on which DIG 's financing commitments , which total about $ 240 million , are to expire .
#goldHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
#predictedHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
(0,4),-1.64483 # DEPENDENCYPART_ARC
(0,5),-0.573017 # DEPENDENCYPART_ARC
(0,16),-1.29221 # DEPENDENCYPART_ARC
(0,22),-1.75363 # DEPENDENCYPART_ARC
(1,2),-0.536815 # DEPENDENCYPART_ARC
(2,1),-0.409931 # DEPENDENCYPART_ARC
(2,3),-0.235855 # DEPENDENCYPART_ARC
(3,1),-0.795572 # DEPENDENCYPART_ARC
(3,2),-0.191962 # DEPENDENCYPART_ARC
(3,4),-0.549068 # DEPENDENCYPART_ARC
(3,7),-1.77082 # DEPENDENCYPART_ARC
(3,8),-1.78184 # DEPENDENCYPART_ARC
(3,12),-2.04701 # DEPENDENCYPART_ARC
(3,14),-1.91568 # DEPENDENCYPART_ARC
(4,1),-0.153247 # DEPENDENCYPART_ARC
(4,2),0.175323 # DEPENDENCYPART_ARC
(4,3),1.65944 # DEPENDENCYPART_ARC
(4,5),-0.65377 # DEPENDENCYPART_ARC
(4,7),-1.44937 # DEPENDENCYPART_ARC
(4,8),-1.74885 # DEPENDENCYPART_ARC
(4,14),-1.93315 # DEPENDENCYPART_ARC
(5,1),-1.6104 # DEPENDENCYPART_ARC
(5,2),-1.37455 # DEPENDENCYPART_ARC
(5,3),-0.783158 # DEPENDENCYPART_ARC
(5,4),0.505823 # DEPENDENCYPART_ARC
(5,6),0.230205 # DEPENDENCYPART_ARC
(5,7),0.368595 # DEPENDENCYPART_ARC
(5,8),-0.569863 # DEPENDENCYPART_ARC
(5,9),-1.25289 # DEPENDENCYPART_ARC
(5,10),-1.22389 # DEPENDENCYPART_ARC
(5,11),-1.35971 # DEPENDENCYPART_ARC
(5,12),-1.16708 # DEPENDENCYPART_ARC
(5,13),-1.46039 # DEPENDENCYPART_ARC
(5,14),-1.44897 # DEPENDENCYPART_ARC
(5,15),-1.79702 # DEPENDENCYPART_ARC
(5,16),-1.27642 # DEPENDENCYPART_ARC
(5,17),-1.86157 # DEPENDENCYPART_ARC
(5,18),-1.66404 # DEPENDENCYPART_ARC
(5,21),-1.39761 # DEPENDENCYPART_ARC
(5,22),-1.50225 # DEPENDENCYPART_ARC
(5,23),-2.35737 # DEPENDENCYPART_ARC
(5,25),0.078527 # DEPENDENCYPART_ARC
(6,8),-1.53712 # DEPENDENCYPART_ARC
(7,1),-2.28024 # DEPENDENCYPART_ARC
(7,2),-1.38808 # DEPENDENCYPART_ARC
(7,3),-1.2668 # DEPENDENCYPART_ARC
(7,4),-1.15318 # DEPENDENCYPART_ARC
(7,6),1.16106 # DEPENDENCYPART_ARC
(7,8),-0.185333 # DEPENDENCYPART_ARC
(7,9),-1.31613 # DEPENDENCYPART_ARC
(7,10),-1.49705 # DEPENDENCYPART_ARC
(7,11),-1.82705 # DEPENDENCYPART_ARC
(7,12),-1.53926 # DEPENDENCYPART_ARC
(7,13),-1.73864 # DEPENDENCYPART_ARC
(7,14),-1.54029 # DEPENDENCYPART_ARC
(7,16),-1.43271 # DEPENDENCYPART_ARC
(7,17),-1.95365 # DEPENDENCYPART_ARC
(7,18),-1.87885 # DEPENDENCYPART_ARC
(7,21),-1.78069 # DEPENDENCYPART_ARC
(7,22),-1.82584 # DEPENDENCYPART_ARC
(7,23),-2.1387 # DEPENDENCYPART_ARC
(7,25),-1.69993 # DEPENDENCYPART_ARC
(8,4),-1.77569 # DEPENDENCYPART_ARC
(8,5),-1.40224 # DEPENDENCYPART_ARC
(8,6),-1.65382 # DEPENDENCYPART_ARC
(8,7),-0.723559 # DEPENDENCYPART_ARC
(8,9),1.17587 # DEPENDENCYPART_ARC
(8,10),-0.862256 # DEPENDENCYPART_ARC
(8,11),-1.41182 # DEPENDENCYPART_ARC
(8,12),-1.2875 # DEPENDENCYPART_ARC
(8,13),-0.84166 # DEPENDENCYPART_ARC
(8,15),-1.84223 # DEPENDENCYPART_ARC
(8,16),-1.45164 # DEPENDENCYPART_ARC
(8,18),-2.1082 # DEPENDENCYPART_ARC
(8,25),-1.4866 # DEPENDENCYPART_ARC
(9,10),-0.483387 # DEPENDENCYPART_ARC
(9,11),-1.31567 # DEPENDENCYPART_ARC
(9,12),-1.56228 # DEPENDENCYPART_ARC
(9,13),-1.79764 # DEPENDENCYPART_ARC
(10,5),-1.97289 # DEPENDENCYPART_ARC
(10,6),-1.81111 # DEPENDENCYPART_ARC
(10,7),-1.34727 # DEPENDENCYPART_ARC
(10,9),-0.355818 # DEPENDENCYPART_ARC
(10,11),1.0477 # DEPENDENCYPART_ARC
(10,12),-0.881691 # DEPENDENCYPART_ARC
(10,13),-1.22159 # DEPENDENCYPART_ARC
(10,14),-1.34134 # DEPENDENCYPART_ARC
(10,16),-1.43187 # DEPENDENCYPART_ARC
(10,21),-1.69741 # DEPENDENCYPART_ARC
(11,7),-1.58517 # DEPENDENCYPART_ARC
(11,9),-1.12416 # DEPENDENCYPART_ARC
(11,10),0.0821548 # DEPENDENCYPART_ARC
(12,4),-1.7962 # DEPENDENCYPART_ARC
(12,5),-1.82776 # DEPENDENCYPART_ARC
(12,7),-1.64202 # DEPENDENCYPART_ARC
(12,8),-1.38696 # DEPENDENCYPART_ARC
(12,9),-1.22422 # DEPENDENCYPART_ARC
(12,10),-1.45989 # DEPENDENCYPART_ARC
(12,11),-0.352716 # DEPENDENCYPART_ARC
(12,13),0.186058 # DEPENDENCYPART_ARC
(12,14),-1.37407 # DEPENDENCYPART_ARC
(12,15),-1.59284 # DEPENDENCYPART_ARC
(12,16),-1.51176 # DEPENDENCYPART_ARC
(12,17),-1.74113 # DEPENDENCYPART_ARC
(12,18),-1.78106 # DEPENDENCYPART_ARC
(12,21),-1.80159 # DEPENDENCYPART_ARC
(12,22),-2.06312 # DEPENDENCYPART_ARC
(12,23),-2.04102 # DEPENDENCYPART_ARC
(13,3),-1.39912 # DEPENDENCYPART_ARC
(13,4),-1.5953 # DEPENDENCYPART_ARC
(13,5),-1.67947 # DEPENDENCYPART_ARC
(13,6),-2.0702 # DEPENDENCYPART_ARC
(13,7),-1.49824 # DEPENDENCYPART_ARC
(13,9),-1.30032 # DEPENDENCYPART_ARC
(13,10),-0.451675 # DEPENDENCYPART_ARC
(13,11),-0.630059 # DEPENDENCYPART_ARC
(13,12),0.936438 # DEPENDENCYPART_ARC
(13,14),0.390677 # DEPENDENCYPART_ARC
(13,15),-1.22237 # DEPENDENCYPART_ARC
(13,16),-0.567876 # DEPENDENCYPART_ARC
(13,17),-1.30397 # DEPENDENCYPART_ARC
(13,18),-1.29341 # DEPENDENCYPART_ARC
(13,20),-1.818 # DEPENDENCYPART_ARC
(13,21),-1.07253 # DEPENDENCYPART_ARC
(13,22),-1.55896 # DEPENDENCYPART_ARC
(13,23),-1.4514 # DEPENDENCYPART_ARC
(13,25),-1.79716 # DEPENDENCYPART_ARC
(16,4),-2.09118 # DEPENDENCYPART_ARC
(16,5),-2.16717 # DEPENDENCYPART_ARC
(16,7),-1.80772 # DEPENDENCYPART_ARC
(16,8),-1.8034 # DEPENDENCYPART_ARC
(16,9),-1.73354 # DEPENDENCYPART_ARC
(16,10),-2.02607 # DEPENDENCYPART_ARC
(16,11),-1.79925 # DEPENDENCYPART_ARC
(16,12),-1.61638 # DEPENDENCYPART_ARC
(16,13),-0.898998 # DEPENDENCYPART_ARC
(16,14),-1.09284 # DEPENDENCYPART_ARC
(16,15),0.566146 # DEPENDENCYPART_ARC
(16,17),0.634876 # DEPENDENCYPART_ARC
(16,18),-0.476076 # DEPENDENCYPART_ARC
(16,20),-1.4172 # DEPENDENCYPART_ARC
(16,21),-1.14343 # DEPENDENCYPART_ARC
(16,22),-1.09719 # DEPENDENCYPART_ARC
(16,23),-1.18166 # DEPENDENCYPART_ARC
(16,24),-1.63372 # DEPENDENCYPART_ARC
(16,25),-0.715205 # DEPENDENCYPART_ARC
(17,15),-1.7542 # DEPENDENCYPART_ARC
(17,16),-0.600028 # DEPENDENCYPART_ARC
(17,18),0.155356 # DEPENDENCYPART_ARC
(17,19),-0.410806 # DEPENDENCYPART_ARC
(17,20),-0.863297 # DEPENDENCYPART_ARC
(17,22),-1.28001 # DEPENDENCYPART_ARC
(17,23),-1.18649 # DEPENDENCYPART_ARC
(17,25),-1.27431 # DEPENDENCYPART_ARC
(18,4),-1.70387 # DEPENDENCYPART_ARC
(18,5),-1.62517 # DEPENDENCYPART_ARC
(18,8),-1.46905 # DEPENDENCYPART_ARC
(18,9),-1.87567 # DEPENDENCYPART_ARC
(18,10),-2.0262 # DEPENDENCYPART_ARC
(18,12),-1.56214 # DEPENDENCYPART_ARC
(18,13),-1.38701 # DEPENDENCYPART_ARC
(18,14),-1.53505 # DEPENDENCYPART_ARC
(18,15),-1.16176 # DEPENDENCYPART_ARC
(18,16),-1.0056 # DEPENDENCYPART_ARC
(18,17),0.547987 # DEPENDENCYPART_ARC
(18,19),1.49823 # DEPENDENCYPART_ARC
(18,20),0.275333 # DEPENDENCYPART_ARC
(18,21),-0.575413 # DEPENDENCYPART_ARC
(18,22),-0.681292 # DEPENDENCYPART_ARC
(18,23),-1.31984 # DEPENDENCYPART_ARC
(18,24),-1.39269 # DEPENDENCYPART_ARC
(18,25),-1.22645 # DEPENDENCYPART_ARC
(19,17),-1.79142 # DEPENDENCYPART_ARC
(19,20),-0.575129 # DEPENDENCYPART_ARC
(19,22),-1.29466 # DEPENDENCYPART_ARC
(20,15),-1.69573 # DEPENDENCYPART_ARC
(20,17),-1.33762 # DEPENDENCYPART_ARC
(20,19),0.395336 # DEPENDENCYPART_ARC
(20,21),-0.429752 # DEPENDENCYPART_ARC
(20,22),-1.20543 # DEPENDENCYPART_ARC
(20,23),-1.66976 # DEPENDENCYPART_ARC
(22,4),-1.85679 # DEPENDENCYPART_ARC
(22,5),-2.02776 # DEPENDENCYPART_ARC
(22,7),-1.77894 # DEPENDENCYPART_ARC
(22,8),-1.69475 # DEPENDENCYPART_ARC
(22,9),-1.84048 # DEPENDENCYPART_ARC
(22,10),-1.99346 # DEPENDENCYPART_ARC
(22,11),-1.80187 # DEPENDENCYPART_ARC
(22,12),-1.3607 # DEPENDENCYPART_ARC
(22,13),-0.777243 # DEPENDENCYPART_ARC
(22,14),-1.73982 # DEPENDENCYPART_ARC
(22,15),-1.37983 # DEPENDENCYPART_ARC
