# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,15,16,23,23,23,23,23,17,9,
(0,1),-1.02923 # DEPENDENCYPART_ARC
(0,9),0.322475 # DEPENDENCYPART_ARC
(0,11),-1.31805 # DEPENDENCYPART_ARC
(1,2),0.434274 # DEPENDENCYPART_ARC
(1,3),-0.46531 # DEPENDENCYPART_ARC
(1,4),-1.18599 # DEPENDENCYPART_ARC
(1,5),-1.38903 # DEPENDENCYPART_ARC
(1,6),-0.943754 # DEPENDENCYPART_ARC
(1,7),-1.79047 # DEPENDENCYPART_ARC
(1,8),-1.23303 # DEPENDENCYPART_ARC
(1,9),-1.3896 # DEPENDENCYPART_ARC
(1,10),-1.44342 # DEPENDENCYPART_ARC
(1,11),-1.47556 # DEPENDENCYPART_ARC
(1,15),-2.62732 # DEPENDENCYPART_ARC
(1,16),-1.80902 # DEPENDENCYPART_ARC
(1,23),-2.76274 # DEPENDENCYPART_ARC
(2,1),0.382612 # DEPENDENCYPART_ARC
(2,3),0.176517 # DEPENDENCYPART_ARC
(2,4),-1.39244 # DEPENDENCYPART_ARC
(2,5),-1.53528 # DEPENDENCYPART_ARC
(2,6),-1.51053 # DEPENDENCYPART_ARC
(2,7),-2.15889 # DEPENDENCYPART_ARC
(2,8),-1.68045 # DEPENDENCYPART_ARC
(2,9),-1.77895 # DEPENDENCYPART_ARC
(2,10),-1.84796 # DEPENDENCYPART_ARC
(2,11),-1.85499 # DEPENDENCYPART_ARC
(3,4),0.121208 # DEPENDENCYPART_ARC
(3,5),-0.215992 # DEPENDENCYPART_ARC
(3,6),-1.09153 # DEPENDENCYPART_ARC
(3,7),-1.38565 # DEPENDENCYPART_ARC
(3,8),-1.25696 # DEPENDENCYPART_ARC
(3,10),-1.78059 # DEPENDENCYPART_ARC
(3,11),-1.61945 # DEPENDENCYPART_ARC
(3,15),-2.14367 # DEPENDENCYPART_ARC
(3,23),-1.2408 # DEPENDENCYPART_ARC
(4,1),-2.40875 # DEPENDENCYPART_ARC
(4,2),-1.89805 # DEPENDENCYPART_ARC
(4,3),-0.928185 # DEPENDENCYPART_ARC
(4,5),-0.567791 # DEPENDENCYPART_ARC
(4,6),-1.36691 # DEPENDENCYPART_ARC
(4,7),-1.73235 # DEPENDENCYPART_ARC
(4,8),-2.04041 # DEPENDENCYPART_ARC
(4,11),-2.15973 # DEPENDENCYPART_ARC
(5,1),-1.39534 # DEPENDENCYPART_ARC
(5,2),-1.50469 # DEPENDENCYPART_ARC
(5,3),-1.34293 # DEPENDENCYPART_ARC
(5,4),1.24861 # DEPENDENCYPART_ARC
(5,6),0.560422 # DEPENDENCYPART_ARC
(5,7),-1.02798 # DEPENDENCYPART_ARC
(5,8),-0.787155 # DEPENDENCYPART_ARC
(5,9),-1.41905 # DEPENDENCYPART_ARC
(5,10),-1.49585 # DEPENDENCYPART_ARC
