# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,18,4,4,6,18,18,9,10,11,12,9,16,18,18,29,18,21,18,21,21,23,29,29,26,29,0,29,32,30,32,35,32,29,38,36,38,29,
(0,3),-2.28238 # DEPENDENCYPART_ARC
(0,4),-3.25793 # DEPENDENCYPART_ARC
(0,17),-2.41805 # DEPENDENCYPART_ARC
(0,18),-3.21266 # DEPENDENCYPART_ARC
(0,29),-1.00852 # DEPENDENCYPART_ARC
(0,36),-3.57774 # DEPENDENCYPART_ARC
(1,2),0.941089 # DEPENDENCYPART_ARC
(2,1),3.77911 # DEPENDENCYPART_ARC
(2,3),0.757726 # DEPENDENCYPART_ARC
(2,4),-0.32166 # DEPENDENCYPART_ARC
(2,5),-0.949815 # DEPENDENCYPART_ARC
(2,13),-1.68128 # DEPENDENCYPART_ARC
(2,40),1.62794 # DEPENDENCYPART_ARC
(3,2),-0.40114 # DEPENDENCYPART_ARC
(3,4),-0.994254 # DEPENDENCYPART_ARC
(3,5),-2.46302 # DEPENDENCYPART_ARC
(3,6),-2.01081 # DEPENDENCYPART_ARC
(3,40),-0.391536 # DEPENDENCYPART_ARC
(4,1),-0.699666 # DEPENDENCYPART_ARC
(4,2),1.75282 # DEPENDENCYPART_ARC
(4,3),4.99024 # DEPENDENCYPART_ARC
(4,5),1.72017 # DEPENDENCYPART_ARC
(4,6),2.23845 # DEPENDENCYPART_ARC
(4,7),0.855641 # DEPENDENCYPART_ARC
(4,8),-0.211946 # DEPENDENCYPART_ARC
(4,9),0.580469 # DEPENDENCYPART_ARC
(4,10),-0.359247 # DEPENDENCYPART_ARC
(4,11),0.308874 # DEPENDENCYPART_ARC
(4,12),-0.326477 # DEPENDENCYPART_ARC
(4,13),-0.119103 # DEPENDENCYPART_ARC
(4,14),0.308064 # DEPENDENCYPART_ARC
(4,16),0.0376711 # DEPENDENCYPART_ARC
(4,17),0.189085 # DEPENDENCYPART_ARC
(4,18),-0.402819 # DEPENDENCYPART_ARC
(4,19),-0.598127 # DEPENDENCYPART_ARC
(4,21),0.0513284 # DEPENDENCYPART_ARC
(4,23),-1.17275 # DEPENDENCYPART_ARC
(4,24),-0.889243 # DEPENDENCYPART_ARC
(4,25),0.323717 # DEPENDENCYPART_ARC
(4,26),-1.30693 # DEPENDENCYPART_ARC
(4,27),-0.761064 # DEPENDENCYPART_ARC
