# _root_ Juergen_Schrempp , copresident de Daimler-Chrysler , a l' assemblea del Fòrum_Econòmic_Mundial .
#goldHeads=0,3,1,3,4,7,1,9,7,9,10,1,
#predictedHeads=0,3,1,3,4,7,1,9,7,9,10,1,
(0,1),-6.62938 # DEPENDENCYPART_ARC
(1,2),1.80068 # DEPENDENCYPART_ARC
(1,3),2.29421 # DEPENDENCYPART_ARC
(1,4),2.34277 # DEPENDENCYPART_ARC
(1,5),1.26916 # DEPENDENCYPART_ARC
(1,6),0.683038 # DEPENDENCYPART_ARC
(1,7),1.10474 # DEPENDENCYPART_ARC
(1,9),1.48364 # DEPENDENCYPART_ARC
(1,10),0.731717 # DEPENDENCYPART_ARC
(1,11),0.773076 # DEPENDENCYPART_ARC
(1,12),2.43776 # DEPENDENCYPART_ARC
(3,2),2.51209 # DEPENDENCYPART_ARC
(3,4),3.94834 # DEPENDENCYPART_ARC
(3,5),0.358547 # DEPENDENCYPART_ARC
(3,6),1.3139 # DEPENDENCYPART_ARC
(3,7),0.214056 # DEPENDENCYPART_ARC
(3,9),-0.0525298 # DEPENDENCYPART_ARC
(3,10),0.902483 # DEPENDENCYPART_ARC
(3,11),-0.543231 # DEPENDENCYPART_ARC
(3,12),0.544856 # DEPENDENCYPART_ARC
(4,2),0.209796 # DEPENDENCYPART_ARC
(4,3),0.168098 # DEPENDENCYPART_ARC
(4,5),3.54596 # DEPENDENCYPART_ARC
(4,6),0.62997 # DEPENDENCYPART_ARC
(4,7),-0.308982 # DEPENDENCYPART_ARC
(4,9),-0.315833 # DEPENDENCYPART_ARC
(4,10),-0.657881 # DEPENDENCYPART_ARC
(4,12),-0.924328 # DEPENDENCYPART_ARC
(5,2),0.0218858 # DEPENDENCYPART_ARC
(5,3),-0.104643 # DEPENDENCYPART_ARC
(5,4),1.61548 # DEPENDENCYPART_ARC
(5,6),-0.387352 # DEPENDENCYPART_ARC
(5,7),-0.485349 # DEPENDENCYPART_ARC
(5,9),-0.409874 # DEPENDENCYPART_ARC
(5,10),-0.222556 # DEPENDENCYPART_ARC
(5,11),-0.207951 # DEPENDENCYPART_ARC
(5,12),-0.397019 # DEPENDENCYPART_ARC
(6,2),-1.02942 # DEPENDENCYPART_ARC
(7,4),-0.620212 # DEPENDENCYPART_ARC
(7,6),1.45559 # DEPENDENCYPART_ARC
(7,8),-0.351201 # DEPENDENCYPART_ARC
(7,9),3.72336 # DEPENDENCYPART_ARC
(7,10),-0.568688 # DEPENDENCYPART_ARC
(7,11),0.51154 # DEPENDENCYPART_ARC
(7,12),0.443123 # DEPENDENCYPART_ARC
(8,7),-0.23179 # DEPENDENCYPART_ARC
(8,9),2.24272 # DEPENDENCYPART_ARC
(8,10),-1.08923 # DEPENDENCYPART_ARC
(9,2),-0.867677 # DEPENDENCYPART_ARC
(9,4),-1.96315 # DEPENDENCYPART_ARC
(9,6),-0.21885 # DEPENDENCYPART_ARC
(9,7),0.130399 # DEPENDENCYPART_ARC
(9,8),2.85339 # DEPENDENCYPART_ARC
(9,10),3.15337 # DEPENDENCYPART_ARC
(9,11),0.486133 # DEPENDENCYPART_ARC
(9,12),0.604474 # DEPENDENCYPART_ARC
(10,6),-0.107656 # DEPENDENCYPART_ARC
(10,7),-0.431037 # DEPENDENCYPART_ARC
(10,8),-0.605834 # DEPENDENCYPART_ARC
(10,11),3.38293 # DEPENDENCYPART_ARC
(10,12),-0.744546 # DEPENDENCYPART_ARC
(11,7),-0.324178 # DEPENDENCYPART_ARC
(11,8),0.264502 # DEPENDENCYPART_ARC
(11,10),1.25928 # DEPENDENCYPART_ARC
(11,12),-0.605612 # DEPENDENCYPART_ARC
