# _root_ Al_llarg_dels anys , a_més_del vessant agrícola , el mercat ha incorporat altres sectors econòmics i socioculturals .
#goldHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
#predictedHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
(0,1),-7.96826 # DEPENDENCYPART_ARC
(0,4),-7.26536 # DEPENDENCYPART_ARC
(0,10),-2.25947 # DEPENDENCYPART_ARC
(0,11),-2.46984 # DEPENDENCYPART_ARC
(1,2),4.88323 # DEPENDENCYPART_ARC
(1,3),2.09816 # DEPENDENCYPART_ARC
(1,4),-0.519948 # DEPENDENCYPART_ARC
(1,5),-0.587917 # DEPENDENCYPART_ARC
(1,6),-2.83445 # DEPENDENCYPART_ARC
(1,7),1.30875 # DEPENDENCYPART_ARC
(1,15),-1.40175 # DEPENDENCYPART_ARC
(1,17),-0.0336165 # DEPENDENCYPART_ARC
(2,1),-0.268074 # DEPENDENCYPART_ARC
(2,3),-0.435154 # DEPENDENCYPART_ARC
(2,4),-0.29913 # DEPENDENCYPART_ARC
(2,5),-0.839745 # DEPENDENCYPART_ARC
(2,6),-0.414984 # DEPENDENCYPART_ARC
(2,7),-0.554327 # DEPENDENCYPART_ARC
(2,9),-1.76224 # DEPENDENCYPART_ARC
(2,11),-1.65023 # DEPENDENCYPART_ARC
(2,15),-1.69116 # DEPENDENCYPART_ARC
(2,16),-1.7806 # DEPENDENCYPART_ARC
(2,17),-1.14348 # DEPENDENCYPART_ARC
(4,1),-1.04984 # DEPENDENCYPART_ARC
(4,3),1.90518 # DEPENDENCYPART_ARC
(4,5),2.40883 # DEPENDENCYPART_ARC
(4,6),-0.221849 # DEPENDENCYPART_ARC
(4,7),1.70164 # DEPENDENCYPART_ARC
(4,9),-2.06932 # DEPENDENCYPART_ARC
(4,15),-1.34576 # DEPENDENCYPART_ARC
(4,17),-0.176166 # DEPENDENCYPART_ARC
(5,1),-2.02188 # DEPENDENCYPART_ARC
(5,3),-0.734483 # DEPENDENCYPART_ARC
(5,4),0.745888 # DEPENDENCYPART_ARC
