# _root_ En_total s' hauran de fer dues voltes , tres o quatre , depenent de la categoria .
#goldHeads=5,5,5,5,0,7,5,7,7,7,7,13,5,13,16,14,5,
#predictedHeads=5,5,5,5,0,7,5,9,13,9,13,13,5,13,16,14,5,
(0,1),-6.61214 # DEPENDENCYPART_ARC
(0,3),-3.02973 # DEPENDENCYPART_ARC
(0,4),-6.75812 # DEPENDENCYPART_ARC
(0,5),-4.59993 # DEPENDENCYPART_ARC
(0,7),-6.66852 # DEPENDENCYPART_ARC
(0,9),-7.54397 # DEPENDENCYPART_ARC
(0,11),-7.22609 # DEPENDENCYPART_ARC
(0,13),-6.77288 # DEPENDENCYPART_ARC
(1,3),-0.821015 # DEPENDENCYPART_ARC
(1,4),-2.323 # DEPENDENCYPART_ARC
(1,5),-2.1972 # DEPENDENCYPART_ARC
(1,8),-0.839658 # DEPENDENCYPART_ARC
(1,10),-1.77493 # DEPENDENCYPART_ARC
(1,12),-1.091 # DEPENDENCYPART_ARC
(1,13),-3.24133 # DEPENDENCYPART_ARC
(1,14),-3.59647 # DEPENDENCYPART_ARC
(1,17),-0.466494 # DEPENDENCYPART_ARC
(3,1),0.46731 # DEPENDENCYPART_ARC
(3,2),1.73392 # DEPENDENCYPART_ARC
(3,4),1.16545 # DEPENDENCYPART_ARC
(3,5),-0.503719 # DEPENDENCYPART_ARC
(3,7),0.429724 # DEPENDENCYPART_ARC
(3,8),-0.934636 # DEPENDENCYPART_ARC
(3,9),-1.70602 # DEPENDENCYPART_ARC
(3,10),-0.149508 # DEPENDENCYPART_ARC
(3,12),-0.478973 # DEPENDENCYPART_ARC
(3,13),-0.770174 # DEPENDENCYPART_ARC
(3,17),2.02211 # DEPENDENCYPART_ARC
(4,1),-1.40248 # DEPENDENCYPART_ARC
(4,5),2.26744 # DEPENDENCYPART_ARC
(4,7),0.913458 # DEPENDENCYPART_ARC
(4,8),-0.579489 # DEPENDENCYPART_ARC
(4,10),-0.420174 # DEPENDENCYPART_ARC
(4,12),-0.103169 # DEPENDENCYPART_ARC
(4,13),-0.35844 # DEPENDENCYPART_ARC
(4,14),-0.946578 # DEPENDENCYPART_ARC
(4,17),-0.175341 # DEPENDENCYPART_ARC
(5,1),2.78124 # DEPENDENCYPART_ARC
(5,2),3.95142 # DEPENDENCYPART_ARC
(5,3),4.66541 # DEPENDENCYPART_ARC
(5,4),4.54707 # DEPENDENCYPART_ARC
(5,7),4.3074 # DEPENDENCYPART_ARC
(5,8),0.587551 # DEPENDENCYPART_ARC
(5,9),-0.119146 # DEPENDENCYPART_ARC
(5,10),1.17175 # DEPENDENCYPART_ARC
(5,11),-0.539628 # DEPENDENCYPART_ARC
(5,12),0.620539 # DEPENDENCYPART_ARC
(5,13),1.1792 # DEPENDENCYPART_ARC
(5,14),-0.537933 # DEPENDENCYPART_ARC
(5,16),-0.359614 # DEPENDENCYPART_ARC
(5,17),3.448 # DEPENDENCYPART_ARC
(6,4),-0.0846524 # DEPENDENCYPART_ARC
(6,5),0.834706 # DEPENDENCYPART_ARC
(7,1),-1.14176 # DEPENDENCYPART_ARC
(7,3),-0.743063 # DEPENDENCYPART_ARC
(7,4),-0.486015 # DEPENDENCYPART_ARC
(7,5),0.936913 # DEPENDENCYPART_ARC
(7,6),3.73393 # DEPENDENCYPART_ARC
(7,8),-0.273117 # DEPENDENCYPART_ARC
(7,9),0.899433 # DEPENDENCYPART_ARC
(7,10),0.714959 # DEPENDENCYPART_ARC
(7,11),0.483157 # DEPENDENCYPART_ARC
(7,12),-0.460127 # DEPENDENCYPART_ARC
(7,13),1.1624 # DEPENDENCYPART_ARC
(7,14),-0.708882 # DEPENDENCYPART_ARC
(7,16),-0.241274 # DEPENDENCYPART_ARC
(7,17),1.57544 # DEPENDENCYPART_ARC
(8,7),-1.94061 # DEPENDENCYPART_ARC
(9,4),0.427845 # DEPENDENCYPART_ARC
(9,8),1.89861 # DEPENDENCYPART_ARC
(9,10),1.86793 # DEPENDENCYPART_ARC
(9,11),2.49326 # DEPENDENCYPART_ARC
(9,12),1.53352 # DEPENDENCYPART_ARC
(9,13),1.3587 # DEPENDENCYPART_ARC
(9,14),0.362641 # DEPENDENCYPART_ARC
(9,16),-0.516399 # DEPENDENCYPART_ARC
(9,17),1.74697 # DEPENDENCYPART_ARC
(10,12),-0.147018 # DEPENDENCYPART_ARC
(11,4),0.0170676 # DEPENDENCYPART_ARC
(11,10),1.10819 # DEPENDENCYPART_ARC
(11,12),0.528108 # DEPENDENCYPART_ARC
(11,13),0.603819 # DEPENDENCYPART_ARC
(11,14),0.504855 # DEPENDENCYPART_ARC
(11,17),0.810443 # DEPENDENCYPART_ARC
(12,8),-0.991462 # DEPENDENCYPART_ARC
(13,1),0.345681 # DEPENDENCYPART_ARC
(13,3),0.35863 # DEPENDENCYPART_ARC
(13,4),-1.40073 # DEPENDENCYPART_ARC
(13,5),-1.00436 # DEPENDENCYPART_ARC
(13,7),-0.216429 # DEPENDENCYPART_ARC
(13,8),0.49757 # DEPENDENCYPART_ARC
(13,9),1.1318 # DEPENDENCYPART_ARC
(13,10),0.77487 # DEPENDENCYPART_ARC
(13,11),2.56646 # DEPENDENCYPART_ARC
(13,12),1.93005 # DEPENDENCYPART_ARC
(13,14),2.30332 # DEPENDENCYPART_ARC
(13,16),2.19045 # DEPENDENCYPART_ARC
(13,17),2.82614 # DEPENDENCYPART_ARC
(14,5),-2.66044 # DEPENDENCYPART_ARC
(14,10),-1.40517 # DEPENDENCYPART_ARC
(14,12),-0.945215 # DEPENDENCYPART_ARC
(14,13),0.120286 # DEPENDENCYPART_ARC
(14,16),4.52366 # DEPENDENCYPART_ARC
(14,17),-0.100135 # DEPENDENCYPART_ARC
(15,14),0.0582659 # DEPENDENCYPART_ARC
(16,4),-1.58163 # DEPENDENCYPART_ARC
(16,5),-0.923911 # DEPENDENCYPART_ARC
(16,8),-1.59003 # DEPENDENCYPART_ARC
(16,10),-1.33431 # DEPENDENCYPART_ARC
(16,13),-0.871604 # DEPENDENCYPART_ARC
(16,14),0.23359 # DEPENDENCYPART_ARC
(16,15),3.93273 # DEPENDENCYPART_ARC
(16,17),0.06373 # DEPENDENCYPART_ARC
