# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,0,3,4,3,10,10,10,3,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(0,1),-5.76245 # DEPENDENCYPART_ARC
(0,3),-4.73157 # DEPENDENCYPART_ARC
(0,10),-4.29801 # DEPENDENCYPART_ARC
(0,22),-5.58751 # DEPENDENCYPART_ARC
(1,3),-1.00252 # DEPENDENCYPART_ARC
(1,4),-2.13549 # DEPENDENCYPART_ARC
(1,6),-1.8012 # DEPENDENCYPART_ARC
(3,1),4.37515 # DEPENDENCYPART_ARC
(3,2),4.0243 # DEPENDENCYPART_ARC
(3,4),2.99302 # DEPENDENCYPART_ARC
(3,5),0.533241 # DEPENDENCYPART_ARC
(3,6),1.24035 # DEPENDENCYPART_ARC
(3,7),0.805393 # DEPENDENCYPART_ARC
(3,8),-1.56568 # DEPENDENCYPART_ARC
(3,10),1.10882 # DEPENDENCYPART_ARC
(3,11),-1.22348 # DEPENDENCYPART_ARC
(3,13),-1.24478 # DEPENDENCYPART_ARC
(3,14),-1.87234 # DEPENDENCYPART_ARC
(3,16),-0.232743 # DEPENDENCYPART_ARC
(3,17),-0.570446 # DEPENDENCYPART_ARC
(3,19),-1.04235 # DEPENDENCYPART_ARC
(3,21),-2.43934 # DEPENDENCYPART_ARC
(3,22),-0.616733 # DEPENDENCYPART_ARC
(3,23),-1.08138 # DEPENDENCYPART_ARC
(3,24),-2.12368 # DEPENDENCYPART_ARC
(3,25),1.30268 # DEPENDENCYPART_ARC
(4,1),-1.15916 # DEPENDENCYPART_ARC
(4,3),-1.93146 # DEPENDENCYPART_ARC
(4,5),2.03786 # DEPENDENCYPART_ARC
(4,6),0.782484 # DEPENDENCYPART_ARC
(4,7),-0.51394 # DEPENDENCYPART_ARC
(4,10),-0.165741 # DEPENDENCYPART_ARC
(4,11),-2.22273 # DEPENDENCYPART_ARC
(4,17),-2.16659 # DEPENDENCYPART_ARC
(5,4),1.06239 # DEPENDENCYPART_ARC
(5,6),0.44525 # DEPENDENCYPART_ARC
(5,10),0.725578 # DEPENDENCYPART_ARC
(5,11),-1.53265 # DEPENDENCYPART_ARC
(5,14),-1.24242 # DEPENDENCYPART_ARC
(5,16),-0.642734 # DEPENDENCYPART_ARC
(5,22),-0.0539732 # DEPENDENCYPART_ARC
(5,24),-1.26312 # DEPENDENCYPART_ARC
(10,1),2.25082 # DEPENDENCYPART_ARC
(10,3),0.0612208 # DEPENDENCYPART_ARC
(10,4),-0.345736 # DEPENDENCYPART_ARC
(10,5),-0.512096 # DEPENDENCYPART_ARC
(10,6),0.74562 # DEPENDENCYPART_ARC
(10,7),2.36418 # DEPENDENCYPART_ARC
(10,8),2.37304 # DEPENDENCYPART_ARC
(10,9),3.60054 # DEPENDENCYPART_ARC
(10,11),1.57923 # DEPENDENCYPART_ARC
(10,13),1.71869 # DEPENDENCYPART_ARC
(10,14),-0.288885 # DEPENDENCYPART_ARC
(10,15),0.101964 # DEPENDENCYPART_ARC
(10,16),0.661865 # DEPENDENCYPART_ARC
(10,17),0.702582 # DEPENDENCYPART_ARC
(10,19),0.569613 # DEPENDENCYPART_ARC
(10,21),-1.01855 # DEPENDENCYPART_ARC
(10,22),0.488705 # DEPENDENCYPART_ARC
(10,23),0.182022 # DEPENDENCYPART_ARC
(10,24),-1.25048 # DEPENDENCYPART_ARC
(10,25),1.77783 # DEPENDENCYPART_ARC
(11,3),-2.67649 # DEPENDENCYPART_ARC
(11,7),-2.39035 # DEPENDENCYPART_ARC
(11,10),-0.120794 # DEPENDENCYPART_ARC
(11,12),-0.214132 # DEPENDENCYPART_ARC
(11,13),4.23304 # DEPENDENCYPART_ARC
(11,14),0.231369 # DEPENDENCYPART_ARC
(11,15),1.05818 # DEPENDENCYPART_ARC
(11,16),0.0928094 # DEPENDENCYPART_ARC
(11,17),-0.295702 # DEPENDENCYPART_ARC
(12,11),-0.00325642 # DEPENDENCYPART_ARC
(12,14),-0.491643 # DEPENDENCYPART_ARC
(13,3),-4.18837 # DEPENDENCYPART_ARC
(13,4),-1.63579 # DEPENDENCYPART_ARC
(13,6),-1.36344 # DEPENDENCYPART_ARC
(13,10),-1.62173 # DEPENDENCYPART_ARC
(13,11),0.148407 # DEPENDENCYPART_ARC
(13,12),2.78173 # DEPENDENCYPART_ARC
(13,14),2.85125 # DEPENDENCYPART_ARC
(13,15),0.290594 # DEPENDENCYPART_ARC
(13,16),-0.10352 # DEPENDENCYPART_ARC
(13,17),0.198453 # DEPENDENCYPART_ARC
(13,19),-0.236293 # DEPENDENCYPART_ARC
(13,21),-1.11657 # DEPENDENCYPART_ARC
(13,22),1.18083 # DEPENDENCYPART_ARC
(13,23),-1.70806 # DEPENDENCYPART_ARC
(13,24),-1.68332 # DEPENDENCYPART_ARC
(14,3),-2.77538 # DEPENDENCYPART_ARC
