# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,15,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(0,2),-7.34067 # DEPENDENCYPART_ARC
(0,3),-2.24021 # DEPENDENCYPART_ARC
(0,4),-3.8161 # DEPENDENCYPART_ARC
(0,15),-3.9214 # DEPENDENCYPART_ARC
(0,19),-4.58486 # DEPENDENCYPART_ARC
(0,20),-4.41623 # DEPENDENCYPART_ARC
(1,2),0.142071 # DEPENDENCYPART_ARC
(2,1),2.7765 # DEPENDENCYPART_ARC
(2,3),-0.223329 # DEPENDENCYPART_ARC
(2,4),-0.757009 # DEPENDENCYPART_ARC
(2,6),-1.44534 # DEPENDENCYPART_ARC
(2,7),-1.08435 # DEPENDENCYPART_ARC
(3,1),-1.41085 # DEPENDENCYPART_ARC
(3,2),0.894099 # DEPENDENCYPART_ARC
(3,4),1.54779 # DEPENDENCYPART_ARC
(3,6),0.403481 # DEPENDENCYPART_ARC
(3,7),-1.03223 # DEPENDENCYPART_ARC
(3,10),-0.969927 # DEPENDENCYPART_ARC
(3,12),0.110316 # DEPENDENCYPART_ARC
(3,13),1.00476 # DEPENDENCYPART_ARC
(3,14),-0.688256 # DEPENDENCYPART_ARC
(3,15),-0.703691 # DEPENDENCYPART_ARC
(3,18),-0.187062 # DEPENDENCYPART_ARC
(3,19),-1.96462 # DEPENDENCYPART_ARC
(3,20),-2.03941 # DEPENDENCYPART_ARC
(3,26),4.03054 # DEPENDENCYPART_ARC
(4,1),0.602443 # DEPENDENCYPART_ARC
(4,2),3.10632 # DEPENDENCYPART_ARC
(4,3),5.22828 # DEPENDENCYPART_ARC
(4,6),3.17643 # DEPENDENCYPART_ARC
(4,7),1.00355 # DEPENDENCYPART_ARC
(4,9),-0.736796 # DEPENDENCYPART_ARC
(4,10),0.597792 # DEPENDENCYPART_ARC
(4,12),0.717449 # DEPENDENCYPART_ARC
(4,13),1.26628 # DEPENDENCYPART_ARC
(4,14),0.940879 # DEPENDENCYPART_ARC
(4,15),-0.046894 # DEPENDENCYPART_ARC
(4,17),-1.83249 # DEPENDENCYPART_ARC
(4,18),1.03727 # DEPENDENCYPART_ARC
(4,19),-1.29068 # DEPENDENCYPART_ARC
