# _root_ La inflació acumulada a la demarcació de Barcelona és de l' 1,7% i la interanual se situa en el 3,5% .
#goldHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
#predictedHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
(0,2),-7.31097 # DEPENDENCYPART_ARC
(0,4),-7.80556 # DEPENDENCYPART_ARC
(0,9),-2.10317 # DEPENDENCYPART_ARC
(0,17),-6.55131 # DEPENDENCYPART_ARC
(1,2),0.259295 # DEPENDENCYPART_ARC
(2,1),3.70973 # DEPENDENCYPART_ARC
(2,3),4.10737 # DEPENDENCYPART_ARC
(2,4),1.39288 # DEPENDENCYPART_ARC
(2,6),0.851293 # DEPENDENCYPART_ARC
(2,7),1.48777 # DEPENDENCYPART_ARC
(2,8),-0.121115 # DEPENDENCYPART_ARC
(2,9),0.726894 # DEPENDENCYPART_ARC
(2,10),-1.27867 # DEPENDENCYPART_ARC
(2,12),-1.1057 # DEPENDENCYPART_ARC
(2,13),-0.279295 # DEPENDENCYPART_ARC
(2,15),-0.69433 # DEPENDENCYPART_ARC
(2,17),-2.46686 # DEPENDENCYPART_ARC
(2,21),1.29326 # DEPENDENCYPART_ARC
(3,1),0.0800754 # DEPENDENCYPART_ARC
(3,4),3.12863 # DEPENDENCYPART_ARC
(3,6),0.00979284 # DEPENDENCYPART_ARC
(3,7),0.816082 # DEPENDENCYPART_ARC
(3,10),-1.11133 # DEPENDENCYPART_ARC
(3,15),-1.94011 # DEPENDENCYPART_ARC
(3,17),-0.320699 # DEPENDENCYPART_ARC
(3,18),-0.751848 # DEPENDENCYPART_ARC
(4,2),-1.05936 # DEPENDENCYPART_ARC
(4,3),0.0957253 # DEPENDENCYPART_ARC
(4,5),-1.25687 # DEPENDENCYPART_ARC
(4,6),4.18492 # DEPENDENCYPART_ARC
(4,7),-0.652605 # DEPENDENCYPART_ARC
(4,8),1.44113 # DEPENDENCYPART_ARC
(4,13),-0.515539 # DEPENDENCYPART_ARC
(4,15),-1.56441 # DEPENDENCYPART_ARC
(4,17),-0.4785 # DEPENDENCYPART_ARC
(5,4),-0.453557 # DEPENDENCYPART_ARC
(5,6),2.65658 # DEPENDENCYPART_ARC
(5,7),0.582986 # DEPENDENCYPART_ARC
(6,1),0.241049 # DEPENDENCYPART_ARC
(6,2),-1.60126 # DEPENDENCYPART_ARC
(6,4),0.0393426 # DEPENDENCYPART_ARC
(6,5),3.41401 # DEPENDENCYPART_ARC
(6,7),2.94956 # DEPENDENCYPART_ARC
(6,8),0.200557 # DEPENDENCYPART_ARC
(6,9),0.435141 # DEPENDENCYPART_ARC
(6,10),-0.551335 # DEPENDENCYPART_ARC
(6,12),-1.36007 # DEPENDENCYPART_ARC
(6,13),-0.594206 # DEPENDENCYPART_ARC
(6,15),-1.18128 # DEPENDENCYPART_ARC
(6,17),-2.3245 # DEPENDENCYPART_ARC
(6,21),0.816739 # DEPENDENCYPART_ARC
(7,4),-0.796633 # DEPENDENCYPART_ARC
