# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,12,6,4,6,9,7,12,12,0,14,12,12,15,12,21,20,21,12,21,27,27,26,27,21,27,27,12,
(0,2),-5.94201 # DEPENDENCYPART_ARC
(0,4),-1.34401 # DEPENDENCYPART_ARC
(0,12),-0.439119 # DEPENDENCYPART_ARC
(0,21),-3.3483 # DEPENDENCYPART_ARC
(0,27),-4.0875 # DEPENDENCYPART_ARC
(2,1),3.88846 # DEPENDENCYPART_ARC
(2,3),3.94929 # DEPENDENCYPART_ARC
(2,4),0.803932 # DEPENDENCYPART_ARC
(2,6),-0.477784 # DEPENDENCYPART_ARC
(2,7),-0.984947 # DEPENDENCYPART_ARC
(2,12),-1.4709 # DEPENDENCYPART_ARC
(2,14),-1.21661 # DEPENDENCYPART_ARC
(2,17),0.401316 # DEPENDENCYPART_ARC
(2,23),-0.445579 # DEPENDENCYPART_ARC
(2,30),-0.207418 # DEPENDENCYPART_ARC
(4,1),2.8117 # DEPENDENCYPART_ARC
(4,2),1.19208 # DEPENDENCYPART_ARC
(4,3),2.52602 # DEPENDENCYPART_ARC
(4,6),3.28513 # DEPENDENCYPART_ARC
(4,7),1.98273 # DEPENDENCYPART_ARC
(4,9),1.5331 # DEPENDENCYPART_ARC
(4,10),1.54357 # DEPENDENCYPART_ARC
(4,11),1.70327 # DEPENDENCYPART_ARC
(4,12),1.09045 # DEPENDENCYPART_ARC
(4,14),-0.161961 # DEPENDENCYPART_ARC
(4,15),0.585612 # DEPENDENCYPART_ARC
(4,17),0.466358 # DEPENDENCYPART_ARC
(4,18),-0.142482 # DEPENDENCYPART_ARC
(4,20),-1.45077 # DEPENDENCYPART_ARC
(4,21),-0.512368 # DEPENDENCYPART_ARC
(4,22),-0.448092 # DEPENDENCYPART_ARC
(4,23),0.0427806 # DEPENDENCYPART_ARC
(4,26),-3.07198 # DEPENDENCYPART_ARC
(4,27),-1.41716 # DEPENDENCYPART_ARC
(4,28),-1.23243 # DEPENDENCYPART_ARC
(4,29),-0.471368 # DEPENDENCYPART_ARC
(4,30),5.16593 # DEPENDENCYPART_ARC
(5,6),2.79951 # DEPENDENCYPART_ARC
