# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,21,33,30,33,34,2,
(0,2),-3.86931 # DEPENDENCYPART_ARC
(2,1),4.35704 # DEPENDENCYPART_ARC
(2,3),4.55833 # DEPENDENCYPART_ARC
(2,4),2.78279 # DEPENDENCYPART_ARC
(2,5),0.466644 # DEPENDENCYPART_ARC
(2,6),1.18132 # DEPENDENCYPART_ARC
(2,7),0.511896 # DEPENDENCYPART_ARC
(2,8),-0.431275 # DEPENDENCYPART_ARC
(2,9),-0.411045 # DEPENDENCYPART_ARC
(2,10),1.20033 # DEPENDENCYPART_ARC
(2,11),-0.218966 # DEPENDENCYPART_ARC
(2,12),0.00907219 # DEPENDENCYPART_ARC
(2,14),0.222252 # DEPENDENCYPART_ARC
(2,15),-1.94086 # DEPENDENCYPART_ARC
(2,16),1.37886 # DEPENDENCYPART_ARC
(2,19),1.13254 # DEPENDENCYPART_ARC
(2,20),1.43633 # DEPENDENCYPART_ARC
(2,21),1.54297 # DEPENDENCYPART_ARC
(2,22),-2.00401 # DEPENDENCYPART_ARC
(2,31),-1.45644 # DEPENDENCYPART_ARC
(2,36),11.754 # DEPENDENCYPART_ARC
(3,4),1.81585 # DEPENDENCYPART_ARC
(3,5),0.313918 # DEPENDENCYPART_ARC
(3,6),0.381841 # DEPENDENCYPART_ARC
(3,7),-0.565573 # DEPENDENCYPART_ARC
(3,8),0.115053 # DEPENDENCYPART_ARC
(3,9),0.894955 # DEPENDENCYPART_ARC
(3,10),-0.479206 # DEPENDENCYPART_ARC
(3,11),-0.00884859 # DEPENDENCYPART_ARC
(3,12),-0.704395 # DEPENDENCYPART_ARC
(3,13),-0.309245 # DEPENDENCYPART_ARC
(3,14),0.628912 # DEPENDENCYPART_ARC
(3,15),0.0961141 # DEPENDENCYPART_ARC
(3,16),-1.0828 # DEPENDENCYPART_ARC
(3,18),-1.17752 # DEPENDENCYPART_ARC
(3,19),-0.745227 # DEPENDENCYPART_ARC
(3,20),-0.905074 # DEPENDENCYPART_ARC
(3,21),-1.69687 # DEPENDENCYPART_ARC
