# _root_ Els fets han passat a la B-204 , al punt quilomètric 0,5 .
#goldHeads=2,4,4,0,4,7,5,9,4,9,10,10,4,
#predictedHeads=2,4,4,0,4,7,5,9,4,9,10,10,4,
(0,2),-7.16329 # DEPENDENCYPART_ARC
(0,3),-2.2775 # DEPENDENCYPART_ARC
(0,4),-3.2692 # DEPENDENCYPART_ARC
(1,2),1.13915 # DEPENDENCYPART_ARC
(2,1),3.78032 # DEPENDENCYPART_ARC
(2,3),0.513434 # DEPENDENCYPART_ARC
(2,4),-0.7833 # DEPENDENCYPART_ARC
(2,8),-1.50493 # DEPENDENCYPART_ARC
(2,9),-2.14067 # DEPENDENCYPART_ARC
(2,11),-2.47859 # DEPENDENCYPART_ARC
(2,12),-1.77816 # DEPENDENCYPART_ARC
(2,13),-0.845613 # DEPENDENCYPART_ARC
(3,2),-0.913614 # DEPENDENCYPART_ARC
(3,4),-1.16222 # DEPENDENCYPART_ARC
(3,5),-1.62877 # DEPENDENCYPART_ARC
(3,8),-3.31948 # DEPENDENCYPART_ARC
(3,9),-2.7638 # DEPENDENCYPART_ARC
(3,12),-4.39502 # DEPENDENCYPART_ARC
(3,13),-0.835565 # DEPENDENCYPART_ARC
(4,1),-0.329123 # DEPENDENCYPART_ARC
(4,2),1.99667 # DEPENDENCYPART_ARC
(4,3),5.26013 # DEPENDENCYPART_ARC
(4,5),3.87923 # DEPENDENCYPART_ARC
(4,7),1.68961 # DEPENDENCYPART_ARC
(4,8),0.685527 # DEPENDENCYPART_ARC
(4,9),2.15458 # DEPENDENCYPART_ARC
(4,10),-0.491352 # DEPENDENCYPART_ARC
(4,11),0.0790654 # DEPENDENCYPART_ARC
(4,12),-0.647601 # DEPENDENCYPART_ARC
(4,13),3.51327 # DEPENDENCYPART_ARC
(5,6),-1.21857 # DEPENDENCYPART_ARC
(5,7),4.00885 # DEPENDENCYPART_ARC
(5,8),0.591649 # DEPENDENCYPART_ARC
(5,9),0.434012 # DEPENDENCYPART_ARC
(5,10),0.0894414 # DEPENDENCYPART_ARC
(5,11),-1.53706 # DEPENDENCYPART_ARC
(5,13),-0.883726 # DEPENDENCYPART_ARC
(7,6),3.33917 # DEPENDENCYPART_ARC
(7,8),0.203748 # DEPENDENCYPART_ARC
(7,9),-0.279842 # DEPENDENCYPART_ARC
(7,10),-0.027124 # DEPENDENCYPART_ARC
(7,11),0.723997 # DEPENDENCYPART_ARC
(7,12),-0.263295 # DEPENDENCYPART_ARC
(7,13),0.521853 # DEPENDENCYPART_ARC
(9,5),-0.665807 # DEPENDENCYPART_ARC
(9,6),-0.486411 # DEPENDENCYPART_ARC
(9,8),2.0476 # DEPENDENCYPART_ARC
(9,10),2.55903 # DEPENDENCYPART_ARC
(9,11),-1.42713 # DEPENDENCYPART_ARC
(9,12),-1.12187 # DEPENDENCYPART_ARC
(9,13),-0.636736 # DEPENDENCYPART_ARC
(10,6),-1.37622 # DEPENDENCYPART_ARC
(10,8),-1.62173 # DEPENDENCYPART_ARC
(10,9),-0.230883 # DEPENDENCYPART_ARC
(10,11),4.09416 # DEPENDENCYPART_ARC
(10,12),1.25098 # DEPENDENCYPART_ARC
(10,13),0.323263 # DEPENDENCYPART_ARC
(11,5),-1.65794 # DEPENDENCYPART_ARC
(11,8),-0.0419622 # DEPENDENCYPART_ARC
(11,9),-0.52319 # DEPENDENCYPART_ARC
(11,12),-0.50609 # DEPENDENCYPART_ARC
(11,13),-1.60919 # DEPENDENCYPART_ARC
(12,5),-0.570723 # DEPENDENCYPART_ARC
(12,9),0.480728 # DEPENDENCYPART_ARC
(12,10),0.375441 # DEPENDENCYPART_ARC
(12,11),1.99177 # DEPENDENCYPART_ARC
(12,13),0.392577 # DEPENDENCYPART_ARC
