# _root_ Una de les víctimes , xofer , va morir dins d' una limusina .
#goldHeads=9,1,4,2,6,1,6,9,0,9,10,13,11,9,
#predictedHeads=9,1,4,2,6,1,6,9,0,9,10,13,11,9,
(0,1),-6.8694 # DEPENDENCYPART_ARC
(0,6),-6.67567 # DEPENDENCYPART_ARC
(0,8),-3.14921 # DEPENDENCYPART_ARC
(0,9),-4.01548 # DEPENDENCYPART_ARC
(1,2),3.98722 # DEPENDENCYPART_ARC
(1,4),2.14702 # DEPENDENCYPART_ARC
(1,5),1.49861 # DEPENDENCYPART_ARC
(1,6),1.82621 # DEPENDENCYPART_ARC
(1,7),1.61746 # DEPENDENCYPART_ARC
(1,9),0.581023 # DEPENDENCYPART_ARC
(1,11),0.0789401 # DEPENDENCYPART_ARC
(1,13),0.388905 # DEPENDENCYPART_ARC
(1,14),2.02441 # DEPENDENCYPART_ARC
(2,1),-0.409387 # DEPENDENCYPART_ARC
(2,3),-0.391289 # DEPENDENCYPART_ARC
(2,4),5.02589 # DEPENDENCYPART_ARC
(2,5),0.39271 # DEPENDENCYPART_ARC
(2,6),0.467406 # DEPENDENCYPART_ARC
(2,7),-0.177804 # DEPENDENCYPART_ARC
(2,9),-1.70191 # DEPENDENCYPART_ARC
(2,11),-0.343918 # DEPENDENCYPART_ARC
(2,14),-1.12359 # DEPENDENCYPART_ARC
(3,2),0.118057 # DEPENDENCYPART_ARC
(3,4),0.188322 # DEPENDENCYPART_ARC
(4,3),3.01438 # DEPENDENCYPART_ARC
(4,5),0.277116 # DEPENDENCYPART_ARC
(4,6),0.819623 # DEPENDENCYPART_ARC
(4,7),-0.05239 # DEPENDENCYPART_ARC
(4,8),-0.298908 # DEPENDENCYPART_ARC
(4,9),-0.150831 # DEPENDENCYPART_ARC
(4,10),-1.09976 # DEPENDENCYPART_ARC
(4,11),-1.23713 # DEPENDENCYPART_ARC
(4,13),-0.950332 # DEPENDENCYPART_ARC
(4,14),-0.210535 # DEPENDENCYPART_ARC
(6,2),0.0692224 # DEPENDENCYPART_ARC
(6,3),-0.542927 # DEPENDENCYPART_ARC
(6,4),-1.04887 # DEPENDENCYPART_ARC
(6,5),2.91155 # DEPENDENCYPART_ARC
(6,7),2.64644 # DEPENDENCYPART_ARC
(6,8),-0.207828 # DEPENDENCYPART_ARC
(6,9),-0.477105 # DEPENDENCYPART_ARC
(6,10),-1.04503 # DEPENDENCYPART_ARC
(6,11),-1.20345 # DEPENDENCYPART_ARC
(6,14),-0.462846 # DEPENDENCYPART_ARC
(7,5),-0.801329 # DEPENDENCYPART_ARC
(7,6),-1.78367 # DEPENDENCYPART_ARC
(8,6),-1.58553 # DEPENDENCYPART_ARC
(8,7),-1.49521 # DEPENDENCYPART_ARC
(8,9),-0.159986 # DEPENDENCYPART_ARC
(8,10),-0.600939 # DEPENDENCYPART_ARC
(8,11),-1.89167 # DEPENDENCYPART_ARC
(8,13),-0.998951 # DEPENDENCYPART_ARC
(8,14),1.33 # DEPENDENCYPART_ARC
(9,1),-0.996337 # DEPENDENCYPART_ARC
(9,2),-0.552643 # DEPENDENCYPART_ARC
(9,3),-1.36831 # DEPENDENCYPART_ARC
(9,4),1.13655 # DEPENDENCYPART_ARC
(9,5),-0.899065 # DEPENDENCYPART_ARC
(9,6),0.0641581 # DEPENDENCYPART_ARC
(9,7),-0.337602 # DEPENDENCYPART_ARC
(9,8),4.92368 # DEPENDENCYPART_ARC
(9,10),2.71747 # DEPENDENCYPART_ARC
(9,11),1.36713 # DEPENDENCYPART_ARC
(9,13),2.06026 # DEPENDENCYPART_ARC
(9,14),3.41077 # DEPENDENCYPART_ARC
(10,5),-1.20269 # DEPENDENCYPART_ARC
(10,7),-0.703676 # DEPENDENCYPART_ARC
(10,9),-0.615656 # DEPENDENCYPART_ARC
(10,11),1.74698 # DEPENDENCYPART_ARC
(10,13),0.272628 # DEPENDENCYPART_ARC
(10,14),-0.542274 # DEPENDENCYPART_ARC
(11,7),-1.3835 # DEPENDENCYPART_ARC
(11,9),-0.116528 # DEPENDENCYPART_ARC
(11,10),0.115358 # DEPENDENCYPART_ARC
(11,12),-0.106483 # DEPENDENCYPART_ARC
(11,13),4.18929 # DEPENDENCYPART_ARC
(11,14),0.45381 # DEPENDENCYPART_ARC
(12,10),0.973608 # DEPENDENCYPART_ARC
(12,11),2.23063 # DEPENDENCYPART_ARC
(13,2),-2.28464 # DEPENDENCYPART_ARC
(13,5),-0.813415 # DEPENDENCYPART_ARC
(13,6),-2.23329 # DEPENDENCYPART_ARC
(13,7),-0.533656 # DEPENDENCYPART_ARC
(13,9),-1.53236 # DEPENDENCYPART_ARC
(13,10),-0.00265953 # DEPENDENCYPART_ARC
(13,11),0.329815 # DEPENDENCYPART_ARC
(13,12),4.34635 # DEPENDENCYPART_ARC
(13,14),0.330521 # DEPENDENCYPART_ARC
