# _root_ Heather_Mills , l' exmodel de 34 anys que dijous que ve es casarà amb Paul_McCartney , ha muntat un comiat de soltera amb tota mena de luxes .
#goldHeads=18,4,4,1,4,7,5,13,13,11,9,13,4,13,14,4,18,0,20,18,20,21,20,27,24,24,23,18,
#predictedHeads=18,4,4,1,4,7,5,13,13,11,4,13,4,13,14,13,18,0,20,18,20,21,18,25,23,25,26,18,
(0,1),-6.62938 # DEPENDENCYPART_ARC
(0,4),-7.46129 # DEPENDENCYPART_ARC
(0,9),-8.24201 # DEPENDENCYPART_ARC
(0,11),-4.16008 # DEPENDENCYPART_ARC
(0,13),-3.38123 # DEPENDENCYPART_ARC
(0,17),-1.87287 # DEPENDENCYPART_ARC
(0,18),-3.86657 # DEPENDENCYPART_ARC
(1,2),0.687567 # DEPENDENCYPART_ARC
(1,4),1.8612 # DEPENDENCYPART_ARC
(1,5),1.46401 # DEPENDENCYPART_ARC
(1,6),0.0315506 # DEPENDENCYPART_ARC
(1,7),0.614334 # DEPENDENCYPART_ARC
(1,9),-0.0387261 # DEPENDENCYPART_ARC
(1,11),2.54833 # DEPENDENCYPART_ARC
(1,13),1.83054 # DEPENDENCYPART_ARC
(1,14),-0.394358 # DEPENDENCYPART_ARC
(1,16),0.0877112 # DEPENDENCYPART_ARC
(1,18),0.52119 # DEPENDENCYPART_ARC
(1,20),-0.589761 # DEPENDENCYPART_ARC
(1,28),2.84339 # DEPENDENCYPART_ARC
(3,1),-1.60516 # DEPENDENCYPART_ARC
(3,4),1.01739 # DEPENDENCYPART_ARC
(3,5),0.316179 # DEPENDENCYPART_ARC
(3,6),0.64459 # DEPENDENCYPART_ARC
(4,2),0.861979 # DEPENDENCYPART_ARC
(4,3),3.37905 # DEPENDENCYPART_ARC
(4,5),3.26034 # DEPENDENCYPART_ARC
(4,6),0.0683993 # DEPENDENCYPART_ARC
(4,7),0.83302 # DEPENDENCYPART_ARC
(4,9),-0.0690329 # DEPENDENCYPART_ARC
(4,11),3.00553 # DEPENDENCYPART_ARC
(4,13),2.23253 # DEPENDENCYPART_ARC
(4,14),0.18349 # DEPENDENCYPART_ARC
(4,16),0.111681 # DEPENDENCYPART_ARC
(4,17),-0.389264 # DEPENDENCYPART_ARC
(4,18),0.458378 # DEPENDENCYPART_ARC
(4,20),-1.3748 # DEPENDENCYPART_ARC
(4,23),-0.362586 # DEPENDENCYPART_ARC
(4,28),1.14628 # DEPENDENCYPART_ARC
(5,2),-0.294977 # DEPENDENCYPART_ARC
(5,3),-0.592312 # DEPENDENCYPART_ARC
(5,4),0.449055 # DEPENDENCYPART_ARC
(5,6),0.829067 # DEPENDENCYPART_ARC
(5,7),3.47104 # DEPENDENCYPART_ARC
(5,9),-0.29626 # DEPENDENCYPART_ARC
(5,11),-0.577151 # DEPENDENCYPART_ARC
(5,13),-1.27132 # DEPENDENCYPART_ARC
(6,4),-0.1083 # DEPENDENCYPART_ARC
(6,5),1.09487 # DEPENDENCYPART_ARC
(6,7),0.25439 # DEPENDENCYPART_ARC
(6,9),-1.27012 # DEPENDENCYPART_ARC
(7,2),0.781055 # DEPENDENCYPART_ARC
(7,3),0.587881 # DEPENDENCYPART_ARC
(7,4),-0.890376 # DEPENDENCYPART_ARC
(7,5),1.61888 # DEPENDENCYPART_ARC
(7,6),3.27198 # DEPENDENCYPART_ARC
(7,8),0.0862062 # DEPENDENCYPART_ARC
(7,9),0.373428 # DEPENDENCYPART_ARC
(7,11),2.49314 # DEPENDENCYPART_ARC
(7,13),1.20785 # DEPENDENCYPART_ARC
(7,14),-0.713095 # DEPENDENCYPART_ARC
(7,16),-0.131016 # DEPENDENCYPART_ARC
(7,17),-0.928015 # DEPENDENCYPART_ARC
(7,18),-0.351941 # DEPENDENCYPART_ARC
(7,28),0.959153 # DEPENDENCYPART_ARC
(8,11),0.75362 # DEPENDENCYPART_ARC
(9,5),-1.26625 # DEPENDENCYPART_ARC
(9,8),1.26108 # DEPENDENCYPART_ARC
(9,11),2.21752 # DEPENDENCYPART_ARC
(9,13),0.966127 # DEPENDENCYPART_ARC
(9,14),-0.129515 # DEPENDENCYPART_ARC
(9,16),0.660972 # DEPENDENCYPART_ARC
(9,18),-0.215904 # DEPENDENCYPART_ARC
(9,20),0.0938909 # DEPENDENCYPART_ARC
(9,21),-0.530185 # DEPENDENCYPART_ARC
(10,11),-0.195691 # DEPENDENCYPART_ARC
(11,1),-1.91596 # DEPENDENCYPART_ARC
(11,2),-0.788824 # DEPENDENCYPART_ARC
(11,4),-0.65707 # DEPENDENCYPART_ARC
(11,5),-1.81736 # DEPENDENCYPART_ARC
(11,6),-1.1175 # DEPENDENCYPART_ARC
(11,7),-1.9238 # DEPENDENCYPART_ARC
(11,8),1.59059 # DEPENDENCYPART_ARC
(11,9),-0.333647 # DEPENDENCYPART_ARC
(11,10),3.38103 # DEPENDENCYPART_ARC
(11,12),-0.669904 # DEPENDENCYPART_ARC
(11,13),-0.561457 # DEPENDENCYPART_ARC
(11,14),-1.14532 # DEPENDENCYPART_ARC
(11,16),-0.817425 # DEPENDENCYPART_ARC
(11,18),-3.01578 # DEPENDENCYPART_ARC
(11,20),-3.21193 # DEPENDENCYPART_ARC
(11,23),-2.55292 # DEPENDENCYPART_ARC
(11,28),0.639477 # DEPENDENCYPART_ARC
(13,1),-0.160516 # DEPENDENCYPART_ARC
(13,2),0.216301 # DEPENDENCYPART_ARC
(13,3),-2.29793 # DEPENDENCYPART_ARC
(13,4),1.26571 # DEPENDENCYPART_ARC
(13,5),-0.429955 # DEPENDENCYPART_ARC
(13,6),0.149729 # DEPENDENCYPART_ARC
(13,7),-0.161634 # DEPENDENCYPART_ARC
(13,8),2.3202 # DEPENDENCYPART_ARC
(13,9),0.953802 # DEPENDENCYPART_ARC
(13,10),2.95 # DEPENDENCYPART_ARC
(13,11),2.82678 # DEPENDENCYPART_ARC
(13,12),3.75834 # DEPENDENCYPART_ARC
(13,14),3.89791 # DEPENDENCYPART_ARC
(13,15),2.09309 # DEPENDENCYPART_ARC
(13,16),1.94626 # DEPENDENCYPART_ARC
(13,17),0.358388 # DEPENDENCYPART_ARC
(13,18),-0.102365 # DEPENDENCYPART_ARC
(13,20),0.547044 # DEPENDENCYPART_ARC
(13,21),-0.6059 # DEPENDENCYPART_ARC
(13,23),0.843755 # DEPENDENCYPART_ARC
(13,25),0.0637164 # DEPENDENCYPART_ARC
(13,28),2.69738 # DEPENDENCYPART_ARC
(14,9),-2.56634 # DEPENDENCYPART_ARC
(14,13),-0.17294 # DEPENDENCYPART_ARC
(14,15),4.75939 # DEPENDENCYPART_ARC
(14,16),0.102527 # DEPENDENCYPART_ARC
(14,18),-0.979436 # DEPENDENCYPART_ARC
(15,14),0.212187 # DEPENDENCYPART_ARC
(15,16),-0.273055 # DEPENDENCYPART_ARC
(15,17),-0.599711 # DEPENDENCYPART_ARC
(15,18),-0.277421 # DEPENDENCYPART_ARC
(15,20),-1.36961 # DEPENDENCYPART_ARC
(15,21),-0.620009 # DEPENDENCYPART_ARC
(15,23),-1.29817 # DEPENDENCYPART_ARC
(17,1),-2.77978 # DEPENDENCYPART_ARC
(17,2),-2.50046 # DEPENDENCYPART_ARC
(17,4),-2.19432 # DEPENDENCYPART_ARC
(17,8),-0.944395 # DEPENDENCYPART_ARC
(17,10),-0.827236 # DEPENDENCYPART_ARC
(17,13),-1.97195 # DEPENDENCYPART_ARC
(17,14),-0.602409 # DEPENDENCYPART_ARC
(17,16),-1.56923 # DEPENDENCYPART_ARC
(17,18),0.345518 # DEPENDENCYPART_ARC
(17,20),-0.251801 # DEPENDENCYPART_ARC
(17,23),-0.87488 # DEPENDENCYPART_ARC
(17,28),1.88476 # DEPENDENCYPART_ARC
(18,1),-0.484853 # DEPENDENCYPART_ARC
(18,2),-0.920808 # DEPENDENCYPART_ARC
(18,3),-2.0072 # DEPENDENCYPART_ARC
(18,4),0.323403 # DEPENDENCYPART_ARC
(18,5),-1.71836 # DEPENDENCYPART_ARC
(18,7),-0.772378 # DEPENDENCYPART_ARC
(18,8),0.920182 # DEPENDENCYPART_ARC
(18,9),0.577276 # DEPENDENCYPART_ARC
(18,10),1.36661 # DEPENDENCYPART_ARC
(18,11),0.753829 # DEPENDENCYPART_ARC
(18,13),1.81112 # DEPENDENCYPART_ARC
(18,14),1.44411 # DEPENDENCYPART_ARC
(18,15),0.864077 # DEPENDENCYPART_ARC
(18,16),0.401875 # DEPENDENCYPART_ARC
(18,17),6.54212 # DEPENDENCYPART_ARC
(18,20),3.10168 # DEPENDENCYPART_ARC
(18,21),0.912522 # DEPENDENCYPART_ARC
(18,22),1.13201 # DEPENDENCYPART_ARC
(18,23),1.86453 # DEPENDENCYPART_ARC
(18,25),0.718714 # DEPENDENCYPART_ARC
(18,26),-0.0727076 # DEPENDENCYPART_ARC
(18,27),0.563338 # DEPENDENCYPART_ARC
(18,28),3.9255 # DEPENDENCYPART_ARC
(19,20),2.90651 # DEPENDENCYPART_ARC
(19,21),1.8477 # DEPENDENCYPART_ARC
(19,23),-0.972281 # DEPENDENCYPART_ARC
(20,2),-1.69731 # DEPENDENCYPART_ARC
(20,5),-0.200373 # DEPENDENCYPART_ARC
(20,14),-0.748959 # DEPENDENCYPART_ARC
(20,19),3.4977 # DEPENDENCYPART_ARC
(20,21),3.54756 # DEPENDENCYPART_ARC
(20,22),0.691724 # DEPENDENCYPART_ARC
(20,23),1.66594 # DEPENDENCYPART_ARC
(20,24),-1.75624 # DEPENDENCYPART_ARC
(20,25),0.788214 # DEPENDENCYPART_ARC
(20,26),1.27764 # DEPENDENCYPART_ARC
(20,27),0.126716 # DEPENDENCYPART_ARC
(20,28),0.888181 # DEPENDENCYPART_ARC
(21,19),-0.757737 # DEPENDENCYPART_ARC
(21,22),3.7887 # DEPENDENCYPART_ARC
(21,23),-0.349121 # DEPENDENCYPART_ARC
(21,26),-0.408407 # DEPENDENCYPART_ARC
(22,19),1.12159 # DEPENDENCYPART_ARC
(22,21),1.23783 # DEPENDENCYPART_ARC
(22,23),1.16694 # DEPENDENCYPART_ARC
(22,24),-0.920675 # DEPENDENCYPART_ARC
(22,25),0.0219529 # DEPENDENCYPART_ARC
(22,26),1.34801 # DEPENDENCYPART_ARC
(22,27),-0.352022 # DEPENDENCYPART_ARC
(22,28),-0.521904 # DEPENDENCYPART_ARC
(23,21),-0.0262543 # DEPENDENCYPART_ARC
(23,24),-1.20544 # DEPENDENCYPART_ARC
(23,25),4.50096 # DEPENDENCYPART_ARC
(23,26),-0.301524 # DEPENDENCYPART_ARC
