# _root_ ' Afortunadament ' , ha afegit , ' José_Luís_Rodríguez_Zapatero també hi està d' acord ' .
#goldHeads=12,12,6,6,6,12,6,6,12,12,14,0,12,13,12,12,
#predictedHeads=6,6,2,2,6,0,6,12,12,12,12,6,12,13,12,6,
(0,2),-6.46334 # DEPENDENCYPART_ARC
(0,5),-1.32682 # DEPENDENCYPART_ARC
(0,6),-1.61221 # DEPENDENCYPART_ARC
(0,9),-5.58457 # DEPENDENCYPART_ARC
(0,12),-2.58796 # DEPENDENCYPART_ARC
(2,1),0.97939 # DEPENDENCYPART_ARC
(2,3),2.51152 # DEPENDENCYPART_ARC
(2,4),1.34665 # DEPENDENCYPART_ARC
(2,5),0.216254 # DEPENDENCYPART_ARC
(2,6),-0.568837 # DEPENDENCYPART_ARC
(2,7),0.583595 # DEPENDENCYPART_ARC
(2,9),-1.71891 # DEPENDENCYPART_ARC
(2,10),-1.40651 # DEPENDENCYPART_ARC
(2,12),-1.40994 # DEPENDENCYPART_ARC
(2,13),-1.65396 # DEPENDENCYPART_ARC
(2,16),0.587589 # DEPENDENCYPART_ARC
(5,1),-0.191643 # DEPENDENCYPART_ARC
(5,2),-0.801431 # DEPENDENCYPART_ARC
(5,3),-1.14747 # DEPENDENCYPART_ARC
(5,4),-1.91998 # DEPENDENCYPART_ARC
(5,6),0.300904 # DEPENDENCYPART_ARC
(5,7),0.229463 # DEPENDENCYPART_ARC
(5,8),-0.538015 # DEPENDENCYPART_ARC
(5,10),-0.862635 # DEPENDENCYPART_ARC
(5,12),-1.45066 # DEPENDENCYPART_ARC
(5,15),-0.424809 # DEPENDENCYPART_ARC
(5,16),1.76776 # DEPENDENCYPART_ARC
(6,1),1.7066 # DEPENDENCYPART_ARC
(6,2),1.11758 # DEPENDENCYPART_ARC
(6,3),0.972281 # DEPENDENCYPART_ARC
(6,4),0.751625 # DEPENDENCYPART_ARC
(6,5),6.51765 # DEPENDENCYPART_ARC
(6,7),1.56527 # DEPENDENCYPART_ARC
(6,8),0.641314 # DEPENDENCYPART_ARC
(6,9),-0.466121 # DEPENDENCYPART_ARC
(6,10),0.545987 # DEPENDENCYPART_ARC
(6,11),-1.14711 # DEPENDENCYPART_ARC
(6,12),0.742043 # DEPENDENCYPART_ARC
(6,13),-1.23607 # DEPENDENCYPART_ARC
(6,15),0.0164676 # DEPENDENCYPART_ARC
(6,16),3.42126 # DEPENDENCYPART_ARC
(7,4),-1.5913 # DEPENDENCYPART_ARC
(9,6),-1.53804 # DEPENDENCYPART_ARC
(9,7),0.688778 # DEPENDENCYPART_ARC
(9,8),2.35624 # DEPENDENCYPART_ARC
(9,10),0.515606 # DEPENDENCYPART_ARC
(9,11),0.37489 # DEPENDENCYPART_ARC
(9,12),0.864052 # DEPENDENCYPART_ARC
(9,13),-0.623942 # DEPENDENCYPART_ARC
(9,16),0.0457513 # DEPENDENCYPART_ARC
(10,4),-2.23968 # DEPENDENCYPART_ARC
(10,7),-0.826097 # DEPENDENCYPART_ARC
(10,8),-1.48093 # DEPENDENCYPART_ARC
(10,11),-1.10206 # DEPENDENCYPART_ARC
(10,12),-0.949618 # DEPENDENCYPART_ARC
(10,13),-2.9966 # DEPENDENCYPART_ARC
(10,16),-2.7936 # DEPENDENCYPART_ARC
(11,10),0.145499 # DEPENDENCYPART_ARC
(11,12),-0.643754 # DEPENDENCYPART_ARC
(11,13),-1.15203 # DEPENDENCYPART_ARC
(11,16),-0.524777 # DEPENDENCYPART_ARC
(12,1),0.420874 # DEPENDENCYPART_ARC
(12,2),0.129854 # DEPENDENCYPART_ARC
(12,3),-0.359728 # DEPENDENCYPART_ARC
(12,4),-1.02369 # DEPENDENCYPART_ARC
(12,5),1.87939 # DEPENDENCYPART_ARC
(12,6),-0.0859435 # DEPENDENCYPART_ARC
(12,7),0.546688 # DEPENDENCYPART_ARC
(12,8),2.84241 # DEPENDENCYPART_ARC
(12,9),1.28239 # DEPENDENCYPART_ARC
(12,10),2.84142 # DEPENDENCYPART_ARC
(12,11),4.0579 # DEPENDENCYPART_ARC
(12,13),2.97898 # DEPENDENCYPART_ARC
(12,14),2.79367 # DEPENDENCYPART_ARC
(12,15),2.5234 # DEPENDENCYPART_ARC
(12,16),3.42006 # DEPENDENCYPART_ARC
(13,1),-0.604098 # DEPENDENCYPART_ARC
(13,3),-1.05511 # DEPENDENCYPART_ARC
(13,6),-1.99162 # DEPENDENCYPART_ARC
(13,8),-1.05502 # DEPENDENCYPART_ARC
(13,10),-0.271602 # DEPENDENCYPART_ARC
(13,12),1.1565 # DEPENDENCYPART_ARC
(13,14),4.94671 # DEPENDENCYPART_ARC
(13,15),0.245283 # DEPENDENCYPART_ARC
(13,16),-0.434638 # DEPENDENCYPART_ARC
(14,2),-2.15831 # DEPENDENCYPART_ARC
(14,4),-1.79409 # DEPENDENCYPART_ARC
(14,6),-4.10473 # DEPENDENCYPART_ARC
(14,7),-1.39479 # DEPENDENCYPART_ARC
(14,10),-0.980555 # DEPENDENCYPART_ARC
(14,11),-0.258481 # DEPENDENCYPART_ARC
(14,12),-1.13335 # DEPENDENCYPART_ARC
(14,13),0.892944 # DEPENDENCYPART_ARC
(14,15),-0.149061 # DEPENDENCYPART_ARC
(14,16),-0.766567 # DEPENDENCYPART_ARC
