# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,20,21,21,4,21,21,23,24,27,25,4,
(0,2),-3.11766 # DEPENDENCYPART_ARC
(0,3),-2.98024 # DEPENDENCYPART_ARC
(0,4),-3.37219 # DEPENDENCYPART_ARC
(0,18),-4.19243 # DEPENDENCYPART_ARC
(0,20),-4.29689 # DEPENDENCYPART_ARC
(0,21),-3.91874 # DEPENDENCYPART_ARC
(1,2),0.130405 # DEPENDENCYPART_ARC
(1,3),-0.809219 # DEPENDENCYPART_ARC
(1,7),-0.826521 # DEPENDENCYPART_ARC
(1,9),-1.3416 # DEPENDENCYPART_ARC
(2,1),-0.594582 # DEPENDENCYPART_ARC
(2,3),-0.883165 # DEPENDENCYPART_ARC
(2,4),-1.62633 # DEPENDENCYPART_ARC
(2,5),-0.418701 # DEPENDENCYPART_ARC
(2,9),-1.77752 # DEPENDENCYPART_ARC
(2,28),0.00987594 # DEPENDENCYPART_ARC
(3,1),0.964516 # DEPENDENCYPART_ARC
(3,2),3.12084 # DEPENDENCYPART_ARC
(3,4),1.13301 # DEPENDENCYPART_ARC
(3,5),0.730071 # DEPENDENCYPART_ARC
(3,6),-0.897145 # DEPENDENCYPART_ARC
(3,7),-0.463327 # DEPENDENCYPART_ARC
(3,9),-0.38034 # DEPENDENCYPART_ARC
(3,10),-1.05219 # DEPENDENCYPART_ARC
(3,11),-0.343711 # DEPENDENCYPART_ARC
(3,13),-1.75199 # DEPENDENCYPART_ARC
(3,16),0.784263 # DEPENDENCYPART_ARC
(3,17),-2.0932 # DEPENDENCYPART_ARC
(3,18),-1.47843 # DEPENDENCYPART_ARC
(3,19),-0.939598 # DEPENDENCYPART_ARC
(3,20),-0.665806 # DEPENDENCYPART_ARC
(3,21),-1.69596 # DEPENDENCYPART_ARC
(3,28),2.6509 # DEPENDENCYPART_ARC
(4,1),2.5022 # DEPENDENCYPART_ARC
(4,2),5.59633 # DEPENDENCYPART_ARC
(4,3),4.80917 # DEPENDENCYPART_ARC
(4,5),3.41134 # DEPENDENCYPART_ARC
(4,6),2.04567 # DEPENDENCYPART_ARC
(4,7),0.473888 # DEPENDENCYPART_ARC
(4,9),1.48602 # DEPENDENCYPART_ARC
(4,10),-0.068431 # DEPENDENCYPART_ARC
(4,11),1.30903 # DEPENDENCYPART_ARC
(4,13),0.0460214 # DEPENDENCYPART_ARC
(4,14),-0.0598358 # DEPENDENCYPART_ARC
(4,15),0.192059 # DEPENDENCYPART_ARC
(4,16),1.98672 # DEPENDENCYPART_ARC
(4,17),-0.282731 # DEPENDENCYPART_ARC
(4,18),-0.563584 # DEPENDENCYPART_ARC
(4,19),0.491431 # DEPENDENCYPART_ARC
(4,20),-1.02612 # DEPENDENCYPART_ARC
(4,21),-0.141231 # DEPENDENCYPART_ARC
(4,22),-1.4478 # DEPENDENCYPART_ARC
(4,23),-0.013068 # DEPENDENCYPART_ARC
(4,24),-0.624801 # DEPENDENCYPART_ARC
(4,25),-2.91546 # DEPENDENCYPART_ARC
(4,27),1.04059 # DEPENDENCYPART_ARC
(4,28),5.51407 # DEPENDENCYPART_ARC
(5,3),-1.7504 # DEPENDENCYPART_ARC
(5,4),-1.98448 # DEPENDENCYPART_ARC
(5,6),4.554 # DEPENDENCYPART_ARC
(5,7),0.053421 # DEPENDENCYPART_ARC
(5,9),-0.768134 # DEPENDENCYPART_ARC
(5,10),-0.0388397 # DEPENDENCYPART_ARC
(5,11),-1.12957 # DEPENDENCYPART_ARC
(5,14),-1.64445 # DEPENDENCYPART_ARC
(5,23),0.144309 # DEPENDENCYPART_ARC
(6,5),-0.239101 # DEPENDENCYPART_ARC
(6,7),0.761418 # DEPENDENCYPART_ARC
(6,9),-0.415305 # DEPENDENCYPART_ARC
(6,10),0.130196 # DEPENDENCYPART_ARC
(6,11),0.0160813 # DEPENDENCYPART_ARC
(6,13),-0.547953 # DEPENDENCYPART_ARC
(6,14),0.238846 # DEPENDENCYPART_ARC
(6,15),0.0813261 # DEPENDENCYPART_ARC
(6,16),0.466363 # DEPENDENCYPART_ARC
(6,28),0.260233 # DEPENDENCYPART_ARC
(8,5),-1.44438 # DEPENDENCYPART_ARC
(8,9),0.546621 # DEPENDENCYPART_ARC
(8,12),-1.44228 # DEPENDENCYPART_ARC
(9,5),0.394574 # DEPENDENCYPART_ARC
(9,7),1.93418 # DEPENDENCYPART_ARC
(9,8),3.29828 # DEPENDENCYPART_ARC
(9,10),1.07021 # DEPENDENCYPART_ARC
(9,11),-0.000355175 # DEPENDENCYPART_ARC
(9,13),0.216853 # DEPENDENCYPART_ARC
(9,14),-0.62193 # DEPENDENCYPART_ARC
(9,16),-0.0499424 # DEPENDENCYPART_ARC
(9,18),-1.34053 # DEPENDENCYPART_ARC
(9,19),-1.22815 # DEPENDENCYPART_ARC
