# _root_ L' alcalde de Cazorla , Francisco_Navarrete , es va mostrar convençut que el foc havia estat intencionat .
#goldHeads=2,10,2,3,6,2,6,10,10,0,10,16,14,16,16,11,16,10,
#predictedHeads=2,10,2,3,6,2,6,10,10,0,10,16,14,16,16,11,16,10,
(0,2),-7.67151 # DEPENDENCYPART_ARC
(0,6),-7.11454 # DEPENDENCYPART_ARC
(0,9),-4.09581 # DEPENDENCYPART_ARC
(0,10),-3.47506 # DEPENDENCYPART_ARC
(0,15),-3.51864 # DEPENDENCYPART_ARC
(0,16),-4.7965 # DEPENDENCYPART_ARC
(1,2),0.772559 # DEPENDENCYPART_ARC
(1,3),0.430484 # DEPENDENCYPART_ARC
(2,1),3.38908 # DEPENDENCYPART_ARC
(2,3),3.69986 # DEPENDENCYPART_ARC
(2,4),1.80063 # DEPENDENCYPART_ARC
(2,5),1.06213 # DEPENDENCYPART_ARC
(2,6),2.33819 # DEPENDENCYPART_ARC
(2,7),0.303843 # DEPENDENCYPART_ARC
(2,9),0.918492 # DEPENDENCYPART_ARC
(2,10),0.356787 # DEPENDENCYPART_ARC
(2,11),-0.140471 # DEPENDENCYPART_ARC
(2,12),-0.930162 # DEPENDENCYPART_ARC
(2,14),-0.989198 # DEPENDENCYPART_ARC
(2,15),-2.94708 # DEPENDENCYPART_ARC
(2,16),-2.64903 # DEPENDENCYPART_ARC
(2,17),-0.155098 # DEPENDENCYPART_ARC
(2,18),1.07862 # DEPENDENCYPART_ARC
(3,1),-0.73823 # DEPENDENCYPART_ARC
(3,4),3.28913 # DEPENDENCYPART_ARC
(3,5),-0.115384 # DEPENDENCYPART_ARC
(3,6),-0.186518 # DEPENDENCYPART_ARC
(3,7),-0.824918 # DEPENDENCYPART_ARC
(3,10),-1.75224 # DEPENDENCYPART_ARC
(3,16),-4.33129 # DEPENDENCYPART_ARC
(4,1),-0.628155 # DEPENDENCYPART_ARC
(4,5),1.45116 # DEPENDENCYPART_ARC
(4,6),1.31116 # DEPENDENCYPART_ARC
(4,7),-0.554662 # DEPENDENCYPART_ARC
(4,9),0.0292791 # DEPENDENCYPART_ARC
(4,10),-0.247245 # DEPENDENCYPART_ARC
(4,11),-1.69579 # DEPENDENCYPART_ARC
(4,12),-2.03581 # DEPENDENCYPART_ARC
(4,14),-2.39576 # DEPENDENCYPART_ARC
(4,17),-1.58661 # DEPENDENCYPART_ARC
(4,18),-0.155982 # DEPENDENCYPART_ARC
(6,2),-1.22985 # DEPENDENCYPART_ARC
(6,3),-0.258619 # DEPENDENCYPART_ARC
(6,4),1.11693 # DEPENDENCYPART_ARC
(6,5),2.65767 # DEPENDENCYPART_ARC
(6,7),2.66143 # DEPENDENCYPART_ARC
(6,9),0.768543 # DEPENDENCYPART_ARC
(6,10),0.308996 # DEPENDENCYPART_ARC
(6,11),-1.02439 # DEPENDENCYPART_ARC
(6,12),-1.90485 # DEPENDENCYPART_ARC
(6,17),-1.23163 # DEPENDENCYPART_ARC
(6,18),0.895287 # DEPENDENCYPART_ARC
(7,5),-1.05942 # DEPENDENCYPART_ARC
(9,2),-0.981931 # DEPENDENCYPART_ARC
(9,5),-1.3024 # DEPENDENCYPART_ARC
(9,6),-1.64917 # DEPENDENCYPART_ARC
(9,7),0.661024 # DEPENDENCYPART_ARC
(9,8),0.203 # DEPENDENCYPART_ARC
(9,10),0.587082 # DEPENDENCYPART_ARC
(9,11),0.362481 # DEPENDENCYPART_ARC
(9,14),-2.34183 # DEPENDENCYPART_ARC
(9,15),-2.34381 # DEPENDENCYPART_ARC
(9,16),-2.76652 # DEPENDENCYPART_ARC
(9,18),0.994134 # DEPENDENCYPART_ARC
(10,1),-1.59023 # DEPENDENCYPART_ARC
(10,2),1.4793 # DEPENDENCYPART_ARC
(10,3),-1.66608 # DEPENDENCYPART_ARC
(10,4),0.21583 # DEPENDENCYPART_ARC
(10,5),-0.939835 # DEPENDENCYPART_ARC
(10,6),0.488793 # DEPENDENCYPART_ARC
(10,7),0.938277 # DEPENDENCYPART_ARC
(10,8),2.49519 # DEPENDENCYPART_ARC
(10,9),5.18796 # DEPENDENCYPART_ARC
(10,11),3.21014 # DEPENDENCYPART_ARC
