# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,2,7,5,9,0,9,12,10,12,22,14,15,16,19,17,9,22,4,24,22,22,27,25,9,
(0,2),-7.71116 # DEPENDENCYPART_ARC
(0,9),-2.81925 # DEPENDENCYPART_ARC
(0,21),-3.44625 # DEPENDENCYPART_ARC
(0,22),-4.26966 # DEPENDENCYPART_ARC
(1,2),1.58701 # DEPENDENCYPART_ARC
(1,3),0.656226 # DEPENDENCYPART_ARC
(2,1),3.78674 # DEPENDENCYPART_ARC
(2,3),3.61509 # DEPENDENCYPART_ARC
(2,4),0.77899 # DEPENDENCYPART_ARC
(2,5),2.24544 # DEPENDENCYPART_ARC
(2,7),0.721489 # DEPENDENCYPART_ARC
(2,9),2.61203 # DEPENDENCYPART_ARC
(2,10),-0.210676 # DEPENDENCYPART_ARC
(2,12),-0.406831 # DEPENDENCYPART_ARC
(2,13),-0.544555 # DEPENDENCYPART_ARC
(2,15),-0.381441 # DEPENDENCYPART_ARC
(2,17),-1.59981 # DEPENDENCYPART_ARC
(2,20),-0.307443 # DEPENDENCYPART_ARC
(2,21),-1.04706 # DEPENDENCYPART_ARC
(2,22),-0.417789 # DEPENDENCYPART_ARC
(2,24),-1.09808 # DEPENDENCYPART_ARC
(2,25),-0.973141 # DEPENDENCYPART_ARC
(2,28),1.04124 # DEPENDENCYPART_ARC
(3,1),-0.248842 # DEPENDENCYPART_ARC
(3,4),2.99317 # DEPENDENCYPART_ARC
(3,5),0.227088 # DEPENDENCYPART_ARC
(3,7),-0.569943 # DEPENDENCYPART_ARC
(3,12),-3.26551 # DEPENDENCYPART_ARC
(3,13),-1.1426 # DEPENDENCYPART_ARC
(3,15),-2.31452 # DEPENDENCYPART_ARC
(4,1),-0.172079 # DEPENDENCYPART_ARC
(4,5),2.17717 # DEPENDENCYPART_ARC
(4,7),0.310504 # DEPENDENCYPART_ARC
(4,9),1.2162 # DEPENDENCYPART_ARC
(4,10),-1.09058 # DEPENDENCYPART_ARC
(4,12),-1.33103 # DEPENDENCYPART_ARC
(4,15),-1.02646 # DEPENDENCYPART_ARC
(4,22),-0.255034 # DEPENDENCYPART_ARC
(4,28),0.0365657 # DEPENDENCYPART_ARC
(5,3),-0.241943 # DEPENDENCYPART_ARC
(5,6),-0.316763 # DEPENDENCYPART_ARC
(5,7),3.82835 # DEPENDENCYPART_ARC
(5,9),0.829349 # DEPENDENCYPART_ARC
(5,10),-1.50213 # DEPENDENCYPART_ARC
(5,12),-1.42754 # DEPENDENCYPART_ARC
(5,13),-1.02773 # DEPENDENCYPART_ARC
(6,3),-1.54622 # DEPENDENCYPART_ARC
(6,5),-0.168907 # DEPENDENCYPART_ARC
(7,3),-1.16674 # DEPENDENCYPART_ARC
(7,5),-0.0958187 # DEPENDENCYPART_ARC
(7,6),2.45306 # DEPENDENCYPART_ARC
