# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,8,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,11,
(0,2),-7.5113 # DEPENDENCYPART_ARC
(0,10),-5.56451 # DEPENDENCYPART_ARC
(0,11),-3.9356 # DEPENDENCYPART_ARC
(0,15),-2.47063 # DEPENDENCYPART_ARC
(1,2),1.55546 # DEPENDENCYPART_ARC
(1,3),0.538415 # DEPENDENCYPART_ARC
(2,1),3.56014 # DEPENDENCYPART_ARC
(2,3),3.49042 # DEPENDENCYPART_ARC
(2,4),0.961317 # DEPENDENCYPART_ARC
(2,5),1.92568 # DEPENDENCYPART_ARC
(2,6),0.281402 # DEPENDENCYPART_ARC
(2,7),-0.0438137 # DEPENDENCYPART_ARC
(2,8),0.387003 # DEPENDENCYPART_ARC
(2,10),0.0689473 # DEPENDENCYPART_ARC
(2,11),0.618633 # DEPENDENCYPART_ARC
(2,13),-0.192778 # DEPENDENCYPART_ARC
(2,14),-0.381683 # DEPENDENCYPART_ARC
(2,15),-1.97878 # DEPENDENCYPART_ARC
(2,17),-0.345911 # DEPENDENCYPART_ARC
(2,18),-2.01045 # DEPENDENCYPART_ARC
(2,20),-2.6587 # DEPENDENCYPART_ARC
(2,29),1.12735 # DEPENDENCYPART_ARC
(3,1),-0.109135 # DEPENDENCYPART_ARC
(3,4),3.82304 # DEPENDENCYPART_ARC
(3,5),-0.112062 # DEPENDENCYPART_ARC
(3,6),1.62025 # DEPENDENCYPART_ARC
(3,7),1.46329 # DEPENDENCYPART_ARC
(3,8),0.444999 # DEPENDENCYPART_ARC
(3,24),-2.24418 # DEPENDENCYPART_ARC
(3,27),-1.82912 # DEPENDENCYPART_ARC
(4,1),0.957387 # DEPENDENCYPART_ARC
(4,5),2.17088 # DEPENDENCYPART_ARC
(4,6),-0.999495 # DEPENDENCYPART_ARC
(4,7),-0.908111 # DEPENDENCYPART_ARC
(4,8),-0.295219 # DEPENDENCYPART_ARC
(4,10),-1.74056 # DEPENDENCYPART_ARC
(4,11),-1.50987 # DEPENDENCYPART_ARC
(4,13),-1.47489 # DEPENDENCYPART_ARC
(4,15),-4.22412 # DEPENDENCYPART_ARC
(5,1),-0.795819 # DEPENDENCYPART_ARC
(5,3),0.190743 # DEPENDENCYPART_ARC
(5,6),1.16382 # DEPENDENCYPART_ARC
(5,7),0.709717 # DEPENDENCYPART_ARC
(5,8),-1.00873 # DEPENDENCYPART_ARC
(5,10),-0.274476 # DEPENDENCYPART_ARC
(5,13),-1.99454 # DEPENDENCYPART_ARC
(5,14),-1.11425 # DEPENDENCYPART_ARC
(5,15),-2.4558 # DEPENDENCYPART_ARC
(7,1),-1.64805 # DEPENDENCYPART_ARC
(7,5),-0.390024 # DEPENDENCYPART_ARC
(7,6),0.194508 # DEPENDENCYPART_ARC
(7,8),4.12585 # DEPENDENCYPART_ARC
(7,9),-0.226379 # DEPENDENCYPART_ARC
(7,10),-0.600544 # DEPENDENCYPART_ARC
(7,11),-0.720292 # DEPENDENCYPART_ARC
(7,14),-1.16282 # DEPENDENCYPART_ARC
(7,15),-3.78939 # DEPENDENCYPART_ARC
(7,27),-1.51443 # DEPENDENCYPART_ARC
(8,2),-1.33012 # DEPENDENCYPART_ARC
(8,5),0.0469727 # DEPENDENCYPART_ARC
(8,6),0.0762394 # DEPENDENCYPART_ARC
(8,7),1.03252 # DEPENDENCYPART_ARC
(8,9),-1.17386 # DEPENDENCYPART_ARC
(8,10),0.840133 # DEPENDENCYPART_ARC
(8,11),1.1821 # DEPENDENCYPART_ARC
(8,13),-0.634653 # DEPENDENCYPART_ARC
(8,14),-0.59928 # DEPENDENCYPART_ARC
(8,15),-1.09548 # DEPENDENCYPART_ARC
(8,17),-1.48527 # DEPENDENCYPART_ARC
(8,18),-0.891775 # DEPENDENCYPART_ARC
(8,29),0.295947 # DEPENDENCYPART_ARC
(9,7),-0.506075 # DEPENDENCYPART_ARC
(10,2),-4.18277 # DEPENDENCYPART_ARC
(10,6),-3.83498 # DEPENDENCYPART_ARC
(10,7),-2.36152 # DEPENDENCYPART_ARC
(10,9),0.636873 # DEPENDENCYPART_ARC
(10,11),-0.0289787 # DEPENDENCYPART_ARC
(10,13),-1.37031 # DEPENDENCYPART_ARC
(10,14),-1.74734 # DEPENDENCYPART_ARC
(10,15),-2.20218 # DEPENDENCYPART_ARC
(10,17),-3.13565 # DEPENDENCYPART_ARC
(10,29),-0.589728 # DEPENDENCYPART_ARC
(11,1),-2.24391 # DEPENDENCYPART_ARC
(11,2),0.19146 # DEPENDENCYPART_ARC
(11,3),-1.4392 # DEPENDENCYPART_ARC
(11,4),-0.284822 # DEPENDENCYPART_ARC
(11,5),-0.606496 # DEPENDENCYPART_ARC
(11,6),-0.663784 # DEPENDENCYPART_ARC
(11,7),0.548497 # DEPENDENCYPART_ARC
(11,8),0.35902 # DEPENDENCYPART_ARC
(11,9),3.43168 # DEPENDENCYPART_ARC
(11,10),5.55873 # DEPENDENCYPART_ARC
(11,13),3.36702 # DEPENDENCYPART_ARC
(11,14),1.4128 # DEPENDENCYPART_ARC
(11,15),1.04662 # DEPENDENCYPART_ARC
(11,17),0.397387 # DEPENDENCYPART_ARC
(11,18),-0.149911 # DEPENDENCYPART_ARC
(11,20),-0.260586 # DEPENDENCYPART_ARC
(11,22),-0.762072 # DEPENDENCYPART_ARC
(11,23),-0.983632 # DEPENDENCYPART_ARC
(11,25),-1.13574 # DEPENDENCYPART_ARC
(11,26),-1.18815 # DEPENDENCYPART_ARC
(11,29),4.57592 # DEPENDENCYPART_ARC
(13,2),-2.60767 # DEPENDENCYPART_ARC
(13,5),-2.59607 # DEPENDENCYPART_ARC
(13,6),-0.931045 # DEPENDENCYPART_ARC
(13,7),-0.642769 # DEPENDENCYPART_ARC
(13,10),-0.175312 # DEPENDENCYPART_ARC
(13,11),-0.418343 # DEPENDENCYPART_ARC
(13,12),3.80697 # DEPENDENCYPART_ARC
(13,14),-0.369446 # DEPENDENCYPART_ARC
(13,15),0.751626 # DEPENDENCYPART_ARC
(13,17),-1.49448 # DEPENDENCYPART_ARC
(13,18),-0.582026 # DEPENDENCYPART_ARC
(13,20),-1.12875 # DEPENDENCYPART_ARC
(13,29),1.09288 # DEPENDENCYPART_ARC
(14,13),-2.13043 # DEPENDENCYPART_ARC
(15,1),-3.62585 # DEPENDENCYPART_ARC
(15,2),-0.799719 # DEPENDENCYPART_ARC
(15,4),-1.08385 # DEPENDENCYPART_ARC
(15,5),-1.86014 # DEPENDENCYPART_ARC
(15,6),-1.41223 # DEPENDENCYPART_ARC
(15,7),-0.643788 # DEPENDENCYPART_ARC
(15,8),-0.7071 # DEPENDENCYPART_ARC
(15,9),1.71206 # DEPENDENCYPART_ARC
(15,10),1.94033 # DEPENDENCYPART_ARC
(15,11),-0.397725 # DEPENDENCYPART_ARC
(15,12),-0.142686 # DEPENDENCYPART_ARC
(15,13),2.13158 # DEPENDENCYPART_ARC
(15,14),0.718435 # DEPENDENCYPART_ARC
(15,17),3.07876 # DEPENDENCYPART_ARC
(15,18),0.972087 # DEPENDENCYPART_ARC
(15,19),0.759956 # DEPENDENCYPART_ARC
(15,20),0.571553 # DEPENDENCYPART_ARC
(15,21),0.858546 # DEPENDENCYPART_ARC
(15,22),0.713404 # DEPENDENCYPART_ARC
(15,23),-0.4169 # DEPENDENCYPART_ARC
(15,24),-1.15207 # DEPENDENCYPART_ARC
(15,25),-0.589271 # DEPENDENCYPART_ARC
(15,26),0.759258 # DEPENDENCYPART_ARC
(15,28),-0.825309 # DEPENDENCYPART_ARC
(15,29),4.51413 # DEPENDENCYPART_ARC
(16,17),2.17868 # DEPENDENCYPART_ARC
(16,18),0.390376 # DEPENDENCYPART_ARC
(17,2),-2.25906 # DEPENDENCYPART_ARC
(17,11),-2.6089 # DEPENDENCYPART_ARC
(17,13),-1.3421 # DEPENDENCYPART_ARC
(17,14),-0.107298 # DEPENDENCYPART_ARC
(17,15),0.013599 # DEPENDENCYPART_ARC
(17,16),3.6682 # DEPENDENCYPART_ARC
(17,18),3.23364 # DEPENDENCYPART_ARC
(17,19),0.601103 # DEPENDENCYPART_ARC
(17,20),1.75683 # DEPENDENCYPART_ARC
(17,21),0.278427 # DEPENDENCYPART_ARC
(17,22),-0.402081 # DEPENDENCYPART_ARC
(17,23),-0.485815 # DEPENDENCYPART_ARC
(17,24),-0.586728 # DEPENDENCYPART_ARC
(17,25),-0.41176 # DEPENDENCYPART_ARC
(17,26),-0.593713 # DEPENDENCYPART_ARC
(17,27),-2.14973 # DEPENDENCYPART_ARC
(17,28),-0.393453 # DEPENDENCYPART_ARC
(17,29),0.968469 # DEPENDENCYPART_ARC
(18,14),-1.29817 # DEPENDENCYPART_ARC
(18,16),-0.280896 # DEPENDENCYPART_ARC
(18,19),3.98462 # DEPENDENCYPART_ARC
(18,20),0.480664 # DEPENDENCYPART_ARC
(18,21),1.95412 # DEPENDENCYPART_ARC
(18,22),0.0414457 # DEPENDENCYPART_ARC
(18,23),-0.704932 # DEPENDENCYPART_ARC
(18,24),0.466468 # DEPENDENCYPART_ARC
(18,26),1.41989 # DEPENDENCYPART_ARC
(18,27),1.50686 # DEPENDENCYPART_ARC
(19,2),-2.58353 # DEPENDENCYPART_ARC
(19,16),1.46154 # DEPENDENCYPART_ARC
(19,18),1.05206 # DEPENDENCYPART_ARC
(19,20),3.37594 # DEPENDENCYPART_ARC
(19,21),1.34251 # DEPENDENCYPART_ARC
(19,22),-0.0364133 # DEPENDENCYPART_ARC
(19,23),-0.252391 # DEPENDENCYPART_ARC
(19,24),0.681691 # DEPENDENCYPART_ARC
(19,25),0.452065 # DEPENDENCYPART_ARC
(19,27),-0.590187 # DEPENDENCYPART_ARC
(19,28),0.530264 # DEPENDENCYPART_ARC
(19,29),0.558173 # DEPENDENCYPART_ARC
(20,18),-0.0910539 # DEPENDENCYPART_ARC
(20,21),4.37537 # DEPENDENCYPART_ARC
(20,22),0.247153 # DEPENDENCYPART_ARC
(20,23),-0.482977 # DEPENDENCYPART_ARC
(20,24),0.584403 # DEPENDENCYPART_ARC
(20,25),0.0463261 # DEPENDENCYPART_ARC
(20,26),1.40675 # DEPENDENCYPART_ARC
(20,27),1.55332 # DEPENDENCYPART_ARC
(21,16),0.588638 # DEPENDENCYPART_ARC
(21,18),-0.273594 # DEPENDENCYPART_ARC
(21,22),-0.511912 # DEPENDENCYPART_ARC
(21,23),-0.841472 # DEPENDENCYPART_ARC
(21,24),0.382126 # DEPENDENCYPART_ARC
(21,25),0.189378 # DEPENDENCYPART_ARC
(21,26),-0.548311 # DEPENDENCYPART_ARC
(21,27),-1.30927 # DEPENDENCYPART_ARC
(21,28),-0.0155257 # DEPENDENCYPART_ARC
(23,20),-1.16983 # DEPENDENCYPART_ARC
(23,21),-1.5797 # DEPENDENCYPART_ARC
(23,22),0.602699 # DEPENDENCYPART_ARC
(23,24),1.00567 # DEPENDENCYPART_ARC
(23,25),0.0323026 # DEPENDENCYPART_ARC
(23,26),0.458768 # DEPENDENCYPART_ARC
(23,27),-0.0151977 # DEPENDENCYPART_ARC
(23,28),-0.443557 # DEPENDENCYPART_ARC
(23,29),0.179631 # DEPENDENCYPART_ARC
(24,11),-2.29372 # DEPENDENCYPART_ARC
(24,20),-0.275565 # DEPENDENCYPART_ARC
(24,22),1.67699 # DEPENDENCYPART_ARC
(24,23),1.91815 # DEPENDENCYPART_ARC
(24,25),4.10216 # DEPENDENCYPART_ARC
(24,26),1.92332 # DEPENDENCYPART_ARC
(24,27),2.24549 # DEPENDENCYPART_ARC
(24,28),0.708017 # DEPENDENCYPART_ARC
(24,29),0.61717 # DEPENDENCYPART_ARC
(25,20),-0.912173 # DEPENDENCYPART_ARC
(25,22),-0.785014 # DEPENDENCYPART_ARC
(25,23),0.229381 # DEPENDENCYPART_ARC
(25,24),0.745613 # DEPENDENCYPART_ARC
(25,26),-0.350745 # DEPENDENCYPART_ARC
(25,27),-0.153943 # DEPENDENCYPART_ARC
(25,28),0.333475 # DEPENDENCYPART_ARC
(27,23),0.220482 # DEPENDENCYPART_ARC
(27,26),0.700398 # DEPENDENCYPART_ARC
(27,28),4.30394 # DEPENDENCYPART_ARC
(28,24),-0.952728 # DEPENDENCYPART_ARC
