# _root_ La iniciativa , que dependrà de les condicions meteorològiques , forma_part dels actes de celebració del cinquantè aniversari de l' entitat .
#goldHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
#predictedHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
(0,2),-6.68152 # DEPENDENCYPART_ARC
(0,5),-3.57359 # DEPENDENCYPART_ARC
(0,11),-1.32307 # DEPENDENCYPART_ARC
(1,2),-0.324146 # DEPENDENCYPART_ARC
(2,1),3.82292 # DEPENDENCYPART_ARC
(2,3),0.193154 # DEPENDENCYPART_ARC
(2,5),2.57748 # DEPENDENCYPART_ARC
(2,6),0.507011 # DEPENDENCYPART_ARC
(2,8),-0.125833 # DEPENDENCYPART_ARC
(2,9),-0.562283 # DEPENDENCYPART_ARC
(2,10),-0.140543 # DEPENDENCYPART_ARC
(2,11),0.262205 # DEPENDENCYPART_ARC
(2,12),-1.04242 # DEPENDENCYPART_ARC
(2,14),-0.625343 # DEPENDENCYPART_ARC
(2,16),-1.36047 # DEPENDENCYPART_ARC
(2,18),-1.68798 # DEPENDENCYPART_ARC
(2,22),0.848278 # DEPENDENCYPART_ARC
(3,2),-1.48253 # DEPENDENCYPART_ARC
(4,5),-0.668524 # DEPENDENCYPART_ARC
(4,6),-0.83895 # DEPENDENCYPART_ARC
(5,1),-1.70294 # DEPENDENCYPART_ARC
(5,2),0.537155 # DEPENDENCYPART_ARC
(5,3),1.72845 # DEPENDENCYPART_ARC
(5,4),4.36085 # DEPENDENCYPART_ARC
(5,6),2.03078 # DEPENDENCYPART_ARC
(5,8),2.17128 # DEPENDENCYPART_ARC
(5,9),0.116667 # DEPENDENCYPART_ARC
(5,10),1.54907 # DEPENDENCYPART_ARC
(5,11),0.649151 # DEPENDENCYPART_ARC
(5,12),-0.952661 # DEPENDENCYPART_ARC
(5,14),-0.648635 # DEPENDENCYPART_ARC
(5,15),-0.544493 # DEPENDENCYPART_ARC
(5,16),-1.48954 # DEPENDENCYPART_ARC
(5,18),-0.17443 # DEPENDENCYPART_ARC
(5,21),0.0197684 # DEPENDENCYPART_ARC
(5,22),2.98711 # DEPENDENCYPART_ARC
(6,3),-1.90463 # DEPENDENCYPART_ARC
(6,5),-0.503849 # DEPENDENCYPART_ARC
(6,7),-0.788765 # DEPENDENCYPART_ARC
(6,8),4.77003 # DEPENDENCYPART_ARC
(6,9),0.742811 # DEPENDENCYPART_ARC
(6,10),-0.0982412 # DEPENDENCYPART_ARC
(6,11),-0.982798 # DEPENDENCYPART_ARC
(6,12),-0.550041 # DEPENDENCYPART_ARC
(6,16),-1.68051 # DEPENDENCYPART_ARC
(6,19),-1.12208 # DEPENDENCYPART_ARC
(7,6),-0.366977 # DEPENDENCYPART_ARC
(8,2),-2.91815 # DEPENDENCYPART_ARC
(8,3),-1.88724 # DEPENDENCYPART_ARC
(8,5),-1.17086 # DEPENDENCYPART_ARC
(8,6),0.127956 # DEPENDENCYPART_ARC
(8,7),3.60106 # DEPENDENCYPART_ARC
(8,9),4.12212 # DEPENDENCYPART_ARC
(8,10),0.25546 # DEPENDENCYPART_ARC
(8,11),0.421707 # DEPENDENCYPART_ARC
(8,12),0.0287005 # DEPENDENCYPART_ARC
(8,14),0.899927 # DEPENDENCYPART_ARC
(8,16),-0.311364 # DEPENDENCYPART_ARC
(8,17),-3.70189 # DEPENDENCYPART_ARC
(8,18),-1.54885 # DEPENDENCYPART_ARC
(8,19),-0.115695 # DEPENDENCYPART_ARC
(8,22),-0.220176 # DEPENDENCYPART_ARC
(9,3),-1.31977 # DEPENDENCYPART_ARC
(9,6),0.666621 # DEPENDENCYPART_ARC
(9,7),0.433769 # DEPENDENCYPART_ARC
(9,10),-0.0606201 # DEPENDENCYPART_ARC
(9,11),-0.976144 # DEPENDENCYPART_ARC
(9,12),-1.66107 # DEPENDENCYPART_ARC
(9,14),-1.85828 # DEPENDENCYPART_ARC
(10,9),-0.580616 # DEPENDENCYPART_ARC
(11,1),-2.62901 # DEPENDENCYPART_ARC
(11,2),0.773594 # DEPENDENCYPART_ARC
(11,3),0.340187 # DEPENDENCYPART_ARC
(11,4),1.74924 # DEPENDENCYPART_ARC
(11,5),-0.486891 # DEPENDENCYPART_ARC
(11,6),-0.077814 # DEPENDENCYPART_ARC
(11,7),-1.3028 # DEPENDENCYPART_ARC
(11,8),0.969505 # DEPENDENCYPART_ARC
(11,9),-0.143537 # DEPENDENCYPART_ARC
(11,10),1.11927 # DEPENDENCYPART_ARC
(11,12),1.69191 # DEPENDENCYPART_ARC
(11,13),1.7629 # DEPENDENCYPART_ARC
(11,14),0.364928 # DEPENDENCYPART_ARC
(11,15),0.289912 # DEPENDENCYPART_ARC
(11,16),-0.325755 # DEPENDENCYPART_ARC
(11,17),-1.69501 # DEPENDENCYPART_ARC
(11,18),0.185969 # DEPENDENCYPART_ARC
(11,19),-0.65866 # DEPENDENCYPART_ARC
(11,21),0.572503 # DEPENDENCYPART_ARC
(11,22),3.68387 # DEPENDENCYPART_ARC
(12,5),-3.70715 # DEPENDENCYPART_ARC
(12,10),-1.70934 # DEPENDENCYPART_ARC
(12,11),-0.847022 # DEPENDENCYPART_ARC
(12,13),4.73831 # DEPENDENCYPART_ARC
(12,14),0.45047 # DEPENDENCYPART_ARC
(12,15),0.0356787 # DEPENDENCYPART_ARC
(12,16),-1.05306 # DEPENDENCYPART_ARC
(12,19),-0.588122 # DEPENDENCYPART_ARC
(12,22),-0.49107 # DEPENDENCYPART_ARC
(13,2),-4.4448 # DEPENDENCYPART_ARC
(13,11),-0.109371 # DEPENDENCYPART_ARC
(13,12),-0.248886 # DEPENDENCYPART_ARC
(13,14),2.89293 # DEPENDENCYPART_ARC
(13,15),0.531848 # DEPENDENCYPART_ARC
(13,16),1.7683 # DEPENDENCYPART_ARC
(13,17),-1.02132 # DEPENDENCYPART_ARC
(13,18),-0.215462 # DEPENDENCYPART_ARC
(13,19),0.628134 # DEPENDENCYPART_ARC
(13,21),-0.57066 # DEPENDENCYPART_ARC
(13,22),-0.455151 # DEPENDENCYPART_ARC
(14,10),-1.10918 # DEPENDENCYPART_ARC
(14,15),3.81185 # DEPENDENCYPART_ARC
(14,16),-0.455862 # DEPENDENCYPART_ARC
(14,18),0.247568 # DEPENDENCYPART_ARC
(14,19),-0.589534 # DEPENDENCYPART_ARC
(15,2),-1.91149 # DEPENDENCYPART_ARC
(15,3),0.184169 # DEPENDENCYPART_ARC
(15,5),-1.61146 # DEPENDENCYPART_ARC
(15,6),-1.41971 # DEPENDENCYPART_ARC
(15,10),-0.239846 # DEPENDENCYPART_ARC
(15,12),0.208522 # DEPENDENCYPART_ARC
(15,14),1.50404 # DEPENDENCYPART_ARC
(15,16),1.70365 # DEPENDENCYPART_ARC
(15,17),-0.958655 # DEPENDENCYPART_ARC
(15,18),-0.178572 # DEPENDENCYPART_ARC
(15,19),1.09425 # DEPENDENCYPART_ARC
(15,21),-0.382558 # DEPENDENCYPART_ARC
(15,22),-0.527165 # DEPENDENCYPART_ARC
(16,14),0.668932 # DEPENDENCYPART_ARC
(16,17),0.571453 # DEPENDENCYPART_ARC
(16,18),4.04721 # DEPENDENCYPART_ARC
(16,19),-0.297849 # DEPENDENCYPART_ARC
(16,21),-0.413269 # DEPENDENCYPART_ARC
(16,22),-0.308158 # DEPENDENCYPART_ARC
(17,19),-1.19357 # DEPENDENCYPART_ARC
(18,2),-2.38255 # DEPENDENCYPART_ARC
(18,3),-0.749818 # DEPENDENCYPART_ARC
(18,5),-2.24459 # DEPENDENCYPART_ARC
(18,6),-1.47784 # DEPENDENCYPART_ARC
(18,9),-1.2864 # DEPENDENCYPART_ARC
(18,10),-0.551194 # DEPENDENCYPART_ARC
(18,12),-0.645387 # DEPENDENCYPART_ARC
(18,14),0.00274756 # DEPENDENCYPART_ARC
(18,16),1.16895 # DEPENDENCYPART_ARC
(18,17),4.83764 # DEPENDENCYPART_ARC
(18,19),2.26304 # DEPENDENCYPART_ARC
(18,21),0.187878 # DEPENDENCYPART_ARC
(18,22),0.0613276 # DEPENDENCYPART_ARC
(19,21),4.19696 # DEPENDENCYPART_ARC
(21,5),-3.27368 # DEPENDENCYPART_ARC
(21,6),-2.21303 # DEPENDENCYPART_ARC
(21,20),3.73409 # DEPENDENCYPART_ARC
(21,22),0.249572 # DEPENDENCYPART_ARC
