# _root_ ' Amor_,_Prozac_i_dubtes ' és la tercera obra de la companyia , i segona vegada que adapten un text literari .
#goldHeads=2,4,2,0,7,7,4,7,10,8,7,7,14,7,16,14,18,16,18,4,
#predictedHeads=2,4,2,0,7,7,4,7,10,8,4,4,14,4,16,14,18,16,18,4,
(0,2),-5.94201 # DEPENDENCYPART_ARC
(0,4),-1.34401 # DEPENDENCYPART_ARC
(0,14),-6.00823 # DEPENDENCYPART_ARC
(0,16),-2.79086 # DEPENDENCYPART_ARC
(2,1),3.92742 # DEPENDENCYPART_ARC
(2,3),3.9862 # DEPENDENCYPART_ARC
(2,4),0.891819 # DEPENDENCYPART_ARC
(2,7),-0.524371 # DEPENDENCYPART_ARC
(2,8),-0.585597 # DEPENDENCYPART_ARC
(2,11),0.640599 # DEPENDENCYPART_ARC
(2,12),0.217412 # DEPENDENCYPART_ARC
(2,14),-1.51088 # DEPENDENCYPART_ARC
(2,16),-1.21643 # DEPENDENCYPART_ARC
(2,18),-0.854273 # DEPENDENCYPART_ARC
(2,20),1.22466 # DEPENDENCYPART_ARC
(4,1),2.70268 # DEPENDENCYPART_ARC
(4,2),1.08307 # DEPENDENCYPART_ARC
(4,3),2.417 # DEPENDENCYPART_ARC
(4,6),1.08127 # DEPENDENCYPART_ARC
(4,7),2.07888 # DEPENDENCYPART_ARC
(4,8),0.460482 # DEPENDENCYPART_ARC
(4,10),0.925486 # DEPENDENCYPART_ARC
(4,11),1.41652 # DEPENDENCYPART_ARC
(4,12),1.45055 # DEPENDENCYPART_ARC
(4,13),-0.308754 # DEPENDENCYPART_ARC
(4,14),0.601147 # DEPENDENCYPART_ARC
(4,15),-0.64951 # DEPENDENCYPART_ARC
(4,16),1.34429 # DEPENDENCYPART_ARC
(4,18),-0.619405 # DEPENDENCYPART_ARC
(4,19),-1.07911 # DEPENDENCYPART_ARC
(4,20),5.76626 # DEPENDENCYPART_ARC
(5,6),0.0459442 # DEPENDENCYPART_ARC
(6,5),1.05063 # DEPENDENCYPART_ARC
(6,7),0.952348 # DEPENDENCYPART_ARC
(6,8),-0.696621 # DEPENDENCYPART_ARC
(6,11),-0.389955 # DEPENDENCYPART_ARC
(6,12),0.774257 # DEPENDENCYPART_ARC
(6,13),0.990535 # DEPENDENCYPART_ARC
(6,16),-0.272838 # DEPENDENCYPART_ARC
(7,3),0.946798 # DEPENDENCYPART_ARC
