# _root_ Segons ell , aquestes polèmiques tenen un altre objectiu , " amagar el protagonisme del PP " .
#goldHeads=6,1,1,5,6,0,9,7,6,12,12,9,14,12,14,15,12,6,
#predictedHeads=6,1,1,5,6,0,9,7,6,6,12,6,14,12,14,15,12,6,
(0,1),-7.08155 # DEPENDENCYPART_ARC
(0,6),-2.16407 # DEPENDENCYPART_ARC
(0,12),-4.76782 # DEPENDENCYPART_ARC
(1,2),3.14552 # DEPENDENCYPART_ARC
(1,3),2.96982 # DEPENDENCYPART_ARC
(1,5),-0.761964 # DEPENDENCYPART_ARC
(1,6),0.146381 # DEPENDENCYPART_ARC
(1,10),-0.160723 # DEPENDENCYPART_ARC
(1,11),-2.06166 # DEPENDENCYPART_ARC
(1,12),-0.713655 # DEPENDENCYPART_ARC
(1,17),-3.6994 # DEPENDENCYPART_ARC
(1,18),-1.16552 # DEPENDENCYPART_ARC
(2,3),-0.297298 # DEPENDENCYPART_ARC
(2,5),0.243984 # DEPENDENCYPART_ARC
(2,6),-0.511192 # DEPENDENCYPART_ARC
(2,10),-1.35917 # DEPENDENCYPART_ARC
(5,1),-0.524599 # DEPENDENCYPART_ARC
(5,2),-1.37299 # DEPENDENCYPART_ARC
(5,3),0.035288 # DEPENDENCYPART_ARC
(5,4),3.76761 # DEPENDENCYPART_ARC
(5,6),0.577476 # DEPENDENCYPART_ARC
(5,7),-3.12402 # DEPENDENCYPART_ARC
(5,9),-2.1339 # DEPENDENCYPART_ARC
(5,10),-2.07704 # DEPENDENCYPART_ARC
(5,11),-2.08137 # DEPENDENCYPART_ARC
(5,12),-2.70629 # DEPENDENCYPART_ARC
(5,17),-2.68332 # DEPENDENCYPART_ARC
(5,18),-2.018 # DEPENDENCYPART_ARC
(6,1),3.78888 # DEPENDENCYPART_ARC
(6,2),-1.36552 # DEPENDENCYPART_ARC
(6,3),0.879334 # DEPENDENCYPART_ARC
(6,4),0.419538 # DEPENDENCYPART_ARC
(6,5),3.21853 # DEPENDENCYPART_ARC
(6,9),1.6071 # DEPENDENCYPART_ARC
(6,10),1.61235 # DEPENDENCYPART_ARC
(6,11),1.71116 # DEPENDENCYPART_ARC
(6,12),1.02934 # DEPENDENCYPART_ARC
(6,14),-0.151348 # DEPENDENCYPART_ARC
(6,15),-1.52638 # DEPENDENCYPART_ARC
(6,16),-0.684991 # DEPENDENCYPART_ARC
(6,17),-0.0914753 # DEPENDENCYPART_ARC
(6,18),2.85207 # DEPENDENCYPART_ARC
(7,8),4.89528 # DEPENDENCYPART_ARC
(7,9),0.766639 # DEPENDENCYPART_ARC
(8,9),-0.50795 # DEPENDENCYPART_ARC
(9,1),-0.418132 # DEPENDENCYPART_ARC
(9,2),-0.927563 # DEPENDENCYPART_ARC
(9,3),0.237864 # DEPENDENCYPART_ARC
(9,5),-2.27742 # DEPENDENCYPART_ARC
(9,6),-1.20388 # DEPENDENCYPART_ARC
(9,7),2.56612 # DEPENDENCYPART_ARC
(9,8),2.10241 # DEPENDENCYPART_ARC
(9,10),-0.190078 # DEPENDENCYPART_ARC
(9,11),-0.476595 # DEPENDENCYPART_ARC
(9,12),0.488038 # DEPENDENCYPART_ARC
(9,14),-1.2761 # DEPENDENCYPART_ARC
(9,15),-0.391652 # DEPENDENCYPART_ARC
(9,17),-1.36163 # DEPENDENCYPART_ARC
(9,18),-0.0537537 # DEPENDENCYPART_ARC
(10,9),-1.62346 # DEPENDENCYPART_ARC
(12,1),2.32382 # DEPENDENCYPART_ARC
(12,2),-2.03858 # DEPENDENCYPART_ARC
(12,3),-1.34057 # DEPENDENCYPART_ARC
(12,5),0.125006 # DEPENDENCYPART_ARC
(12,6),0.480448 # DEPENDENCYPART_ARC
(12,9),0.331923 # DEPENDENCYPART_ARC
(12,10),-0.336358 # DEPENDENCYPART_ARC
(12,11),1.78413 # DEPENDENCYPART_ARC
(12,14),3.45846 # DEPENDENCYPART_ARC
(12,15),1.35237 # DEPENDENCYPART_ARC
(12,16),0.667628 # DEPENDENCYPART_ARC
(12,17),1.89793 # DEPENDENCYPART_ARC
(12,18),2.85133 # DEPENDENCYPART_ARC
(13,15),-0.226334 # DEPENDENCYPART_ARC
(14,1),-1.96345 # DEPENDENCYPART_ARC
(14,6),-2.97001 # DEPENDENCYPART_ARC
(14,7),-2.24376 # DEPENDENCYPART_ARC
(14,9),-2.28453 # DEPENDENCYPART_ARC
(14,10),-0.52877 # DEPENDENCYPART_ARC
(14,11),0.395711 # DEPENDENCYPART_ARC
(14,12),0.0227179 # DEPENDENCYPART_ARC
(14,13),2.99573 # DEPENDENCYPART_ARC
(14,15),3.1839 # DEPENDENCYPART_ARC
(14,16),0.620216 # DEPENDENCYPART_ARC
(14,17),0.732704 # DEPENDENCYPART_ARC
(14,18),0.186236 # DEPENDENCYPART_ARC
(15,6),-2.85509 # DEPENDENCYPART_ARC
(15,11),-1.65768 # DEPENDENCYPART_ARC
(15,13),-0.639773 # DEPENDENCYPART_ARC
(15,16),3.47472 # DEPENDENCYPART_ARC
(15,17),-0.385784 # DEPENDENCYPART_ARC
(15,18),-0.699314 # DEPENDENCYPART_ARC
(16,6),-2.30419 # DEPENDENCYPART_ARC
(16,13),0.0839231 # DEPENDENCYPART_ARC
(16,17),-0.143986 # DEPENDENCYPART_ARC
(16,18),-0.850127 # DEPENDENCYPART_ARC
