# _root_ I ahir , per no deixar en evidència el_seu amic , Zenden també va fallar un altre penal .
#goldHeads=15,15,2,15,6,4,6,7,10,6,4,15,15,15,0,18,16,15,15,
#predictedHeads=2,15,4,15,6,4,6,7,10,6,12,15,15,15,0,18,16,15,15,
(0,2),-6.57598 # DEPENDENCYPART_ARC
(0,4),-5.92804 # DEPENDENCYPART_ARC
(0,6),-6.51089 # DEPENDENCYPART_ARC
(0,10),-6.08917 # DEPENDENCYPART_ARC
(0,12),-6.24314 # DEPENDENCYPART_ARC
(0,14),-3.49662 # DEPENDENCYPART_ARC
(0,15),-3.96654 # DEPENDENCYPART_ARC
(1,3),0.55956 # DEPENDENCYPART_ARC
(2,1),0.112119 # DEPENDENCYPART_ARC
(2,3),1.55439 # DEPENDENCYPART_ARC
(2,4),-1.36304 # DEPENDENCYPART_ARC
(2,5),-1.14092 # DEPENDENCYPART_ARC
(2,6),-0.791225 # DEPENDENCYPART_ARC
(2,11),-0.663745 # DEPENDENCYPART_ARC
(2,12),-2.10854 # DEPENDENCYPART_ARC
(2,13),-2.31243 # DEPENDENCYPART_ARC
(2,15),-2.61821 # DEPENDENCYPART_ARC
(4,1),-0.684033 # DEPENDENCYPART_ARC
(4,2),-0.400444 # DEPENDENCYPART_ARC
(4,3),1.64931 # DEPENDENCYPART_ARC
(4,5),0.528505 # DEPENDENCYPART_ARC
(4,6),2.64532 # DEPENDENCYPART_ARC
(4,7),-0.299564 # DEPENDENCYPART_ARC
(4,8),1.4593 # DEPENDENCYPART_ARC
(4,10),-1.00568 # DEPENDENCYPART_ARC
(4,11),1.23006 # DEPENDENCYPART_ARC
(4,13),-0.594068 # DEPENDENCYPART_ARC
(4,15),-2.23783 # DEPENDENCYPART_ARC
(4,19),0.687257 # DEPENDENCYPART_ARC
(5,3),-2.13109 # DEPENDENCYPART_ARC
(5,7),-1.82345 # DEPENDENCYPART_ARC
(6,1),-0.799115 # DEPENDENCYPART_ARC
(6,2),0.349756 # DEPENDENCYPART_ARC
(6,3),-0.083608 # DEPENDENCYPART_ARC
(6,4),0.829929 # DEPENDENCYPART_ARC
(6,5),1.67319 # DEPENDENCYPART_ARC
(6,7),3.44083 # DEPENDENCYPART_ARC
(6,8),1.86898 # DEPENDENCYPART_ARC
(6,10),1.55636 # DEPENDENCYPART_ARC
(6,11),-0.217431 # DEPENDENCYPART_ARC
(6,12),-0.597372 # DEPENDENCYPART_ARC
(6,13),-0.061585 # DEPENDENCYPART_ARC
(6,14),-0.846789 # DEPENDENCYPART_ARC
(6,15),0.00850917 # DEPENDENCYPART_ARC
(6,18),0.506295 # DEPENDENCYPART_ARC
(6,19),1.97178 # DEPENDENCYPART_ARC
(7,1),-1.14627 # DEPENDENCYPART_ARC
(7,3),0.00919975 # DEPENDENCYPART_ARC
(7,4),-0.650189 # DEPENDENCYPART_ARC
(7,5),0.0693571 # DEPENDENCYPART_ARC
(7,6),-0.181712 # DEPENDENCYPART_ARC
(7,8),5.16386 # DEPENDENCYPART_ARC
(7,10),-0.68824 # DEPENDENCYPART_ARC
(7,11),-0.492581 # DEPENDENCYPART_ARC
(7,12),-3.94448 # DEPENDENCYPART_ARC
(7,15),-2.8299 # DEPENDENCYPART_ARC
(8,1),-3.16732 # DEPENDENCYPART_ARC
(8,2),-3.23628 # DEPENDENCYPART_ARC
(8,5),-1.64415 # DEPENDENCYPART_ARC
(8,6),-2.53569 # DEPENDENCYPART_ARC
(8,7),-0.977878 # DEPENDENCYPART_ARC
(8,9),0.248425 # DEPENDENCYPART_ARC
(8,10),-0.708484 # DEPENDENCYPART_ARC
(8,11),-0.00160021 # DEPENDENCYPART_ARC
(8,12),-0.69779 # DEPENDENCYPART_ARC
(8,13),-2.12511 # DEPENDENCYPART_ARC
(8,15),-1.8868 # DEPENDENCYPART_ARC
(8,18),-2.52494 # DEPENDENCYPART_ARC
(8,19),-1.57015 # DEPENDENCYPART_ARC
(10,1),-2.21585 # DEPENDENCYPART_ARC
(10,2),-2.42367 # DEPENDENCYPART_ARC
(10,3),-1.99811 # DEPENDENCYPART_ARC
(10,4),-1.92604 # DEPENDENCYPART_ARC
(10,6),-2.70888 # DEPENDENCYPART_ARC
(10,7),-1.00235 # DEPENDENCYPART_ARC
(10,9),2.30816 # DEPENDENCYPART_ARC
(10,11),0.874489 # DEPENDENCYPART_ARC
(10,12),0.854531 # DEPENDENCYPART_ARC
(10,13),-0.299752 # DEPENDENCYPART_ARC
(10,14),0.466427 # DEPENDENCYPART_ARC
(10,15),-0.239969 # DEPENDENCYPART_ARC
(10,16),-1.37949 # DEPENDENCYPART_ARC
(10,18),-0.0615507 # DEPENDENCYPART_ARC
(10,19),0.432861 # DEPENDENCYPART_ARC
(11,10),-1.99959 # DEPENDENCYPART_ARC
(12,4),-1.22035 # DEPENDENCYPART_ARC
(12,6),-2.40103 # DEPENDENCYPART_ARC
(12,7),-0.693657 # DEPENDENCYPART_ARC
(12,10),-0.859247 # DEPENDENCYPART_ARC
(12,11),1.30857 # DEPENDENCYPART_ARC
(12,13),-0.253444 # DEPENDENCYPART_ARC
(12,14),-0.531907 # DEPENDENCYPART_ARC
(12,15),-1.3272 # DEPENDENCYPART_ARC
(12,18),-2.29525 # DEPENDENCYPART_ARC
(12,19),-0.418271 # DEPENDENCYPART_ARC
(13,4),-2.20503 # DEPENDENCYPART_ARC
(13,10),-1.83669 # DEPENDENCYPART_ARC
(13,11),-0.42299 # DEPENDENCYPART_ARC
(13,14),-0.123804 # DEPENDENCYPART_ARC
(13,18),-2.03943 # DEPENDENCYPART_ARC
(14,1),-2.16634 # DEPENDENCYPART_ARC
(14,2),-1.01997 # DEPENDENCYPART_ARC
(14,3),-3.06267 # DEPENDENCYPART_ARC
(14,4),-1.47491 # DEPENDENCYPART_ARC
(14,6),-1.53371 # DEPENDENCYPART_ARC
(14,7),-1.57795 # DEPENDENCYPART_ARC
(14,10),-1.04948 # DEPENDENCYPART_ARC
(14,11),-1.26565 # DEPENDENCYPART_ARC
(14,12),-0.843128 # DEPENDENCYPART_ARC
(14,13),0.262563 # DEPENDENCYPART_ARC
(14,15),0.431008 # DEPENDENCYPART_ARC
(14,18),-0.835634 # DEPENDENCYPART_ARC
(14,19),0.881583 # DEPENDENCYPART_ARC
(15,1),-0.0496553 # DEPENDENCYPART_ARC
(15,2),0.778733 # DEPENDENCYPART_ARC
(15,3),-0.936414 # DEPENDENCYPART_ARC
(15,4),0.85349 # DEPENDENCYPART_ARC
(15,6),0.245784 # DEPENDENCYPART_ARC
(15,7),0.7387 # DEPENDENCYPART_ARC
(15,8),0.147852 # DEPENDENCYPART_ARC
(15,10),0.859232 # DEPENDENCYPART_ARC
(15,11),-0.432251 # DEPENDENCYPART_ARC
(15,12),1.66235 # DEPENDENCYPART_ARC
(15,13),2.57209 # DEPENDENCYPART_ARC
(15,14),5.23787 # DEPENDENCYPART_ARC
(15,18),2.21196 # DEPENDENCYPART_ARC
(15,19),3.84022 # DEPENDENCYPART_ARC
(16,13),-1.52335 # DEPENDENCYPART_ARC
(16,17),5.09953 # DEPENDENCYPART_ARC
(16,18),0.97089 # DEPENDENCYPART_ARC
(17,18),-0.356476 # DEPENDENCYPART_ARC
(18,1),-0.593909 # DEPENDENCYPART_ARC
(18,4),-1.19202 # DEPENDENCYPART_ARC
(18,6),-2.12613 # DEPENDENCYPART_ARC
(18,13),0.578165 # DEPENDENCYPART_ARC
(18,15),-0.34205 # DEPENDENCYPART_ARC
(18,16),2.66516 # DEPENDENCYPART_ARC
(18,17),2.25711 # DEPENDENCYPART_ARC
(18,19),0.344297 # DEPENDENCYPART_ARC
