# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=4,1,1,14,4,7,5,7,8,1,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(0,1),-8.21452 # DEPENDENCYPART_ARC
(0,4),-6.1283 # DEPENDENCYPART_ARC
(0,14),-1.78522 # DEPENDENCYPART_ARC
(0,20),-2.7765 # DEPENDENCYPART_ARC
(1,2),4.04118 # DEPENDENCYPART_ARC
(1,3),2.13572 # DEPENDENCYPART_ARC
(1,4),-0.680763 # DEPENDENCYPART_ARC
(1,5),-1.87626 # DEPENDENCYPART_ARC
(1,10),1.18936 # DEPENDENCYPART_ARC
(1,24),-0.473847 # DEPENDENCYPART_ARC
(2,1),0.154125 # DEPENDENCYPART_ARC
(2,3),-0.54435 # DEPENDENCYPART_ARC
(2,4),-0.369166 # DEPENDENCYPART_ARC
(2,5),-1.25972 # DEPENDENCYPART_ARC
(2,8),-0.798983 # DEPENDENCYPART_ARC
(2,10),-0.93023 # DEPENDENCYPART_ARC
(2,12),-2.50483 # DEPENDENCYPART_ARC
(2,14),-1.29774 # DEPENDENCYPART_ARC
(2,18),-2.1804 # DEPENDENCYPART_ARC
(2,20),-1.67976 # DEPENDENCYPART_ARC
(2,22),-1.75729 # DEPENDENCYPART_ARC
(2,24),-0.686318 # DEPENDENCYPART_ARC
(4,1),0.48038 # DEPENDENCYPART_ARC
(4,2),-0.0399015 # DEPENDENCYPART_ARC
(4,3),1.36014 # DEPENDENCYPART_ARC
(4,5),3.58261 # DEPENDENCYPART_ARC
(4,7),1.96079 # DEPENDENCYPART_ARC
(4,8),0.600277 # DEPENDENCYPART_ARC
(4,9),0.471428 # DEPENDENCYPART_ARC
(4,10),1.14931 # DEPENDENCYPART_ARC
(4,12),-0.286233 # DEPENDENCYPART_ARC
(4,14),-0.0632829 # DEPENDENCYPART_ARC
(4,15),0.828493 # DEPENDENCYPART_ARC
(4,18),0.954525 # DEPENDENCYPART_ARC
(4,20),-1.16363 # DEPENDENCYPART_ARC
(4,22),1.17084 # DEPENDENCYPART_ARC
(4,24),1.71756 # DEPENDENCYPART_ARC
(5,1),-1.90971 # DEPENDENCYPART_ARC
(5,3),-0.636137 # DEPENDENCYPART_ARC
(5,4),0.248371 # DEPENDENCYPART_ARC
(5,6),-1.05358 # DEPENDENCYPART_ARC
(5,7),4.49712 # DEPENDENCYPART_ARC
(5,8),0.857395 # DEPENDENCYPART_ARC
(5,9),2.25103 # DEPENDENCYPART_ARC
(5,10),0.217586 # DEPENDENCYPART_ARC
(5,12),-1.12786 # DEPENDENCYPART_ARC
(5,14),-0.872195 # DEPENDENCYPART_ARC
(5,15),-1.17523 # DEPENDENCYPART_ARC
(6,7),2.25945 # DEPENDENCYPART_ARC
(6,8),0.197263 # DEPENDENCYPART_ARC
(7,1),-2.33526 # DEPENDENCYPART_ARC
(7,3),-0.869594 # DEPENDENCYPART_ARC
(7,4),-1.28831 # DEPENDENCYPART_ARC
(7,5),0.476143 # DEPENDENCYPART_ARC
(7,6),2.84068 # DEPENDENCYPART_ARC
(7,8),2.99992 # DEPENDENCYPART_ARC
(7,9),0.633545 # DEPENDENCYPART_ARC
(7,10),0.633346 # DEPENDENCYPART_ARC
(7,12),-0.502159 # DEPENDENCYPART_ARC
(7,14),1.37044 # DEPENDENCYPART_ARC
(7,15),-0.617127 # DEPENDENCYPART_ARC
(7,18),-0.541013 # DEPENDENCYPART_ARC
(7,20),0.476968 # DEPENDENCYPART_ARC
(7,22),-0.415398 # DEPENDENCYPART_ARC
(7,23),-3.80257 # DEPENDENCYPART_ARC
(7,24),1.04015 # DEPENDENCYPART_ARC
(8,1),-3.04028 # DEPENDENCYPART_ARC
(8,6),-0.0836603 # DEPENDENCYPART_ARC
(8,9),4.31792 # DEPENDENCYPART_ARC
(8,10),-0.278741 # DEPENDENCYPART_ARC
(8,12),-1.54349 # DEPENDENCYPART_ARC
(8,14),-2.51512 # DEPENDENCYPART_ARC
(8,15),-2.27923 # DEPENDENCYPART_ARC
(9,1),-2.88814 # DEPENDENCYPART_ARC
(9,6),0.08139 # DEPENDENCYPART_ARC
(9,10),0.339501 # DEPENDENCYPART_ARC
(9,12),-1.0576 # DEPENDENCYPART_ARC
