# _root_ Una altra de les marques de tabac negre , Gitanes , fixarà el_seu preu en 310 pessetes tant en la varietat amb filtre com sense filtre .
#goldHeads=2,12,2,5,3,5,6,7,10,2,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
#predictedHeads=2,12,2,5,3,5,6,7,10,5,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
(0,2),-6.7232 # DEPENDENCYPART_ARC
(0,10),-7.17536 # DEPENDENCYPART_ARC
(0,12),-1.90562 # DEPENDENCYPART_ARC
(1,2),1.52732 # DEPENDENCYPART_ARC
(1,3),0.507589 # DEPENDENCYPART_ARC
(1,6),-0.390936 # DEPENDENCYPART_ARC
(2,1),3.41664 # DEPENDENCYPART_ARC
(2,3),2.60975 # DEPENDENCYPART_ARC
(2,5),1.43145 # DEPENDENCYPART_ARC
(2,6),2.16352 # DEPENDENCYPART_ARC
(2,7),0.722498 # DEPENDENCYPART_ARC
(2,8),-0.247259 # DEPENDENCYPART_ARC
(2,9),1.20415 # DEPENDENCYPART_ARC
(2,10),1.07007 # DEPENDENCYPART_ARC
(2,11),1.24845 # DEPENDENCYPART_ARC
(2,12),0.701237 # DEPENDENCYPART_ARC
(2,14),-0.487999 # DEPENDENCYPART_ARC
(2,15),-1.44927 # DEPENDENCYPART_ARC
(2,21),-0.73587 # DEPENDENCYPART_ARC
(2,23),-1.16425 # DEPENDENCYPART_ARC
(2,27),1.78902 # DEPENDENCYPART_ARC
(3,1),-0.0549191 # DEPENDENCYPART_ARC
(3,2),-0.523538 # DEPENDENCYPART_ARC
(3,4),-0.354726 # DEPENDENCYPART_ARC
(3,5),4.58007 # DEPENDENCYPART_ARC
(3,6),0.470476 # DEPENDENCYPART_ARC
(3,7),1.32313 # DEPENDENCYPART_ARC
(3,8),-0.589724 # DEPENDENCYPART_ARC
(3,9),0.336615 # DEPENDENCYPART_ARC
(3,10),-1.63301 # DEPENDENCYPART_ARC
(3,11),-0.224962 # DEPENDENCYPART_ARC
(3,12),-2.13218 # DEPENDENCYPART_ARC
(3,17),-3.01743 # DEPENDENCYPART_ARC
(4,3),-0.036269 # DEPENDENCYPART_ARC
(4,5),2.54318 # DEPENDENCYPART_ARC
(4,6),0.309248 # DEPENDENCYPART_ARC
(5,1),-0.359346 # DEPENDENCYPART_ARC
(5,3),-0.149905 # DEPENDENCYPART_ARC
(5,4),3.71303 # DEPENDENCYPART_ARC
(5,6),3.76993 # DEPENDENCYPART_ARC
(5,7),0.378813 # DEPENDENCYPART_ARC
(5,8),-1.32613 # DEPENDENCYPART_ARC
(5,9),0.47591 # DEPENDENCYPART_ARC
(5,10),1.14216 # DEPENDENCYPART_ARC
(5,11),0.491485 # DEPENDENCYPART_ARC
(5,12),-0.138687 # DEPENDENCYPART_ARC
(5,14),-0.772781 # DEPENDENCYPART_ARC
(5,15),-0.165933 # DEPENDENCYPART_ARC
(5,16),-1.26022 # DEPENDENCYPART_ARC
(5,17),-0.441932 # DEPENDENCYPART_ARC
(5,18),-1.29194 # DEPENDENCYPART_ARC
(5,22),0.347392 # DEPENDENCYPART_ARC
(5,27),0.109529 # DEPENDENCYPART_ARC
(6,4),0.0987055 # DEPENDENCYPART_ARC
(6,7),3.79469 # DEPENDENCYPART_ARC
(6,8),-0.024007 # DEPENDENCYPART_ARC
(6,9),0.183197 # DEPENDENCYPART_ARC
(6,10),-0.384812 # DEPENDENCYPART_ARC
(6,11),-0.594272 # DEPENDENCYPART_ARC
(6,12),-2.55764 # DEPENDENCYPART_ARC
(6,17),-3.30153 # DEPENDENCYPART_ARC
(7,1),-1.30146 # DEPENDENCYPART_ARC
(7,4),-0.575688 # DEPENDENCYPART_ARC
(7,6),1.54219 # DEPENDENCYPART_ARC
(7,8),2.88676 # DEPENDENCYPART_ARC
(7,9),0.581235 # DEPENDENCYPART_ARC
(7,10),0.368572 # DEPENDENCYPART_ARC
(7,11),-0.751031 # DEPENDENCYPART_ARC
(7,12),-0.623785 # DEPENDENCYPART_ARC
(7,14),-2.0769 # DEPENDENCYPART_ARC
(7,16),-2.09884 # DEPENDENCYPART_ARC
(7,17),-1.66622 # DEPENDENCYPART_ARC
(8,4),-2.50584 # DEPENDENCYPART_ARC
(8,6),0.0671934 # DEPENDENCYPART_ARC
(8,9),-0.0738684 # DEPENDENCYPART_ARC
(8,10),-0.0596482 # DEPENDENCYPART_ARC
(8,11),-0.960541 # DEPENDENCYPART_ARC
(8,12),-0.88049 # DEPENDENCYPART_ARC
(8,14),-2.14447 # DEPENDENCYPART_ARC
(8,19),-3.24534 # DEPENDENCYPART_ARC
(9,8),-0.425626 # DEPENDENCYPART_ARC
(10,3),-0.306909 # DEPENDENCYPART_ARC
(10,6),0.0136054 # DEPENDENCYPART_ARC
(10,8),0.573015 # DEPENDENCYPART_ARC
(10,9),3.1927 # DEPENDENCYPART_ARC
(10,11),2.79677 # DEPENDENCYPART_ARC
(10,12),0.0800673 # DEPENDENCYPART_ARC
(10,14),-1.17391 # DEPENDENCYPART_ARC
(10,15),-1.83416 # DEPENDENCYPART_ARC
(10,16),-1.37269 # DEPENDENCYPART_ARC
(10,17),-1.02493 # DEPENDENCYPART_ARC
(10,24),-1.82001 # DEPENDENCYPART_ARC
(10,27),0.217366 # DEPENDENCYPART_ARC
(11,9),-0.958217 # DEPENDENCYPART_ARC
(12,2),-0.574988 # DEPENDENCYPART_ARC
(12,3),-0.785102 # DEPENDENCYPART_ARC
(12,5),0.192049 # DEPENDENCYPART_ARC
(12,6),-1.64145 # DEPENDENCYPART_ARC
(12,7),0.587552 # DEPENDENCYPART_ARC
(12,8),-0.896582 # DEPENDENCYPART_ARC
(12,9),0.205196 # DEPENDENCYPART_ARC
(12,10),0.832608 # DEPENDENCYPART_ARC
(12,11),1.12028 # DEPENDENCYPART_ARC
(12,14),2.84542 # DEPENDENCYPART_ARC
(12,15),2.09538 # DEPENDENCYPART_ARC
(12,16),-0.374293 # DEPENDENCYPART_ARC
(12,17),-0.437396 # DEPENDENCYPART_ARC
(12,18),-0.346601 # DEPENDENCYPART_ARC
(12,19),0.687271 # DEPENDENCYPART_ARC
(12,21),0.507348 # DEPENDENCYPART_ARC
(12,22),1.4229 # DEPENDENCYPART_ARC
(12,23),-0.0354206 # DEPENDENCYPART_ARC
(12,24),-0.320459 # DEPENDENCYPART_ARC
(12,25),-0.148169 # DEPENDENCYPART_ARC
(12,27),4.91778 # DEPENDENCYPART_ARC
(14,3),-1.98569 # DEPENDENCYPART_ARC
(14,8),-2.05354 # DEPENDENCYPART_ARC
(14,9),-1.32559 # DEPENDENCYPART_ARC
(14,11),-0.39894 # DEPENDENCYPART_ARC
(14,12),0.00259711 # DEPENDENCYPART_ARC
(14,13),3.00513 # DEPENDENCYPART_ARC
(14,15),1.44679 # DEPENDENCYPART_ARC
(14,16),-0.295936 # DEPENDENCYPART_ARC
(14,17),-0.0980464 # DEPENDENCYPART_ARC
(14,18),-0.449658 # DEPENDENCYPART_ARC
(14,19),-0.411444 # DEPENDENCYPART_ARC
(14,21),-0.0892522 # DEPENDENCYPART_ARC
(14,22),0.860473 # DEPENDENCYPART_ARC
(14,24),-1.1196 # DEPENDENCYPART_ARC
(14,25),-1.14153 # DEPENDENCYPART_ARC
(14,27),1.95828 # DEPENDENCYPART_ARC
(15,14),-0.373397 # DEPENDENCYPART_ARC
(15,16),0.980472 # DEPENDENCYPART_ARC
(15,17),1.9192 # DEPENDENCYPART_ARC
(15,18),-0.57476 # DEPENDENCYPART_ARC
(15,19),0.0476976 # DEPENDENCYPART_ARC
(15,21),0.421972 # DEPENDENCYPART_ARC
(15,24),0.730618 # DEPENDENCYPART_ARC
(15,25),-0.196283 # DEPENDENCYPART_ARC
(16,3),-3.36378 # DEPENDENCYPART_ARC
(16,14),-1.90309 # DEPENDENCYPART_ARC
(16,15),-0.506671 # DEPENDENCYPART_ARC
(16,17),-0.307141 # DEPENDENCYPART_ARC
(16,18),-0.984547 # DEPENDENCYPART_ARC
(16,19),-1.0718 # DEPENDENCYPART_ARC
(16,21),-1.06872 # DEPENDENCYPART_ARC
(16,22),-1.30541 # DEPENDENCYPART_ARC
(16,25),-1.82408 # DEPENDENCYPART_ARC
(17,3),-1.15744 # DEPENDENCYPART_ARC
(17,6),-0.828969 # DEPENDENCYPART_ARC
(17,15),1.27551 # DEPENDENCYPART_ARC
(17,16),2.87215 # DEPENDENCYPART_ARC
(17,18),1.00085 # DEPENDENCYPART_ARC
(17,19),0.254319 # DEPENDENCYPART_ARC
(17,21),0.78751 # DEPENDENCYPART_ARC
(17,22),0.0273445 # DEPENDENCYPART_ARC
(17,23),0.296193 # DEPENDENCYPART_ARC
(18,3),-1.77525 # DEPENDENCYPART_ARC
(18,11),-1.07838 # DEPENDENCYPART_ARC
(18,15),-0.252488 # DEPENDENCYPART_ARC
(18,19),0.387862 # DEPENDENCYPART_ARC
(18,21),-0.79158 # DEPENDENCYPART_ARC
(18,22),-1.17348 # DEPENDENCYPART_ARC
(18,25),-0.823776 # DEPENDENCYPART_ARC
(18,27),-0.348348 # DEPENDENCYPART_ARC
(19,15),-0.302346 # DEPENDENCYPART_ARC
(19,18),1.50586 # DEPENDENCYPART_ARC
(19,20),0.487953 # DEPENDENCYPART_ARC
(19,21),5.02572 # DEPENDENCYPART_ARC
(19,22),1.19155 # DEPENDENCYPART_ARC
(19,23),1.54826 # DEPENDENCYPART_ARC
(19,24),2.77238 # DEPENDENCYPART_ARC
(19,25),2.12122 # DEPENDENCYPART_ARC
(19,27),1.45411 # DEPENDENCYPART_ARC
(20,18),-1.52255 # DEPENDENCYPART_ARC
(20,19),-0.0405818 # DEPENDENCYPART_ARC
(20,21),3.11816 # DEPENDENCYPART_ARC
(20,22),0.218376 # DEPENDENCYPART_ARC
(21,15),-1.08091 # DEPENDENCYPART_ARC
(21,16),-0.583211 # DEPENDENCYPART_ARC
(21,18),0.528825 # DEPENDENCYPART_ARC
(21,19),0.307408 # DEPENDENCYPART_ARC
(21,20),3.60062 # DEPENDENCYPART_ARC
