# _root_ Escolti , jo no vull anar a rentar -me les mans , vull anar a orinar .
#goldHeads=0,5,5,5,1,5,6,7,8,11,8,5,5,13,14,15,1,
#predictedHeads=16,5,5,5,16,5,6,7,8,11,8,5,0,13,14,15,16,
(0,1),-4.96176 # DEPENDENCYPART_ARC
(0,3),-7.9631 # DEPENDENCYPART_ARC
(0,5),-3.22207 # DEPENDENCYPART_ARC
(0,6),-4.58514 # DEPENDENCYPART_ARC
(0,8),-5.09589 # DEPENDENCYPART_ARC
(0,13),-2.78656 # DEPENDENCYPART_ARC
(0,14),-4.27084 # DEPENDENCYPART_ARC
(0,16),-4.87068 # DEPENDENCYPART_ARC
(1,2),1.59112 # DEPENDENCYPART_ARC
(1,3),0.100003 # DEPENDENCYPART_ARC
(1,4),-0.156724 # DEPENDENCYPART_ARC
(1,5),0.278337 # DEPENDENCYPART_ARC
(1,6),-0.229817 # DEPENDENCYPART_ARC
(1,7),0.802677 # DEPENDENCYPART_ARC
(1,8),-0.815043 # DEPENDENCYPART_ARC
(1,9),-1.59985 # DEPENDENCYPART_ARC
(1,11),-0.12738 # DEPENDENCYPART_ARC
(1,12),0.744008 # DEPENDENCYPART_ARC
(1,13),-0.730791 # DEPENDENCYPART_ARC
(1,14),-1.61709 # DEPENDENCYPART_ARC
(1,15),-0.558078 # DEPENDENCYPART_ARC
(1,16),-1.64177 # DEPENDENCYPART_ARC
(1,17),1.98959 # DEPENDENCYPART_ARC
(3,2),0.619854 # DEPENDENCYPART_ARC
(3,4),1.05432 # DEPENDENCYPART_ARC
(3,5),0.381561 # DEPENDENCYPART_ARC
(3,6),0.152666 # DEPENDENCYPART_ARC
(3,7),-0.539572 # DEPENDENCYPART_ARC
(3,8),-0.972233 # DEPENDENCYPART_ARC
(3,12),-0.538874 # DEPENDENCYPART_ARC
(4,2),-0.25453 # DEPENDENCYPART_ARC
(5,1),-0.00637454 # DEPENDENCYPART_ARC
(5,2),1.60709 # DEPENDENCYPART_ARC
(5,3),2.26942 # DEPENDENCYPART_ARC
(5,4),3.25984 # DEPENDENCYPART_ARC
(5,6),2.47923 # DEPENDENCYPART_ARC
(5,7),1.67706 # DEPENDENCYPART_ARC
(5,8),0.481906 # DEPENDENCYPART_ARC
(5,9),-2.41367 # DEPENDENCYPART_ARC
(5,11),-0.531383 # DEPENDENCYPART_ARC
(5,12),1.0257 # DEPENDENCYPART_ARC
(5,13),0.517887 # DEPENDENCYPART_ARC
(5,14),-0.862971 # DEPENDENCYPART_ARC
(5,15),-0.321741 # DEPENDENCYPART_ARC
(5,16),-0.942832 # DEPENDENCYPART_ARC
(5,17),1.54183 # DEPENDENCYPART_ARC
(6,1),-1.2142 # DEPENDENCYPART_ARC
(6,2),-0.686507 # DEPENDENCYPART_ARC
(6,3),-0.307917 # DEPENDENCYPART_ARC
(6,4),1.44824 # DEPENDENCYPART_ARC
(6,5),1.87505 # DEPENDENCYPART_ARC
(6,7),3.58156 # DEPENDENCYPART_ARC
(6,8),0.373692 # DEPENDENCYPART_ARC
(6,9),-0.766654 # DEPENDENCYPART_ARC
(6,11),0.825186 # DEPENDENCYPART_ARC
(6,12),1.02249 # DEPENDENCYPART_ARC
(6,13),-0.432296 # DEPENDENCYPART_ARC
(6,14),-0.758914 # DEPENDENCYPART_ARC
(6,15),0.719011 # DEPENDENCYPART_ARC
(6,16),-1.93824 # DEPENDENCYPART_ARC
(6,17),2.10226 # DEPENDENCYPART_ARC
