# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,16,16,12,6,19,16,19,20,9,22,25,23,25,4,
(0,2),-7.05381 # DEPENDENCYPART_ARC
(0,3),-2.49538 # DEPENDENCYPART_ARC
(0,4),-3.29853 # DEPENDENCYPART_ARC
(1,2),0.352613 # DEPENDENCYPART_ARC
(2,1),2.83136 # DEPENDENCYPART_ARC
(2,3),0.221504 # DEPENDENCYPART_ARC
(2,4),-0.421736 # DEPENDENCYPART_ARC
(2,6),-0.865226 # DEPENDENCYPART_ARC
(2,7),-0.953287 # DEPENDENCYPART_ARC
(2,9),-0.996605 # DEPENDENCYPART_ARC
(2,10),-0.920183 # DEPENDENCYPART_ARC
(2,14),-0.935591 # DEPENDENCYPART_ARC
(2,17),-0.297701 # DEPENDENCYPART_ARC
(3,2),0.0748884 # DEPENDENCYPART_ARC
(3,4),0.0500658 # DEPENDENCYPART_ARC
(3,6),-0.55071 # DEPENDENCYPART_ARC
(3,7),-1.24207 # DEPENDENCYPART_ARC
(3,9),-1.99434 # DEPENDENCYPART_ARC
(3,10),-1.02475 # DEPENDENCYPART_ARC
(3,14),-1.81111 # DEPENDENCYPART_ARC
(3,27),2.14813 # DEPENDENCYPART_ARC
(4,1),-0.259885 # DEPENDENCYPART_ARC
(4,2),2.21854 # DEPENDENCYPART_ARC
(4,3),5.15328 # DEPENDENCYPART_ARC
(4,6),3.5503 # DEPENDENCYPART_ARC
(4,7),1.09804 # DEPENDENCYPART_ARC
(4,9),1.10251 # DEPENDENCYPART_ARC
(4,10),1.6651 # DEPENDENCYPART_ARC
(4,12),0.343571 # DEPENDENCYPART_ARC
(4,13),0.34814 # DEPENDENCYPART_ARC
(4,14),0.321344 # DEPENDENCYPART_ARC
(4,16),-0.563403 # DEPENDENCYPART_ARC
(4,17),0.0260539 # DEPENDENCYPART_ARC
(4,19),-0.240522 # DEPENDENCYPART_ARC
(4,20),0.997944 # DEPENDENCYPART_ARC
(4,22),0.3809 # DEPENDENCYPART_ARC
(4,23),-1.27151 # DEPENDENCYPART_ARC
(4,25),-1.18953 # DEPENDENCYPART_ARC
(4,27),7.86772 # DEPENDENCYPART_ARC
