# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=6,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(0,1),-6.36059 # DEPENDENCYPART_ARC
(0,6),-5.5907 # DEPENDENCYPART_ARC
(0,12),-3.42408 # DEPENDENCYPART_ARC
(0,22),-7.68947 # DEPENDENCYPART_ARC
(0,24),-8.44645 # DEPENDENCYPART_ARC
(0,27),-10.6234 # DEPENDENCYPART_ARC
(1,2),3.02012 # DEPENDENCYPART_ARC
(1,6),-0.333801 # DEPENDENCYPART_ARC
(1,8),-2.5098 # DEPENDENCYPART_ARC
(1,12),-1.31925 # DEPENDENCYPART_ARC
(1,19),-1.04799 # DEPENDENCYPART_ARC
(3,1),-0.858072 # DEPENDENCYPART_ARC
(3,4),0.744714 # DEPENDENCYPART_ARC
(4,3),-1.48546 # DEPENDENCYPART_ARC
(4,6),1.3166 # DEPENDENCYPART_ARC
(4,7),-1.26428 # DEPENDENCYPART_ARC
(4,8),-1.78393 # DEPENDENCYPART_ARC
(6,1),0.94646 # DEPENDENCYPART_ARC
(6,2),0.930283 # DEPENDENCYPART_ARC
(6,3),1.33802 # DEPENDENCYPART_ARC
(6,4),3.33099 # DEPENDENCYPART_ARC
(6,5),3.71871 # DEPENDENCYPART_ARC
(6,7),3.90536 # DEPENDENCYPART_ARC
(6,8),2.43041 # DEPENDENCYPART_ARC
(6,10),1.27168 # DEPENDENCYPART_ARC
(6,12),1.56582 # DEPENDENCYPART_ARC
(6,15),0.109804 # DEPENDENCYPART_ARC
(6,16),0.515984 # DEPENDENCYPART_ARC
(6,18),-0.56047 # DEPENDENCYPART_ARC
(6,19),0.142043 # DEPENDENCYPART_ARC
(6,20),2.17994 # DEPENDENCYPART_ARC
(6,22),-0.178108 # DEPENDENCYPART_ARC
(6,23),-0.716932 # DEPENDENCYPART_ARC
(6,24),-0.420549 # DEPENDENCYPART_ARC
(6,25),0.458077 # DEPENDENCYPART_ARC
(6,27),-0.563646 # DEPENDENCYPART_ARC
(6,29),-1.75091 # DEPENDENCYPART_ARC
(6,32),6.39761 # DEPENDENCYPART_ARC
(7,1),-1.87754 # DEPENDENCYPART_ARC
(7,2),-1.82156 # DEPENDENCYPART_ARC
(7,3),-1.17958 # DEPENDENCYPART_ARC
(7,8),3.41999 # DEPENDENCYPART_ARC
(7,10),-0.441419 # DEPENDENCYPART_ARC
(7,12),0.859251 # DEPENDENCYPART_ARC
(7,15),-1.39024 # DEPENDENCYPART_ARC
(7,16),-0.465475 # DEPENDENCYPART_ARC
