# _root_ Mas i Duran van anar ahir , per_separat , al festival de Justo_Molinero al recinte de Can_Zam de Santa_Coloma_de_Gramenet .
#goldHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,5,14,15,16,15,18,5,
#predictedHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,5,14,15,16,17,18,5,
(0,1),-7.30317 # DEPENDENCYPART_ARC
(0,4),-4.08791 # DEPENDENCYPART_ARC
(0,5),-4.85356 # DEPENDENCYPART_ARC
(1,2),3.4596 # DEPENDENCYPART_ARC
(1,3),3.72265 # DEPENDENCYPART_ARC
(1,4),0.878166 # DEPENDENCYPART_ARC
(1,5),0.0315577 # DEPENDENCYPART_ARC
(1,6),0.552204 # DEPENDENCYPART_ARC
(1,7),0.0835787 # DEPENDENCYPART_ARC
(1,8),0.470859 # DEPENDENCYPART_ARC
(1,9),-0.132518 # DEPENDENCYPART_ARC
(1,10),-0.866011 # DEPENDENCYPART_ARC
(1,11),-0.311676 # DEPENDENCYPART_ARC
(1,12),-1.25084 # DEPENDENCYPART_ARC
(1,14),-1.30399 # DEPENDENCYPART_ARC
(1,20),1.45077 # DEPENDENCYPART_ARC
(2,3),-0.304625 # DEPENDENCYPART_ARC
(3,1),-0.00839824 # DEPENDENCYPART_ARC
(3,2),0.779427 # DEPENDENCYPART_ARC
(3,5),-2.40902 # DEPENDENCYPART_ARC
(3,8),-2.08849 # DEPENDENCYPART_ARC
(4,1),-1.5115 # DEPENDENCYPART_ARC
(4,2),-2.0073 # DEPENDENCYPART_ARC
(4,3),-0.96326 # DEPENDENCYPART_ARC
(4,5),0.0795219 # DEPENDENCYPART_ARC
(4,6),-0.0571384 # DEPENDENCYPART_ARC
(4,7),-0.997864 # DEPENDENCYPART_ARC
(4,8),-1.26754 # DEPENDENCYPART_ARC
(4,9),-1.95668 # DEPENDENCYPART_ARC
(4,10),-1.09106 # DEPENDENCYPART_ARC
(4,14),-1.28488 # DEPENDENCYPART_ARC
(4,20),0.226983 # DEPENDENCYPART_ARC
(5,1),1.65023 # DEPENDENCYPART_ARC
(5,2),-0.110907 # DEPENDENCYPART_ARC
(5,3),1.68786 # DEPENDENCYPART_ARC
(5,4),5.27119 # DEPENDENCYPART_ARC
(5,6),3.35048 # DEPENDENCYPART_ARC
(5,7),0.980046 # DEPENDENCYPART_ARC
(5,8),1.20191 # DEPENDENCYPART_ARC
