# _root_ En aquesta ocasió es va dir que , a_causa_dels temporals , no hi havia pressupost per tirar_endavant aquest projecte .
#goldHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,15,16,19,17,6,
#predictedHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,14,16,19,17,6,
(0,1),-7.70752 # DEPENDENCYPART_ARC
(0,5),-4.04056 # DEPENDENCYPART_ARC
(0,6),-3.87309 # DEPENDENCYPART_ARC
(0,14),-4.78906 # DEPENDENCYPART_ARC
(1,3),4.66218 # DEPENDENCYPART_ARC
(1,5),0.248755 # DEPENDENCYPART_ARC
(1,6),-0.150549 # DEPENDENCYPART_ARC
(1,7),-0.940167 # DEPENDENCYPART_ARC
(1,8),0.717411 # DEPENDENCYPART_ARC
(1,9),-1.05454 # DEPENDENCYPART_ARC
(1,11),0.761806 # DEPENDENCYPART_ARC
(1,12),-1.06493 # DEPENDENCYPART_ARC
(1,20),0.442462 # DEPENDENCYPART_ARC
(3,1),-0.423779 # DEPENDENCYPART_ARC
(3,2),2.90252 # DEPENDENCYPART_ARC
(3,5),-1.51136 # DEPENDENCYPART_ARC
(3,6),-1.79085 # DEPENDENCYPART_ARC
(3,9),-4.03741 # DEPENDENCYPART_ARC
(3,14),-4.67022 # DEPENDENCYPART_ARC
(5,1),0.187552 # DEPENDENCYPART_ARC
(5,4),1.11021 # DEPENDENCYPART_ARC
(5,6),0.58633 # DEPENDENCYPART_ARC
(5,7),-2.19652 # DEPENDENCYPART_ARC
(5,8),-1.5642 # DEPENDENCYPART_ARC
(5,9),-1.19093 # DEPENDENCYPART_ARC
(5,11),-0.990093 # DEPENDENCYPART_ARC
(5,14),-2.56407 # DEPENDENCYPART_ARC
(5,16),-1.1266 # DEPENDENCYPART_ARC
(5,20),0.7407 # DEPENDENCYPART_ARC
(6,1),3.12418 # DEPENDENCYPART_ARC
(6,2),-0.688839 # DEPENDENCYPART_ARC
(6,3),1.78878 # DEPENDENCYPART_ARC
(6,4),3.50171 # DEPENDENCYPART_ARC
(6,5),5.62341 # DEPENDENCYPART_ARC
(6,7),0.130277 # DEPENDENCYPART_ARC
(6,8),-0.238042 # DEPENDENCYPART_ARC
(6,9),0.653202 # DEPENDENCYPART_ARC
(6,10),-0.93232 # DEPENDENCYPART_ARC
(6,11),-0.0494892 # DEPENDENCYPART_ARC
(6,12),-0.945814 # DEPENDENCYPART_ARC
(6,13),-0.622525 # DEPENDENCYPART_ARC
(6,14),1.40927 # DEPENDENCYPART_ARC
